K,num_threads,mean
3,1,0.022373
3,2,0.023053
3,3,0.019105
3,4,0.016805
3,5,0.015228
3,6,0.014341
3,7,0.013447
3,8,0.013272
3,9,0.012428
3,10,0.012140
3,11,0.012147
3,12,0.011939
3,13,0.011727
3,14,0.011587
3,15,0.011506
3,16,0.011263
3,17,0.011243
3,18,0.011132
3,19,0.011052
3,20,0.011019
3,21,0.010929
3,22,0.010863
3,23,0.012507
3,24,0.012452
3,25,0.012411
3,26,0.012355
3,27,0.012355
3,28,0.013186
3,29,0.012301
3,30,0.012992
3,31,0.012890
3,32,0.012254
3,33,0.012068
3,34,0.012054
3,35,0.012693
3,36,0.011986
3,37,0.012913
3,38,0.012498
3,39,0.012590
3,40,0.012556
4,1,0.031348
4,2,0.028454
4,3,0.022984
4,4,0.020559
4,5,0.019023
4,6,0.017842
4,7,0.017209
4,8,0.016959
4,9,0.016467
4,10,0.016389
4,11,0.016484
4,12,0.015986
4,13,0.016302
4,14,0.015545
4,15,0.015433
4,16,0.015459
4,17,0.014699
4,18,0.014814
4,19,0.014686
4,20,0.014708
4,21,0.014614
4,22,0.016087
4,23,0.017325
4,24,0.016242
4,25,0.017066
4,26,0.016953
4,27,0.016837
4,28,0.016736
4,29,0.015820
4,30,0.015758
4,31,0.016119
4,32,0.016072
4,33,0.015943
4,34,0.015921
4,35,0.015850
4,36,0.015854
4,37,0.016830
4,38,0.016588
4,39,0.016447
4,40,0.015783
8,1,0.073833
8,2,0.054578
8,3,0.048916
8,4,0.046288
8,5,0.043979
8,6,0.041840
8,7,0.040669
8,8,0.040379
8,9,0.038454
8,10,0.038219
8,11,0.037493
8,12,0.037575
8,13,0.037890
8,14,0.037288
8,15,0.038955
8,16,0.037873
8,17,0.035878
8,18,0.038746
8,19,0.038346
8,20,0.038210
8,21,0.038251
8,22,0.037584
8,23,0.036568
8,24,0.036339
8,25,0.036226
8,26,0.036206
8,27,0.036615
8,28,0.035696
8,29,0.034876
8,30,0.036748
8,31,0.035835
8,32,0.035638
8,33,0.035311
8,34,0.035569
8,35,0.035199
8,36,0.037606
8,37,0.036896
8,38,0.037463
8,39,0.036732
8,40,0.037398
12,1,0.113860
12,2,0.090181
12,3,0.078867
12,4,0.072747
12,5,0.069841
12,6,0.066671
12,7,0.064896
12,8,0.063786
12,9,0.063330
12,10,0.062844
12,11,0.061876
12,12,0.061205
12,13,0.060869
12,14,0.060461
12,15,0.060050
12,16,0.059959
12,17,0.059363
12,18,0.059566
12,19,0.058699
12,20,0.058192
12,21,0.057863
12,22,0.057675
12,23,0.057567
12,24,0.057057
12,25,0.056976
12,26,0.056543
12,27,0.056596
12,28,0.059754
12,29,0.059276
12,30,0.059325
12,31,0.059107
12,32,0.058941
12,33,0.058981
12,34,0.058712
12,35,0.058645
12,36,0.058535
12,37,0.058891
12,38,0.057917
12,39,0.058747
12,40,0.058314
16,1,0.149723
16,2,0.134212
16,3,0.116210
16,4,0.097304
16,5,0.097078
16,6,0.094267
16,7,0.093328
16,8,0.090724
16,9,0.087743
16,10,0.082706
16,11,0.084633
16,12,0.090112
16,13,0.091155
16,14,0.088974
16,15,0.079384
16,16,0.084724
16,17,0.082601
16,18,0.083237
16,19,0.083740
16,20,0.084436
16,21,0.084434
16,22,0.084634
16,23,0.084435
16,24,0.083904
16,25,0.085625
16,26,0.087039
16,27,0.086886
16,28,0.084736
16,29,0.082464
16,30,0.079272
16,31,0.078911
16,32,0.079644
16,33,0.079454
16,34,0.083597
16,35,0.083393
16,36,0.083610
16,37,0.082514
16,38,0.083382
16,39,0.082515
16,40,0.082454
32,1,0.303396
32,2,0.239827
32,3,0.218899
32,4,0.202872
32,5,0.193795
32,6,0.189184
32,7,0.182610
32,8,0.177493
32,9,0.174380
32,10,0.172660
32,11,0.170965
32,12,0.192956
32,13,0.175937
32,14,0.195892
32,15,0.188575
32,16,0.180601
32,17,0.200435
32,18,0.198290
32,19,0.196262
32,20,0.195690
32,21,0.194217
32,22,0.193013
32,23,0.186277
32,24,0.179803
32,25,0.175633
32,26,0.169888
32,27,0.171310
32,28,0.170073
32,29,0.169833
32,30,0.168026
32,31,0.165231
32,32,0.163496
32,33,0.168198
32,34,0.167694
32,35,0.167043
32,36,0.165831
32,37,0.165304
32,38,0.165104
32,39,0.164312
32,40,0.164231
64,1,0.609932
64,2,0.485683
64,3,0.427770
64,4,0.402071
64,5,0.389435
64,6,0.385330
64,7,0.377633
64,8,0.372216
64,9,0.366724
64,10,0.363370
64,11,0.362604
64,12,0.358739
64,13,0.355453
64,14,0.379100
64,15,0.387789
64,16,0.364012
64,17,0.345632
64,18,0.340566
64,19,0.340517
64,20,0.339903
64,21,0.338695
64,22,0.336532
64,23,0.336273
64,24,0.334794
64,25,0.332025
64,26,0.333744
64,27,0.333596
64,28,0.334275
64,29,0.333090
64,30,0.331745
64,31,0.331871
64,32,0.330868
64,33,0.329419
64,34,0.353545
64,35,0.417188
64,36,0.397249
64,37,0.404511
64,38,0.413584
64,39,0.411882
64,40,0.347277
