K,num_threads,mean,variance
3,1,0.023414,0.00000000263972487686
3,2,0.023386,0.00000000077095603009
3,3,0.019845,0.00000000010323117545
3,4,0.017308,0.00000000016744801087
3,5,0.015580,0.00000000095683329809
3,6,0.014747,0.00000000056106970329
3,7,0.013887,0.00000000108064566449
3,8,0.013230,0.00000000137353466747
3,9,0.012891,0.00000000469115466657
3,10,0.012272,0.00000000146711784867
3,11,0.011922,0.00000000345279430636
3,12,0.011491,0.00000000005638665540
3,13,0.011458,0.00000000026076184308
3,14,0.011461,0.00000000014345344930
3,15,0.012349,0.00000002255337088067
3,16,0.013027,0.00000000000315652312
3,17,0.011585,0.00000001238176092256
3,18,0.010763,0.00000000000511318408
3,19,0.010955,0.00000000457876887910
3,20,0.011154,0.00000000004583113741
3,21,0.011061,0.00000000001820733861
3,22,0.011065,0.00000000016592880596
3,23,0.010997,0.00000000000277003725
3,24,0.010939,0.00000000003141105947
3,25,0.010954,0.00000000036257150518
3,26,0.010837,0.00000000001326620304
3,27,0.010823,0.00000000010262080684
3,28,0.010797,0.00000000000730357009
3,29,0.010762,0.00000000003207811581
3,30,0.010752,0.00000000097829218374
3,31,0.010671,0.00000000005728826080
3,32,0.012341,0.00000001552091794097
3,33,0.013001,0.00000000002737500098
3,34,0.012952,0.00000000002203786688
3,35,0.012947,0.00000000009729736871
3,36,0.012234,0.00000000000751371652
3,37,0.012203,0.00000000001026363992
3,38,0.012801,0.00000000811158950163
3,39,0.012746,0.00000000000414921953
3,40,0.012791,0.00000000003153683744
4,1,0.032705,0.00000000101438067241
4,2,0.029281,0.00000000087313514752
4,3,0.023885,0.00000000040872635296
4,4,0.021323,0.00000000023993743098
4,5,0.019553,0.00000000311031653013
4,6,0.018366,0.00000000408497904244
4,7,0.017575,0.00000000251472660374
4,8,0.017156,0.00000008570328341575
4,9,0.016745,0.00000000004705985982
4,10,0.016239,0.00000000569749882931
4,11,0.015743,0.00000000534382133450
4,12,0.015036,0.00000000074496378050
4,13,0.014882,0.00000000022435672961
4,14,0.014761,0.00000000030721767769
4,15,0.014679,0.00000000077963149380
4,16,0.014691,0.00000000542072227040
4,17,0.014181,0.00000000345699421865
4,18,0.014044,0.00000000075085174465
4,19,0.013918,0.00000000001382020670
4,20,0.013909,0.00000000267785488041
4,21,0.015716,0.00000000082748645315
4,22,0.015928,0.00000000001255024724
4,23,0.015837,0.00000000089962456076
4,24,0.017223,0.00000000036648452274
4,25,0.016532,0.00000010215337057549
4,26,0.015985,0.00000000007215440290
4,27,0.016052,0.00000000005482833664
4,28,0.017014,0.00000007313694634309
4,29,0.017175,0.00000000011320436112
4,30,0.017203,0.00000000028635600785
4,31,0.017099,0.00000000032171576750
4,32,0.016960,0.00000000082206653687
4,33,0.016977,0.00000000008241130361
4,34,0.016771,0.00000000063270853957
4,35,0.016756,0.00000000067751723460
4,36,0.016574,0.00000002481428914653
4,37,0.015647,0.00000000015573779748
4,38,0.015772,0.00000000127566272788
4,39,0.015683,0.00000000023435740756
4,40,0.015903,0.00000000079472494332
8,1,0.067597,0.00000000770562626862
8,2,0.051372,0.00000008235697600269
8,3,0.046788,0.00000000028397928254
8,4,0.044170,0.00000002354537595728
8,5,0.042201,0.00000000473008484748
8,6,0.040254,0.00000000039957624966
8,7,0.039048,0.00000000002755988384
8,8,0.038153,0.00000000065136944807
8,9,0.037542,0.00000000023970698831
8,10,0.037658,0.00000001800789163271
8,11,0.038226,0.00000000608368926448
8,12,0.037849,0.00000020442948567613
8,13,0.035257,0.00000000736782574792
8,14,0.035281,0.00000001348936375740
8,15,0.035212,0.00000001008689504290
8,16,0.034825,0.00000000146984804241
8,17,0.034983,0.00000000064010191482
8,18,0.035172,0.00000000106414829547
8,19,0.034244,0.00000000139647951133
8,20,0.034321,0.00000000279242331618
8,21,0.035676,0.00000005111282191847
8,22,0.036839,0.00000000048124479053
8,23,0.036886,0.00000000006985496040
8,24,0.038216,0.00000010318876588469
8,25,0.039824,0.00000000007630266942
8,26,0.039701,0.00000000293517127734
8,27,0.039431,0.00000004247464882285
8,28,0.037765,0.00000010989472978903
8,29,0.038013,0.00000000609353576879
8,30,0.037195,0.00000002773616998865
8,31,0.036452,0.00000000013660591165
8,32,0.036296,0.00000001425460199951
8,33,0.036477,0.00000001608384514659
8,34,0.036157,0.00000000590590489704
8,35,0.036208,0.00000000966133399205
8,36,0.035111,0.00000003073406929629
8,37,0.034111,0.00000000004941599951
8,38,0.034202,0.00000000023870998511
8,39,0.034398,0.00000000041800781531
8,40,0.034504,0.00000000006419198497
12,1,0.105036,0.00000000303115094100
12,2,0.082274,0.00000000335301258831
12,3,0.073009,0.00000003826654365510
12,4,0.068514,0.00000000619886480548
12,5,0.065843,0.00000000007344756625
12,6,0.063614,0.00000001495826323473
12,7,0.061528,0.00000000226898246704
12,8,0.059297,0.00000002701537498751
12,9,0.057498,0.00000000002200093076
12,10,0.056910,0.00000000074190298789
12,11,0.055889,0.00000000008578416971
12,12,0.055219,0.00000000526367063135
12,13,0.054690,0.00000000018475995389
12,14,0.054386,0.00000000010238500824
12,15,0.054254,0.00000000323383987226
12,16,0.053751,0.00000000469714936026
12,17,0.053555,0.00000000079318787196
12,18,0.059236,0.00000004509314739964
12,19,0.060047,0.00000007265327856728
12,20,0.055715,0.00000023709096079493
12,21,0.052679,0.00000000334163027723
12,22,0.052723,0.00000000401652299268
12,23,0.055815,0.00000040047119649702
12,24,0.052389,0.00000000350803994413
12,25,0.051766,0.00000000338278496258
12,26,0.052004,0.00000000193727270311
12,27,0.052295,0.00000000005530991977
12,28,0.052187,0.00000000015614196129
12,29,0.055134,0.00000000003883953117
12,30,0.055018,0.00000000235207908796
12,31,0.054781,0.00000001850352030200
12,32,0.054905,0.00000000006132970614
12,33,0.051451,0.00000000001545275780
12,34,0.051448,0.00000000054316800653
12,35,0.051286,0.00000000008313166227
12,36,0.051343,0.00000000071879350764
12,37,0.053819,0.00000000023021408070
12,38,0.052924,0.00000000254748476213
12,39,0.053738,0.00000007739143683616
12,40,0.054219,0.00000000214251568841
16,1,0.141943,0.00000000121170346945
16,2,0.113183,0.00000000112131510253
16,3,0.101562,0.00000000253685546090
16,4,0.094993,0.00000000063218286926
16,5,0.091405,0.00000000012062500740
16,6,0.088580,0.00000000003475576183
16,7,0.086671,0.00000000224883989190
16,8,0.085935,0.00000000022368674695
16,9,0.087793,0.00000000838519543747
16,10,0.085897,0.00000009929880787133
16,11,0.086511,0.00000000234921386177
16,12,0.083963,0.00000001219617114588
16,13,0.088204,0.00000033336355965039
16,14,0.084353,0.00000000436859339346
16,15,0.084401,0.00000000139667816477
16,16,0.087112,0.00000000128374163422
16,17,0.086517,0.00000000004484840066
16,18,0.086473,0.00000001359959684020
16,19,0.085948,0.00000000579862127076
16,20,0.085624,0.00000000094339361488
16,21,0.085536,0.00000000389659563375
16,22,0.084999,0.00000001462890157825
16,23,0.085921,0.00000008905204915869
16,24,0.086389,0.00000000911687022097
16,25,0.080349,0.00000170840916439353
16,26,0.078423,0.00000000874726113911
16,27,0.078018,0.00000000053713818593
16,28,0.078324,0.00000000115593942093
16,29,0.078008,0.00000000105971634395
16,30,0.078213,0.00000001402455254741
16,31,0.077830,0.00000000038758942899
16,32,0.083711,0.00000044594364108932
16,33,0.088289,0.00000008008287431707
16,34,0.079236,0.00000032343172347471
16,35,0.076094,0.00000000192466423428
16,36,0.075840,0.00000000053242153862
16,37,0.075882,0.00000000115435400165
16,38,0.075895,0.00000000122137443424
16,39,0.075360,0.00000013635039949058
16,40,0.076710,0.00000000002664579616
32,1,0.321360,0.00000000073592101054
32,2,0.252205,0.00000001113666208485
32,3,0.232093,0.00000001983202734143
32,4,0.221493,0.00000002263675725681
32,5,0.214857,0.00000001354352689334
32,6,0.214068,0.00000000859392710572
32,7,0.214361,0.00000224507404627933
32,8,0.195951,0.00000221974467731643
32,9,0.193814,0.00000078211541586381
32,10,0.188698,0.00000074287871945807
32,11,0.187347,0.00000009743173754263
32,12,0.185841,0.00000002481005956900
32,13,0.184764,0.00000003804310929073
32,14,0.188271,0.00000034620951682672
32,15,0.188312,0.00000040472078353873
32,16,0.187868,0.00000032650567066172
32,17,0.190661,0.00000255219362656203
32,18,0.187367,0.00000033360255548615
32,19,0.189260,0.00000006573418178108
32,20,0.183630,0.00000002253918196028
32,21,0.177993,0.00000000566588232807
32,22,0.178539,0.00000083372390387915
32,23,0.180276,0.00000005707652686563
32,24,0.174698,0.00000009374166072047
32,25,0.181099,0.00000001555603868310
32,26,0.179373,0.00000038383475531088
32,27,0.179910,0.00000023161559140583
32,28,0.179341,0.00000013116160092068
32,29,0.177555,0.00000017180591081956
32,30,0.177588,0.00000042000447668954
32,31,0.176651,0.00000005570693064414
32,32,0.183475,0.00000006868992698039
32,33,0.184346,0.00000003113144092863
32,34,0.183394,0.00000052444291301303
32,35,0.182265,0.00000009255613762378
32,36,0.182669,0.00000179791546616071
32,37,0.185705,0.00000117715539548150
32,38,0.183133,0.00000004623379254859
32,39,0.183165,0.00000001416937676821
32,40,0.183744,0.00000004058261240935
64,1,0.642117,0.00000931098933741174
64,2,0.507377,0.00000107308218190897
64,3,0.460097,0.00000170086194529480
64,4,0.431377,0.00000000500371590080
64,5,0.417187,0.00000134232232672427
64,6,0.412333,0.00000096354066207091
64,7,0.408715,0.00000306656861508819
64,8,0.406944,0.00000004461253573812
64,9,0.397252,0.00000049985289313350
64,10,0.393339,0.00000006695497496506
64,11,0.400080,0.00000148373950381569
64,12,0.396481,0.00000164110479717930
64,13,0.389169,0.00001384199736177384
64,14,0.423132,0.00000338630416034061
64,15,0.424907,0.00000024801145240102
64,16,0.429727,0.00001895295911858792
64,17,0.390787,0.00000018268139142922
64,18,0.392790,0.00001920532015195594
64,19,0.394873,0.00001711292559485723
64,20,0.404671,0.00002056754906318086
64,21,0.391654,0.00000207984853634236
64,22,0.397246,0.00001426878042542566
64,23,0.390486,0.00002171967577070643
64,24,0.403503,0.00000318984546414154
64,25,0.395056,0.00000008053557666483
64,26,0.407090,0.00000123934336041251
64,27,0.398975,0.00000337804595418268
64,28,0.394689,0.00000852051675064856
64,29,0.402512,0.00000160884307415392
64,30,0.398816,0.00001262849680641203
64,31,0.397150,0.00000572617935065839
64,32,0.389194,0.00000035369246984215
64,33,0.386196,0.00000003903173368157
64,34,0.386929,0.00000007535638705139
64,35,0.384676,0.00000169595221849373
64,36,0.389983,0.00000055605066707799
64,37,0.394926,0.00000121853232454193
64,38,0.389457,0.00000560018023682548
64,39,0.397250,0.00000018436511930743
64,40,0.398184,0.00000156889645573907
