Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 10.334451,0.00270438506478095763
csr_vector,1, 47.688221,0.02061730507066687063
csr_vector_sub_warp,1, 22.774087,0.01435749821880359309
csr_vector_by_row,1, 30.978479,0.00103006138141586577
csr_adaptive_personalizzato,1, 31.689329,0.17254330707714693460
csr_scalar,3, 84.118227,0.05707464839281086583
csr_vector,3, 53.054577,2.08318626572431808697
csr_vector_sub_warp,3, 142.113088,0.07300362622560829795
csr_vector_by_row,3, 92.052523,0.00492738706952779680
csr_adaptive_personalizzato,3, 150.846492,0.30804979543019445076
csr_scalar,4, 144.738088,0.03447573848893522447
csr_vector,4, 55.913656,0.00152555041426974533
csr_vector_sub_warp,4, 174.735381,0.07103574501395716612
csr_vector_by_row,4, 121.947796,0.01664949483683998699
csr_adaptive_personalizzato,4, 200.572013,0.28635088271468428500
csr_scalar,8, 244.937845,0.11953535647795517083
csr_vector,8, 58.005440,0.00046150884964632185
csr_vector_sub_warp,8, 233.130939,0.02976758876094128328
csr_vector_by_row,8, 199.895362,0.01910939796989216330
csr_adaptive_personalizzato,8, 262.172893,0.11731518789722268636
csr_scalar,12, 252.032945,0.10925673680076028460
csr_vector,12, 58.433344,0.00098593642381714021
csr_vector_sub_warp,12, 250.287682,0.12399125107034043858
csr_vector_by_row,12, 183.052034,0.01968648593968675906
csr_adaptive_personalizzato,12, 260.356021,0.34230451980281795255
csr_scalar,16, 288.157607,0.12951013379714601537
csr_vector,16, 58.941963,0.00904059678569899342
csr_vector_sub_warp,16, 246.339831,0.22638600966170260853
csr_vector_by_row,16, 208.790235,13.86793211372815015636
csr_adaptive_personalizzato,16, 272.677740,1.13970378439972663820
csr_scalar,32, 293.149474,1.41778211993027536408
csr_vector,32, 63.250093,13.04954887812681718628
csr_vector_sub_warp,32, 308.267096,371.01851407283521666614
csr_vector_by_row,32, 211.250439,0.77625029065063499978
csr_adaptive_personalizzato,32, 278.548934,1.30848542842407677966
csr_scalar,64, 303.147255,100.89467739027351456116
csr_vector,64, 69.101265,0.95316822104565501750
csr_vector_sub_warp,64, 320.710829,0.00243807685979212504
csr_vector_by_row,64, 250.718083,15.35882702859931292494
csr_adaptive_personalizzato,64, 326.287064,38.33277037680643672957
