K,num_threads,mean,variance
3,1,0.001248,0.00000000433727518078
3,2,0.000663,0.00000000588647704866
3,3,0.000465,0.00000000538612883858
3,4,0.000356,0.00000000016131236556
3,5,0.000301,0.00000000083887884521
3,6,0.000245,0.00000000019146280105
3,7,0.000216,0.00000000068546498914
3,8,0.000190,0.00000000018942954916
3,9,0.000173,0.00000000010904857573
3,10,0.000157,0.00000000020222418183
3,11,0.000143,0.00000000009469938538
3,12,0.000133,0.00000000010421011042
3,13,0.000132,0.00000000056433822384
3,14,0.000183,0.00000011931823833430
3,15,0.000116,0.00000000036790575349
3,16,0.000113,0.00000000034198001191
3,17,0.000152,0.00000000008864774268
3,18,0.000156,0.00000000011816828582
3,19,0.000153,0.00000000034860774526
3,20,0.000147,0.00000000010922930990
3,21,0.000144,0.00000000009234892342
3,22,0.000137,0.00000000024244209651
3,23,0.000133,0.00000000009263564861
3,24,0.000131,0.00000000007304526794
3,25,0.000123,0.00000000010266688300
3,26,0.000123,0.00000000009198956951
3,27,0.000119,0.00000000011032875932
3,28,0.000114,0.00000000009950746377
3,29,0.000113,0.00000000010567956653
3,30,0.000109,0.00000000007091424260
3,31,0.000106,0.00000000013495914169
3,32,0.000106,0.00000000010946666569
3,33,0.000104,0.00000000029840442197
3,34,0.000105,0.00000000013939071389
3,35,0.000103,0.00000000014826321896
3,36,0.000106,0.00000000013105280824
3,37,0.000106,0.00000000011187494368
3,38,0.000104,0.00000000010509871063
3,39,0.000096,0.00000000012697424571
3,40,0.000098,0.00000000011005983262
4,1,0.001632,0.00000000089476175845
4,2,0.000871,0.00000000818848867057
4,3,0.000584,0.00000000011902845491
4,4,0.000442,0.00000000046430247521
4,5,0.000411,0.00000007057982556709
4,6,0.000309,0.00000000019127433471
4,7,0.000267,0.00000000015128710746
4,8,0.000233,0.00000000015970902970
4,9,0.000210,0.00000000013408181921
4,10,0.000190,0.00000000015940554987
4,11,0.000184,0.00000000008339702412
4,12,0.000173,0.00000000031363647629
4,13,0.000161,0.00000000037992307821
4,14,0.000242,0.00000000015801013410
4,15,0.000244,0.00000000012392517926
4,16,0.000239,0.00000000017315530823
4,17,0.000235,0.00000000009072953921
4,18,0.000223,0.00000000020264261586
4,19,0.000212,0.00000000010725070597
4,20,0.000205,0.00000000009242700143
4,21,0.000198,0.00000000009464435276
4,22,0.000191,0.00000000007953708451
4,23,0.000190,0.00000000010497094198
4,24,0.000185,0.00000000009115761491
4,25,0.000185,0.00000000009787916057
4,26,0.000178,0.00000000010531061693
4,27,0.000174,0.00000000030632660340
4,28,0.000175,0.00000000009490320300
4,29,0.000166,0.00000000008320707166
4,30,0.000163,0.00000000027431541598
4,31,0.000155,0.00000000010602558371
4,32,0.000159,0.00000000012822541245
4,33,0.000154,0.00000000012499620685
4,34,0.000149,0.00000000009656722598
4,35,0.000147,0.00000000011504720541
4,36,0.000147,0.00000000010799329205
4,37,0.000161,0.00000000832610709413
4,38,0.000130,0.00000000020488844816
4,39,0.000130,0.00000000014024419986
4,40,0.000128,0.00000000048385195411
8,1,0.003337,0.00000000200163299338
8,2,0.001736,0.00000002011643663180
8,3,0.001195,0.00000000057953513165
8,4,0.000904,0.00000000152532688622
8,5,0.000744,0.00000000021951743265
8,6,0.000620,0.00000000013765084091
8,7,0.000537,0.00000000063157844997
8,8,0.000472,0.00000000061667922660
8,9,0.000609,0.00000099276678940765
8,10,0.000386,0.00000000091081934243
8,11,0.000372,0.00000000054283242411
8,12,0.000577,0.00000000212517518363
8,13,0.000423,0.00000001253744477262
8,14,0.000486,0.00000000015078383573
8,15,0.000471,0.00000000016015740865
8,16,0.000443,0.00000000011042486186
8,17,0.000420,0.00000000014539387567
8,18,0.000396,0.00000000011565919250
8,19,0.000386,0.00000000015462782031
8,20,0.000363,0.00000000011801865733
8,21,0.000354,0.00000000015332453490
8,22,0.000337,0.00000000010571143138
8,23,0.000328,0.00000000013418713416
8,24,0.000321,0.00000000015242351203
8,25,0.000305,0.00000000016449860387
8,26,0.000304,0.00000000013510990069
8,27,0.000291,0.00000000010576433108
8,28,0.000285,0.00000000015210666243
8,29,0.000281,0.00000000013694520186
8,30,0.000275,0.00000000031158259342
8,31,0.000266,0.00000000022527309091
8,32,0.000266,0.00000000022563791965
8,33,0.000255,0.00000000054386362625
8,34,0.000247,0.00000000022436722530
8,35,0.000252,0.00000000022228030791
8,36,0.000300,0.00000000049710943198
8,37,0.000271,0.00000000052900257857
8,38,0.000255,0.00000000034486760361
8,39,0.000269,0.00000000032517807704
8,40,0.000248,0.00000000070738290646
12,1,0.004902,0.00000000081174066631
12,2,0.002580,0.00000012609123550677
12,3,0.001767,0.00000000656761889704
12,4,0.001326,0.00000000107676962427
12,5,0.001072,0.00000000038085559746
12,6,0.000920,0.00000000047289193663
12,7,0.000794,0.00000000063097258465
12,8,0.001012,0.00000003066146387529
12,9,0.000692,0.00000001044630214037
12,10,0.000601,0.00000001161556501678
12,11,0.000770,0.00000001855769283005
12,12,0.000547,0.00000000049775959749
12,13,0.000592,0.00000001156695665618
12,14,0.000495,0.00000000497226185592
12,15,0.000779,0.00000000030131977356
12,16,0.000737,0.00000000055186608707
12,17,0.000711,0.00000000020692321566
12,18,0.000672,0.00000000022787017621
12,19,0.000686,0.00000000031931961844
12,20,0.000662,0.00000000016452650409
12,21,0.000616,0.00000000024606582960
12,22,0.000600,0.00000000022751564969
12,23,0.000576,0.00000000029906946173
12,24,0.000546,0.00000000028912275753
12,25,0.000538,0.00000000014884506510
12,26,0.000531,0.00000000018945375425
12,27,0.000520,0.00000000027307647091
12,28,0.000506,0.00000000026694820329
