K,num_threads,mean,variance
3,1,0.002751,0.00000000051519752581
3,2,0.001796,0.00000003480391046809
3,3,0.001488,0.00000000128486487991
3,4,0.001387,0.00000016162966005186
3,5,0.001233,0.00000000131219815411
3,6,0.001239,0.00000000124167057425
3,7,0.001332,0.00000000273462921592
3,8,0.001153,0.00000000094213839223
3,9,0.001143,0.00000000075924106132
3,10,0.001284,0.00000005557410331401
3,11,0.001148,0.00000000180006626422
3,12,0.001372,0.00000099110018336330
3,13,0.001293,0.00000000197622592278
3,14,0.001336,0.00000002145487488289
3,15,0.001084,0.00000000153103276173
3,16,0.001066,0.00000000100411065306
3,17,0.001067,0.00000000160036617423
3,18,0.001072,0.00000000135911218854
3,19,0.001074,0.00000000121763602696
3,20,0.001364,0.00000082666682769169
3,21,0.001305,0.00000000192757278851
3,22,0.001297,0.00000000144304412417
3,23,0.001276,0.00000000099604395352
3,24,0.001297,0.00000000850177098993
3,25,0.001245,0.00000000143720009109
3,26,0.001309,0.00000006426443764153
3,27,0.001317,0.00000007650852512877
3,28,0.001595,0.00000004695819910365
3,29,0.001463,0.00000001725266712617
3,30,0.001263,0.00000000850404349376
3,31,0.001257,0.00000000288991277794
3,32,0.001254,0.00000000156041143432
3,33,0.001241,0.00000000142473855272
3,34,0.001240,0.00000000132983171136
3,35,0.001213,0.00000000130837562191
3,36,0.001503,0.00000000128179332697
3,37,0.001510,0.00000000200884826593
3,38,0.001423,0.00000006741014292009
3,39,0.001421,0.00000000449040606169
3,40,0.001486,0.00000000162646616685
4,1,0.003669,0.00000000472430327754
4,2,0.002646,0.00000001878826165016
4,3,0.002208,0.00000004517574742118
4,4,0.001958,0.00000000174759310857
4,5,0.001816,0.00000001033678443662
4,6,0.001638,0.00000000228886262367
4,7,0.001634,0.00000000084931583737
4,8,0.001601,0.00000000859169924736
4,9,0.001547,0.00000000127232615058
4,10,0.001558,0.00000000117260368358
4,11,0.001630,0.00000007329814640087
4,12,0.001561,0.00000000120485154380
4,13,0.001614,0.00000001782386604604
4,14,0.001564,0.00000000314118936468
4,15,0.001502,0.00000000145752863407
4,16,0.001514,0.00000000110915061789
4,17,0.001550,0.00000000114392334718
4,18,0.001615,0.00000000221078036447
4,19,0.001639,0.00000000157656613973
4,20,0.001600,0.00000000249785075786
4,21,0.001637,0.00000000134897817703
4,22,0.001620,0.00000000159270265880
4,23,0.001668,0.00000006455149503365
4,24,0.001642,0.00000001989495931270
4,25,0.001744,0.00000002598089557460
4,26,0.001585,0.00000000111830106870
4,27,0.001655,0.00000001686500276761
4,28,0.001598,0.00000000096160341005
4,29,0.001778,0.00000098433468334958
4,30,0.001725,0.00000004424329236012
4,31,0.001647,0.00000000116895695728
4,32,0.001717,0.00000000083453134449
