K,num_threads,mean,variance
3,1,0.000119,0.00000000000179092126
3,2,0.000071,0.00000000011392028925
3,3,0.000054,0.00000000003125026758
3,4,0.000046,0.00000000003362998263
3,5,0.000034,0.00000000002148378059
3,6,0.000075,0.00000000025838499410
3,7,0.000026,0.00000000007304570429
3,8,0.000026,0.00000000010979680734
3,9,0.000025,0.00000000001899621899
3,10,0.000023,0.00000000010302583989
3,11,0.000020,0.00000000009954145112
3,12,0.000020,0.00000000012419035954
3,13,0.000019,0.00000000010970910884
3,14,0.000034,0.00000000020960226032
3,15,0.000023,0.00000000016101831209
3,16,0.000019,0.00000000016402319350
3,17,0.000018,0.00000000014996083805
3,18,0.000017,0.00000000010777578848
3,19,0.000021,0.00000000002240603877
3,20,0.000128,0.00000000021800180439
3,21,0.000027,0.00000000012754964355
3,22,0.000150,0.00000000027686313728
3,23,0.000031,0.00000000023860343918
3,24,0.000150,0.00000000013238388022
3,25,0.000021,0.00000000017259866867
3,26,0.000141,0.00000000025191627174
3,27,0.000051,0.00000000083813163363
3,28,0.000132,0.00000000015662174378
3,29,0.000046,0.00000000056243076972
3,30,0.000142,0.00000000002887672859
3,31,0.000025,0.00000000046110630268
3,32,0.000138,0.00000000012232430228
3,33,0.000034,0.00000000031101461069
3,34,0.000141,0.00000000004704433743
3,35,0.000067,0.00000000035335116582
3,36,0.000023,0.00000000002623137914
3,37,0.000150,0.00000000010905028207
3,38,0.000051,0.00000000071091735517
3,39,0.000026,0.00000000009923100880
3,40,0.000138,0.00000000001421520148
4,1,0.000153,0.00000000022341913863
4,2,0.000094,0.00000000049163665468
4,3,0.000065,0.00000000002736503904
4,4,0.000055,0.00000000002029087933
4,5,0.000045,0.00000000002630564888
4,6,0.000037,0.00000000001579857015
4,7,0.000030,0.00000000003375499373
4,8,0.000028,0.00000000002626378946
4,9,0.000028,0.00000000016261318432
4,10,0.000026,0.00000000010592521674
4,11,0.000024,0.00000000009684343600
4,12,0.000164,0.00000000038312059639
4,13,0.000026,0.00000000024607956082
4,14,0.000171,0.00000000081836589644
4,15,0.000035,0.00000000088377503219
4,16,0.000190,0.00000000012885776011
4,17,0.000027,0.00000000053452140766
4,18,0.000145,0.00000000019991868451
4,19,0.000054,0.00000000058664657437
4,20,0.000024,0.00000000009849704619
4,21,0.000175,0.00000000034887117324
4,22,0.000029,0.00000000054022311528
4,23,0.000019,0.00000000002852009047
4,24,0.000129,0.00000000027086004952
4,25,0.000022,0.00000000004272566651
4,26,0.000021,0.00000000002189213244
4,27,0.000157,0.00000000058372504822
4,28,0.000032,0.00000000091438890186
4,29,0.000022,0.00000000002823078903
4,30,0.000162,0.00000000017402820093
4,31,0.000032,0.00000000058104053648
4,32,0.000022,0.00000000002793586295
4,33,0.000159,0.00000000025002679655
4,34,0.000023,0.00000000011232673553
4,35,0.000022,0.00000000003081926117
4,36,0.000149,0.00000000013622204589
4,37,0.000032,0.00000000103187485593
4,38,0.000023,0.00000000002358937300
4,39,0.000021,0.00000000003327912778
4,40,0.000024,0.00000000009413242939
8,1,0.000251,0.00000000266687482492
8,2,0.000172,0.00000000055316489701
8,3,0.000126,0.00000000003789223839
8,4,0.000113,0.00000000001673188281
8,5,0.000074,0.00000000003235127726
8,6,0.000067,0.00000000002240057757
8,7,0.000082,0.00000000005679660741
8,8,0.000050,0.00000000012790173328
8,9,0.000047,0.00000000014646465444
8,10,0.000043,0.00000000019964787148
8,11,0.000039,0.00000000012309431981
8,12,0.000038,0.00000000014679377634
8,13,0.000039,0.00000000012605121771
8,14,0.000035,0.00000000016051664656
8,15,0.000034,0.00000000016305054375
8,16,0.000034,0.00000000013477295047
8,17,0.000033,0.00000000006487271276
8,18,0.000029,0.00000000002239059955
8,19,0.000030,0.00000000017836732142
8,20,0.000034,0.00000000002098549510
8,21,0.000033,0.00000000004666219694
8,22,0.000033,0.00000000003053018253
8,23,0.000034,0.00000000009580464139
8,24,0.000034,0.00000000003461328285
8,25,0.000030,0.00000000002756965975
8,26,0.000030,0.00000000002760927801
8,27,0.000033,0.00000000002362832106
8,28,0.000030,0.00000000003323530923
8,29,0.000034,0.00000000003051818203
8,30,0.000033,0.00000000003699865717
8,31,0.000035,0.00000000002313233459
8,32,0.000032,0.00000000003421058966
8,33,0.000036,0.00000000004236813278
8,34,0.000033,0.00000000003208525097
8,35,0.000032,0.00000000003279685970
8,36,0.000041,0.00000000004144581388
8,37,0.000044,0.00000000005249667574
8,38,0.000035,0.00000000003932150019
8,39,0.000039,0.00000000002442837428
8,40,0.000040,0.00000000011097591996
12,1,0.000342,0.00000000552558082409
12,2,0.000255,0.00000000038646045140
12,3,0.000167,0.00000000001123282450
12,4,0.000142,0.00000000004708465491
12,5,0.000101,0.00000000005176909680
12,6,0.000083,0.00000000002315049464
12,7,0.000073,0.00000000019190867981
12,8,0.000070,0.00000000017897395186
12,9,0.000062,0.00000000015097351626
12,10,0.000053,0.00000000008549748601
12,11,0.000051,0.00000000015809097456
12,12,0.000050,0.00000000011466121379
12,13,0.000044,0.00000000011813012074
12,14,0.000043,0.00000000011581267340
12,15,0.000045,0.00000000014231295228
12,16,0.000044,0.00000000010153270038
12,17,0.000038,0.00000000003010108092
12,18,0.000037,0.00000000011207679875
12,19,0.000054,0.00000000005203300039
12,20,0.000047,0.00000000003153977323
12,21,0.000058,0.00000000002962923744
12,22,0.000041,0.00000000003020060350
12,23,0.000058,0.00000000005264570851
12,24,0.000041,0.00000000003611153786
12,25,0.000076,0.00000000014974431346
12,26,0.000037,0.00000000002996439310
12,27,0.000082,0.00000000028067942527
12,28,0.000037,0.00000000003625825619
12,29,0.000037,0.00000000003536189165
12,30,0.000071,0.00000000028772089786
12,31,0.000037,0.00000000005906258912
12,32,0.000036,0.00000000002846050508
12,33,0.000037,0.00000000003386672956
12,34,0.000036,0.00000000003163891008
12,35,0.000037,0.00000000002496176348
12,36,0.000037,0.00000000003050560748
12,37,0.000035,0.00000000002350008980
12,38,0.000035,0.00000000002902045997
12,39,0.000036,0.00000000003122676504
12,40,0.000035,0.00000000007216754736
16,1,0.000437,0.00000000857789051688
16,2,0.000385,0.00000000335274044898
16,3,0.000249,0.00000000028422235898
16,4,0.000180,0.00000000029465132712
16,5,0.000119,0.00000000013058027952
