K,num_threads,mean,variance
3,1,0.001046,0.00000001517039820057
3,2,0.000562,0.00000000311802155743
3,3,0.000383,0.00000000691047517765
3,4,0.000307,0.00000000032335178857
3,5,0.000262,0.00000000028829037111
3,6,0.000217,0.00000000024419444637
3,7,0.000191,0.00000000033379212236
3,8,0.000178,0.00000000022435408956
3,9,0.000159,0.00000000028972380305
3,10,0.000141,0.00000000020768886957
3,11,0.000131,0.00000000025675565430
3,12,0.000124,0.00000000018720154445
3,13,0.000117,0.00000000024237398017
3,14,0.000111,0.00000000024844387006
3,15,0.000107,0.00000000027442621354
3,16,0.000102,0.00000000033746965992
3,17,0.000103,0.00000000016909654130
3,18,0.000097,0.00000000025693783716
3,19,0.000094,0.00000000004988260642
3,20,0.000089,0.00000000007719184757
3,21,0.000083,0.00000000006457035049
3,22,0.000092,0.00000000006425267545
3,23,0.000084,0.00000000008435196869
3,24,0.000091,0.00000000010016347988
3,25,0.000089,0.00000000008931936653
3,26,0.000084,0.00000000008364025972
3,27,0.000082,0.00000000009211385778
3,28,0.000082,0.00000000007517844133
3,29,0.000080,0.00000000009375020901
3,30,0.000079,0.00000000008522080390
3,31,0.000076,0.00000000009064866465
3,32,0.000074,0.00000000011937500885
3,33,0.000073,0.00000000008089969578
3,34,0.000073,0.00000000009064254616
3,35,0.000070,0.00000000008714914065
3,36,0.000072,0.00000000008400416433
3,37,0.000069,0.00000000006366189798
3,38,0.000068,0.00000000007597237898
3,39,0.000066,0.00000000009258958758
3,40,0.000070,0.00000000045626035385
4,1,0.001372,0.00000002132090379697
4,2,0.000774,0.00000000551904688014
4,3,0.000502,0.00000000784549955398
4,4,0.000402,0.00000000007000354861
4,5,0.000328,0.00000000023370118852
4,6,0.000285,0.00000000005279903811
4,7,0.000253,0.00000000009835420957
4,8,0.000227,0.00000000026981499184
4,9,0.000201,0.00000000021913142625
4,10,0.000181,0.00000000009080898497
4,11,0.000168,0.00000000025412751991
4,12,0.000155,0.00000000008723377971
4,13,0.000151,0.00000000007764227777
4,14,0.000143,0.00000000026315018566
4,15,0.000142,0.00000000023714990677
4,16,0.000133,0.00000000029955510802
4,17,0.000130,0.00000000030043703224
4,18,0.000127,0.00000000033038293245
4,19,0.000123,0.00000000007757942511
4,20,0.000119,0.00000000007269163560
4,21,0.000109,0.00000000008839619198
4,22,0.000114,0.00000000009170885121
4,23,0.000120,0.00000000008077128687
4,24,0.000120,0.00000000007462725738
4,25,0.000113,0.00000000008271692465
4,26,0.000209,0.00000029306240020029
4,27,0.000104,0.00000000011120602769
4,28,0.000102,0.00000000007519332438
4,29,0.000099,0.00000000008984708163
4,30,0.000098,0.00000000008531600620
4,31,0.000096,0.00000000009410838013
4,32,0.000092,0.00000000006524601841
4,33,0.000091,0.00000000028904021186
4,34,0.000092,0.00000000014035732462
4,35,0.000088,0.00000000012023443758
4,36,0.000087,0.00000000011438226818
4,37,0.000087,0.00000000013058752253
4,38,0.000084,0.00000000009876371769
4,39,0.000084,0.00000000013257388820
4,40,0.000084,0.00000000023556244236
8,1,0.002665,0.00000003960269253169
8,2,0.001444,0.00000001480858797956
8,3,0.001017,0.00000000029759723846
8,4,0.000781,0.00000000034822130900
8,5,0.000647,0.00000000015390110805
8,6,0.000560,0.00000000013822627505
8,7,0.000479,0.00000000020254530346
8,8,0.000432,0.00000000105094616702
8,9,0.000389,0.00000000027642027311
8,10,0.000379,0.00000000007705219345
8,11,0.000340,0.00000000006437886711
8,12,0.000348,0.00000000010512060143
8,13,0.000383,0.00000006191214534387
8,14,0.000344,0.00000000011781886357
8,15,0.000310,0.00000000009063256662
8,16,0.000295,0.00000000010118058905
8,17,0.000284,0.00000000008417166398
8,18,0.000278,0.00000000011862409443
8,19,0.000269,0.00000000007871124990
8,20,0.000250,0.00000000007887706042
8,21,0.000243,0.00000000022109573474
8,22,0.000235,0.00000000010892335698
8,23,0.000233,0.00000000017252250662
8,24,0.000224,0.00000000029412915453
8,25,0.000213,0.00000000036940555836
8,26,0.000205,0.00000000010085552496
8,27,0.000248,0.00000006627859889336
8,28,0.000197,0.00000000054415822680
8,29,0.000192,0.00000000050419067654
8,30,0.000187,0.00000000009922728333
8,31,0.000182,0.00000000010665786852
8,32,0.000174,0.00000000013446193445
8,33,0.000173,0.00000000010388026603
8,34,0.000168,0.00000000012879265974
8,35,0.000162,0.00000000009750139380
8,36,0.000161,0.00000000011063990971
8,37,0.000156,0.00000000009886773840
8,38,0.000154,0.00000000012636733618
8,39,0.000155,0.00000000011433666676
8,40,0.000151,0.00000000024092420783
12,1,0.003989,0.00000006617088967898
