Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 15.036487,0.00136458091455113795
csr_vector,1, 50.495599,0.00027771044969131199
csr_vector_sub_warp,1, 25.998456,0.00385663403763920973
csr_adaptive,1, 36.649946,0.00008192831856165266
csr_vector_by_row,1, 32.290653,0.00129829744815908852
csr_adaptive_sub_block,1, 27.924271,0.00056507939768003931
csr_scalar,3, 95.045107,0.01692626116271855885
csr_vector,3, 61.598088,0.00036767872559173738
csr_vector_sub_warp,3, 148.545900,0.00092218489068663007
csr_adaptive,3, 39.824741,0.00003436485372498873
csr_vector_by_row,3, 94.754812,0.00325993910902217182
csr_adaptive_sub_block,3, 17.475209,0.00003572786400360315
csr_scalar,4, 153.945746,0.00333304844569791599
csr_vector,4, 62.806401,0.00012583958464873729
csr_vector_sub_warp,4, 186.767951,0.00209931269762813439
csr_adaptive,4, 40.529504,0.00002018670470999293
csr_vector_by_row,4, 125.310967,0.00412106012674112471
csr_adaptive_sub_block,4, 17.941040,0.00000260753593249654
csr_scalar,8, 285.448616,0.77672165593822706242
csr_vector,8, 64.388688,0.01843308062532869954
csr_vector_sub_warp,8, 250.909953,0.16522577801969420830
csr_adaptive,8, 41.995625,0.00176017260230524730
csr_vector_by_row,8, 214.782402,0.00404183721831382139
csr_adaptive_sub_block,8, 29.866528,0.00228252701346442783
csr_scalar,12, 310.678144,2.73671099837279818701
csr_vector,12, 64.294583,0.01931022280344867059
csr_vector_sub_warp,12, 269.162418,0.63370071970719310528
csr_adaptive,12, 43.287279,0.00344453363323704402
csr_vector_by_row,12, 203.063698,0.81957835323190819654
csr_adaptive_sub_block,12, 38.867015,0.00189224072857689749
csr_scalar,16, 338.310313,5.32049924813254726530
csr_vector,16, 64.813069,0.01390537154870709509
csr_vector_sub_warp,16, 274.029860,1.32852858295207409967
csr_adaptive,16, 43.940421,0.00115859074236244748
csr_vector_by_row,16, 232.270483,0.82525380148403304492
csr_adaptive_sub_block,16, 49.382521,0.00164272167658283618
csr_scalar,32, 349.745449,0.00067621805048534607
csr_vector,32, 65.254834,0.01118170203104895156
csr_vector_sub_warp,32, 290.767469,0.31115508193391194780
csr_adaptive,32, 45.160906,0.00272685816643807206
csr_vector_by_row,32, 239.851025,1.01802275261526209427
csr_adaptive_sub_block,32, 78.466170,0.00243650609543583909
csr_scalar,64, 333.464750,375.82998901753870768516
csr_vector,64, 65.176385,0.00000406203142999612
csr_vector_sub_warp,64, 304.132051,1.56678107790293186241
csr_adaptive,64, 46.537165,0.00173456727863743974
csr_vector_by_row,64, 237.764501,0.75917586381073021151
csr_adaptive_sub_block,64, 109.592352,0.14277231595934372632
