Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 10.318238,0.00125176901661985720
csr_vector,1, 48.181843,0.00062568239374480425
csr_vector_sub_warp,1, 22.815984,0.00451445082571329780
csr_adaptive,1, 30.860195,0.00205434376578476343
csr_vector_by_row,1, 31.442927,0.00954804966750215194
csr_adaptive_personalizzato,1, 32.964173,0.08124022640801567552
csr_scalar,3, 84.467454,0.02592663092728353727
csr_vector,3, 54.203216,0.00062845432500584089
csr_vector_sub_warp,3, 143.318738,0.02663409622393333315
csr_adaptive,3, 35.719680,4.23545779020535206882
csr_vector_by_row,3, 109.542685,0.00564961756603330097
csr_adaptive_personalizzato,3, 154.338854,0.04318920072517389713
csr_scalar,4, 148.827047,0.04781593481369586507
csr_vector,4, 64.230627,0.00541966569645840890
csr_vector_sub_warp,4, 184.251030,0.00822384671937431699
csr_adaptive,4, 37.871818,0.00229982564736410863
csr_vector_by_row,4, 145.267321,0.00566844884834178872
csr_adaptive_personalizzato,4, 207.398239,0.01852110921688493450
csr_scalar,8, 282.424078,0.10334988705319710089
csr_vector,8, 67.919524,0.00031746395035658128
csr_vector_sub_warp,8, 263.252247,0.00958071817814639369
csr_adaptive,8, 38.457663,0.00029421838191789272
csr_vector_by_row,8, 239.144313,0.02022005524015659320
csr_adaptive_personalizzato,8, 304.326760,0.08993200262559712665
csr_scalar,12, 302.203019,0.01054049873407487438
csr_vector,12, 68.652824,0.00005070769497981442
csr_vector_sub_warp,12, 290.319987,0.02772060894136002193
csr_adaptive,12, 38.775450,0.00001783090054214511
csr_vector_by_row,12, 221.931031,0.00777740374908496724
csr_adaptive_personalizzato,12, 305.071434,0.10212294293800311396
csr_scalar,16, 350.841135,0.05255026761563764276
csr_vector,16, 68.733369,0.00012322105117779894
csr_vector_sub_warp,16, 294.367363,0.03148405876904434436
csr_adaptive,16, 39.191003,0.00000629681128048575
csr_vector_by_row,16, 254.974727,0.00364488352418911032
csr_adaptive_personalizzato,16, 318.279803,0.03915564556325614592
csr_scalar,32, 353.277678,0.00637671129041174258
csr_vector,32, 69.451380,0.00533107346108541505
csr_vector_sub_warp,32, 320.571519,3.86945019648912991173
csr_adaptive,32, 39.770025,0.01167718852120928213
csr_vector_by_row,32, 255.742889,0.00159898895373458759
csr_adaptive_personalizzato,32, 329.106699,0.02938639754109495517
csr_scalar,64, 353.566470,0.00287712946209098090
csr_vector,64, 70.241292,0.00120929492485775947
csr_vector_sub_warp,64, 319.723517,7.66703415552638656294
csr_adaptive,64, 40.598475,0.00526196203683681162
csr_vector_by_row,64, 250.568022,1.18322882363666570527
csr_adaptive_personalizzato,64, 329.272530,0.21242682077455207756
