Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 15.957874,0.02290629082912731818
csr_vector,1, 37.676555,0.00177395677166816441
csr_vector_sub_warp,1, 27.894687,0.07055554032344793502
csr_adaptive,1, 28.748293,0.00383373531228665748
csr_vector_by_row,1, 26.022025,0.00115100368431566040
csr_adaptive_sub_block,1, 18.826886,0.00026289575602330589
csr_scalar,3, 97.920175,0.16905918304635517146
csr_vector,3, 39.488303,0.01317811788329153501
csr_vector_sub_warp,3, 128.678202,0.12025564849322119276
csr_adaptive,3, 31.434246,0.00385383392849169030
csr_vector_by_row,3, 78.077580,0.00924097074969382898
csr_adaptive_sub_block,3, 13.802982,0.43610549841065443522
csr_scalar,4, 148.113294,0.04002285692927837896
csr_vector,4, 46.977736,0.00037586810467985437
csr_vector_sub_warp,4, 166.768980,0.03565361342551094659
csr_adaptive,4, 36.289811,0.00022698442477509382
csr_vector_by_row,4, 118.483855,0.01552315229240466485
csr_adaptive_sub_block,4, 11.457017,0.00088553929194267063
csr_scalar,8, 225.334168,0.08782202928496460337
csr_vector,8, 50.817790,0.00096767714084021168
csr_vector_sub_warp,8, 218.580625,0.02947942080605157888
csr_adaptive,8, 38.732461,0.00018651371884981753
csr_vector_by_row,8, 195.624091,0.02897386221863292033
csr_adaptive_sub_block,8, 24.942259,0.00002574939680374746
csr_scalar,12, 234.275361,0.14084034285649649210
csr_vector,12, 51.268016,0.00023181249204204618
csr_vector_sub_warp,12, 231.471366,0.15026438354401330799
csr_adaptive,12, 40.319755,0.00003141252173062147
csr_vector_by_row,12, 184.672370,0.02161978002802053891
csr_adaptive_sub_block,12, 35.560321,0.00011823188468378321
csr_scalar,16, 265.669678,0.17725384701358343209
csr_vector,16, 54.068344,0.00004163330660782424
csr_vector_sub_warp,16, 266.978038,0.06348562999675670671
csr_adaptive,16, 41.146062,0.00009694290094483922
csr_vector_by_row,16, 205.869415,0.01386987595839835052
csr_adaptive_sub_block,16, 44.919340,0.00054774651966396604
csr_scalar,32, 348.630685,0.54576210933355651100
csr_vector,32, 54.643917,0.00019248595973705345
csr_vector_sub_warp,32, 279.189492,0.01349889670434465186
csr_adaptive,32, 42.868280,0.00009946325094922809
csr_vector_by_row,32, 203.698047,0.00620612910177921386
csr_adaptive_sub_block,32, 83.880226,0.00056423061254376602
csr_scalar,64, 348.046785,0.01406274174506510349
csr_vector,64, 54.191693,0.00052143305073049746
csr_vector_sub_warp,64, 279.324147,1.66781342761015261011
csr_adaptive,64, 41.656817,0.01779854491315108547
csr_vector_by_row,64, 198.243978,0.00325918654210306758
csr_adaptive_sub_block,64, 133.359329,1.08088753149985183910
