Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 0.218223,0.00001167629239966205
csr_vector,1, 1.725366,0.00737432619261524976
csr_vector_sub_warp,1, 0.221112,0.00000059496342682859
csr_adaptive,1, 0.931762,0.00041898388812444676
csr_vector_by_row,1, 0.643031,0.00003864800961549022
csr_adaptive_personalizzato,1, 0.360808,0.00000870969391114657
csr_scalar,3, 0.644673,0.00000501585831073422
csr_vector,3, 2.954055,0.00165172525728799792
csr_vector_sub_warp,3, 0.744611,0.01056261712871005114
csr_adaptive,3, 3.125918,0.00586842384055080366
csr_vector_by_row,3, 2.511574,0.00069958362376350129
csr_adaptive_personalizzato,3, 1.507252,0.00038394922992101795
csr_scalar,4, 1.225634,0.00004514765049705669
csr_vector,4, 4.565061,0.01305928342746297960
csr_vector_sub_warp,4, 1.165940,0.00006151774555669741
csr_adaptive,4, 3.950504,0.00892404885699311229
csr_vector_by_row,4, 3.363557,0.00140994681301637604
csr_adaptive_personalizzato,4, 2.014070,0.00040925624627399690
csr_scalar,8, 2.354553,0.00111702962725611496
csr_vector,8, 5.285892,0.00532631303199179902
csr_vector_sub_warp,8, 2.407944,0.00020499260423674758
csr_adaptive,8, 6.694294,0.00456331015402300713
csr_vector_by_row,8, 6.579926,0.01598973819903443810
csr_adaptive_personalizzato,8, 3.870551,0.00081914985221737547
csr_scalar,12, 3.604226,0.00081560430867310242
csr_vector,12, 5.569592,0.00310725366136014843
csr_vector_sub_warp,12, 3.473823,0.00030730076676146751
csr_adaptive,12, 8.536879,0.02186295923630868915
csr_vector_by_row,12, 5.515205,0.00389570311502247715
csr_adaptive_personalizzato,12, 5.894301,0.01294185683841928003
csr_scalar,16, 4.737725,0.00353829680268618165
csr_vector,16, 5.759184,0.00408711899121691480
csr_vector_sub_warp,16, 4.719318,0.02394659273834982491
csr_adaptive,16, 10.794032,0.01733785268433695945
csr_vector_by_row,16, 7.892238,0.00430090102110624629
csr_adaptive_personalizzato,16, 8.148218,0.00589159200161334159
csr_scalar,32, 10.105755,0.01040969458177997721
csr_vector,32, 7.126509,0.00079471714446205637
csr_vector_sub_warp,32, 9.422997,0.04073124180192871230
csr_adaptive,32, 14.363496,0.03015196654655423816
csr_vector_by_row,32, 8.264601,0.00949127805953355747
csr_adaptive_personalizzato,32, 15.358004,0.04354161766877755191
csr_scalar,64, 18.829556,0.07826758223866984998
csr_vector,64, 7.617888,0.01137706149865687355
csr_vector_sub_warp,64, 16.978416,0.01812913258218211074
csr_adaptive,64, 17.443404,0.01043631763205688651
csr_vector_by_row,64, 8.388216,0.01374772876424440460
csr_adaptive_personalizzato,64, 25.388129,0.17893159692594062804
