Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 26.210860,0.48242302661403374531
csr_vector,1, 18.627452,0.92694536015270123652
csr_vector_sub_warp,1, 24.034633,0.26011209159580395145
csr_adaptive,1, 13.999933,0.00726897840987949639
csr_vector_by_row,1, 14.944592,0.00999321850833879977
csr_adaptive_sub_block,1, 26.951451,0.07036129379786490445
csr_scalar,3, 89.837726,4.86018503608210838962
csr_vector,3, 23.348827,0.00254670239104885223
csr_vector_sub_warp,3, 89.006567,0.39551844095743210472
csr_adaptive,3, 15.666981,0.00678468602102174322
csr_vector_by_row,3, 43.939425,0.03760427474734696213
csr_adaptive_sub_block,3, 32.388055,0.02847775399904386648
csr_scalar,4, 116.264256,21.41594088594863265484
csr_vector,4, 23.702581,0.00317462178238875391
csr_vector_sub_warp,4, 104.399558,0.56352673420591570252
csr_adaptive,4, 16.026739,0.00219840663757398186
csr_vector_by_row,4, 57.537169,0.07910013064298904162
csr_adaptive_sub_block,4, 29.703505,0.01924098702200368119
csr_scalar,8, 184.667562,33.20521432779602832852
csr_vector,8, 24.566848,0.00050868414074805028
csr_vector_sub_warp,8, 141.335004,1.02018826273266438598
csr_adaptive,8, 16.889188,0.00029158044605677468
csr_vector_by_row,8, 104.657415,0.18468807603605835732
csr_adaptive_sub_block,8, 21.573351,0.00061811952314892423
csr_scalar,12, 211.903814,6.54744452427571310693
csr_vector,12, 24.888484,0.00080402197937044729
csr_vector_sub_warp,12, 156.864441,1.25121195111448058057
csr_adaptive,12, 17.159915,0.00106264770105727203
csr_vector_by_row,12, 103.910060,0.68706826605560977761
csr_adaptive_sub_block,12, 15.031441,0.00015257209847885773
csr_scalar,16, 231.257897,78.62309369396524516560
csr_vector,16, 25.193479,0.00047890490726079448
csr_vector_sub_warp,16, 168.236997,0.54641879927509673376
csr_adaptive,16, 17.575958,0.00274351369749682673
csr_vector_by_row,16, 123.232137,0.71974474828757639688
csr_adaptive_sub_block,16, 19.010807,0.00033571411770583144
csr_scalar,32, 266.090350,19.97245562979497890410
csr_vector,32, 25.427677,0.00010264651631794226
csr_vector_sub_warp,32, 186.786488,0.36829739344036421800
csr_adaptive,32, 18.063211,0.00022951271536499063
csr_vector_by_row,32, 130.463703,0.21390562027536524914
csr_adaptive_sub_block,32, 34.403718,0.00063479886987106776
csr_scalar,64, 281.076389,4.29697490827755679277
csr_vector,64, 26.222815,0.00008148347290045304
csr_vector_sub_warp,64, 198.922867,0.25066354246856525911
csr_adaptive,64, 18.843119,0.00013661253008008856
csr_vector_by_row,64, 154.499536,18.54461021454756419757
csr_adaptive_sub_block,64, 82.742068,0.00236373320275405771
