Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 52.222536,1.25737473508167885150
csr_vector,1, 5.660027,0.00008144206926115055
csr_vector_sub_warp,1, 45.159891,0.26415722089577392540
csr_adaptive,1, 21.076709,0.04602602296135911708
csr_vector_by_row,1, 5.766278,0.00002354116939788915
csr_adaptive_sub_block,1, 32.043389,0.17296701645467243980
csr_scalar,3, 77.611635,0.93786141965684266530
csr_vector,3, 5.715743,0.00001502472234927084
csr_vector_sub_warp,3, 55.799362,0.04728550888301043253
csr_adaptive,3, 20.651452,0.00729978773029792572
csr_vector_by_row,3, 15.535048,0.00063861241435075400
csr_adaptive_sub_block,3, 29.423395,0.01603637786905829157
csr_scalar,4, 78.568517,0.63148002375402489950
csr_vector,4, 5.725562,0.00068635426754177348
csr_vector_sub_warp,4, 56.459369,0.03869441720469754542
csr_adaptive,4, 19.078612,0.00311769159015049500
csr_vector_by_row,4, 19.166668,0.00200279955541018571
csr_adaptive_sub_block,4, 26.581468,0.00411793532558190831
csr_scalar,8, 83.510788,0.95317858040179259671
csr_vector,8, 5.658434,0.00000461112563363126
csr_vector_sub_warp,8, 57.896847,0.00780890507276315541
csr_adaptive,8, 14.982458,0.00058636084473294068
csr_vector_by_row,8, 19.749826,0.00013978685936357824
csr_adaptive_sub_block,8, 18.647071,0.00055160620122069620
csr_scalar,12, 89.402729,0.49116131759482012376
csr_vector,12, 6.352972,0.00000396594927002664
csr_vector_sub_warp,12, 63.894186,0.00373649611377987242
csr_adaptive,12, 13.517712,0.00002668562138163879
csr_vector_by_row,12, 15.931276,0.00011355438827876705
csr_adaptive_sub_block,12, 15.524075,0.00018119486868140388
csr_scalar,16, 105.122904,1.18002887792783450749
csr_vector,16, 6.337595,0.00000306620073751793
csr_vector_sub_warp,16, 72.532868,0.00681208717802220254
csr_adaptive,16, 12.518397,0.00002451579228544918
csr_vector_by_row,16, 14.546180,0.00007289858233638402
csr_adaptive_sub_block,16, 14.160651,0.00011432838256301562
csr_scalar,32, 106.977464,0.14453033346019988903
csr_vector,32, 6.238672,0.00000289550808595255
csr_vector_sub_warp,32, 76.706038,0.00640202500991379850
csr_adaptive,32, 10.729851,0.00000557949528984937
csr_vector_by_row,32, 11.172620,0.00002499962121064511
csr_adaptive_sub_block,32, 11.437319,0.00000747741017764054
csr_scalar,64, 101.222566,0.01315458057533416131
csr_vector,64, 6.212998,0.00000091213517331095
csr_vector_sub_warp,64, 78.358533,0.00227844869321551903
csr_adaptive,64, 9.672113,0.00000667785197297471
csr_vector_by_row,64, 9.306278,0.00000981184564401050
csr_adaptive_sub_block,64, 9.646195,0.00000580407619543489
