Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 5.204512,0.03284731556223254023
csr_vector,1, 9.254057,0.09639963646563773358
csr_vector_sub_warp,1, 8.613885,0.08467607330788221032
csr_adaptive,1, 8.839861,0.07107495105172714767
csr_vector_by_row,1, 7.686833,0.03385878547066169947
csr_adaptive_personalizzato,1, 5.682946,0.01242808465403816634
csr_scalar,3, 19.240595,0.28628011444068768299
csr_vector,3, 17.915888,0.17473989174648477118
csr_vector_sub_warp,3, 27.136988,0.77719910693625193776
csr_adaptive,3, 15.747768,0.07789182408686536052
csr_vector_by_row,3, 22.094904,3.36972868392252467018
csr_adaptive_personalizzato,3, 21.042670,0.30299391979989631629
csr_scalar,4, 26.449391,0.18370990616334545442
csr_vector,4, 19.974153,0.15307233476714485199
csr_vector_sub_warp,4, 36.481144,0.84776219518481354953
csr_adaptive,4, 17.656827,0.09246532430160019078
csr_vector_by_row,4, 28.546712,0.46478524316474278955
csr_adaptive_personalizzato,4, 28.935248,0.39335524385089171151
csr_scalar,8, 60.439207,3.18872159642855113049
csr_vector,8, 26.413799,0.15272520202552344881
csr_vector_sub_warp,8, 66.589884,4.01514559900766343503
csr_adaptive,8, 21.443447,0.03827570678037615221
csr_vector_by_row,8, 53.449735,0.95808886456633934881
csr_adaptive_personalizzato,8, 57.817460,2.99813429958628718808
csr_scalar,12, 84.871448,2.00153452614853399893
csr_vector,12, 31.064889,0.84597255241517610447
csr_vector_sub_warp,12, 94.797409,7.41895749365722156909
csr_adaptive,12, 23.322222,0.04615292241122872369
csr_vector_by_row,12, 66.071167,5.68638674681072409101
csr_adaptive_personalizzato,12, 70.871573,38.18298794279512975436
csr_scalar,16, 102.765186,5.54739810203644889697
csr_vector,16, 30.589325,0.02042193790949298898
csr_vector_sub_warp,16, 98.894649,4.34155487721172583804
csr_adaptive,16, 24.346323,0.01391266130878659156
csr_vector_by_row,16, 71.572441,1.78325388591861622167
csr_adaptive_personalizzato,16, 102.757021,5.16871133005184280051
csr_scalar,32, 151.295484,87.62600917151570456554
csr_vector,32, 33.428189,0.33259278643716277957
csr_vector_sub_warp,32, 146.414502,118.87652652528498720130
csr_adaptive,32, 25.598373,0.00351617818585267744
csr_vector_by_row,32, 84.187785,5.35839321790619660391
csr_adaptive_personalizzato,32, 162.850340,66.81766426250707979762
csr_scalar,64, 184.367159,346.64090123625879868996
csr_vector,64, 32.827682,0.18896037846674298977
csr_vector_sub_warp,64, 163.616633,102.69157354321284003618
csr_adaptive,64, 23.963881,0.19486692702833791069
csr_vector_by_row,64, 89.100014,8.02099011137732276211
csr_adaptive_personalizzato,64, 191.346854,90.57761107793503185803
