Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 0.211143,0.00000000438863344833
csr_vector,1, 4.140737,0.00006993021667109899
csr_vector_sub_warp,1, 0.191566,0.00000011746019617925
csr_adaptive,1, 0.847497,0.00000017955027238092
csr_vector_by_row,1, 0.667555,0.00000015136836644110
csr_adaptive_sub_block,1, 18.921397,0.02307627530451654418
csr_scalar,3, 0.637167,0.00111981068693269774
csr_vector,3, 9.062942,0.00001429488561628206
csr_vector_sub_warp,3, 0.596918,0.00000001978564402042
csr_adaptive,3, 2.845246,0.00000658933797326565
csr_vector_by_row,3, 2.180222,0.00000132856459399305
csr_adaptive_sub_block,3, 24.025793,0.11678300141352020158
csr_scalar,4, 0.875808,0.00000007509529023776
csr_vector,4, 9.208357,0.00007170067827517135
csr_vector_sub_warp,4, 0.757656,0.00000001695875491558
csr_adaptive,4, 3.921473,0.00001224734696480752
csr_vector_by_row,4, 2.856001,0.00000466725773251030
csr_adaptive_sub_block,4, 16.873688,0.09433111370694458042
csr_scalar,8, 1.664124,0.00000015858709417435
csr_vector,8, 9.433452,0.00001882922674513115
csr_vector_sub_warp,8, 1.436939,0.00000030131721808033
csr_adaptive,8, 6.843681,0.00001903506129940533
csr_vector_by_row,8, 5.244356,0.00001746046563022115
csr_adaptive_sub_block,8, 25.400619,0.03926135143175749076
csr_scalar,12, 2.485760,0.00000141466294639935
csr_vector,12, 9.513330,0.00002436312254060920
csr_vector_sub_warp,12, 2.197585,0.00127450874419878109
csr_adaptive,12, 10.067972,0.00008123446410216508
csr_vector_by_row,12, 4.055333,0.00000385508726486771
csr_adaptive_sub_block,12, 16.138747,0.05425462685463038059
csr_scalar,16, 3.335559,0.00000255885060935784
csr_vector,16, 9.566870,0.00001448589932162103
csr_vector_sub_warp,16, 2.899916,0.00000091871638395537
csr_adaptive,16, 13.213844,0.00023826269001895752
csr_vector_by_row,16, 5.252165,0.00001279438529047892
csr_adaptive_sub_block,16, 23.913927,0.04656560958472069633
csr_scalar,32, 6.753204,0.00000811727464497642
csr_vector,32, 9.690667,0.00000636690760952870
csr_vector_sub_warp,32, 5.640478,0.00000618684074953221
csr_adaptive,32, 24.443205,0.00071500660346272794
csr_vector_by_row,32, 5.245387,0.00000567224710202349
csr_adaptive_sub_block,32, 21.440424,0.01085890499475693043
csr_scalar,64, 12.677515,0.00008645889863418333
csr_vector,64, 9.796005,0.00000868523821437440
csr_vector_sub_warp,64, 10.966596,0.00002277923684933850
csr_adaptive,64, 24.805319,0.00014836662022761233
csr_vector_by_row,64, 5.234958,0.00000278644703636270
csr_adaptive_sub_block,64, 18.583583,0.00574975156867081529
