Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 28.351063,0.26617422144433455777
csr_vector,1, 4.942106,0.00023145087538485140
csr_vector_sub_warp,1, 26.516119,0.13370586567066380934
csr_adaptive,1, 15.482482,0.03961462259263492242
csr_vector_by_row,1, 5.302429,0.00040465168923476167
csr_adaptive_personalizzato,1, 24.619361,0.12526480641144310813
csr_scalar,3, 57.074149,1.47935260068339835549
csr_vector,3, 5.434656,0.00005224372161675047
csr_vector_sub_warp,3, 49.328762,0.20316006564715910487
csr_adaptive,3, 18.000344,0.00905162348742014587
csr_vector_by_row,3, 16.576057,0.00608586420679143106
csr_adaptive_personalizzato,3, 54.291544,0.49520006176171071921
csr_scalar,4, 67.589138,2.31149373562768500889
csr_vector,4, 5.488234,0.00002270687254239964
csr_vector_sub_warp,4, 53.616483,0.09535117742326096324
csr_adaptive,4, 18.288642,0.00274709299618536773
csr_vector_by_row,4, 22.388231,0.02175126437704737875
csr_adaptive_personalizzato,4, 60.683317,0.31358627306502578902
csr_scalar,8, 82.635104,0.35155580489871834926
csr_vector,8, 5.623679,0.00002039827394883306
csr_vector_sub_warp,8, 59.343264,0.03638119300441951948
csr_adaptive,8, 18.740163,0.00222987316715924895
csr_vector_by_row,8, 46.755764,0.17548591357820989001
csr_adaptive_personalizzato,8, 77.136555,0.89956701268840566499
csr_scalar,12, 90.500652,3.62527216548967423648
csr_vector,12, 5.738531,0.00000515109146123139
csr_vector_sub_warp,12, 61.809911,0.05948478057669483177
csr_adaptive,12, 19.003479,0.00054406059153493146
csr_vector_by_row,12, 41.545772,0.01907673462073852452
csr_adaptive_personalizzato,12, 82.797024,2.40376887850847564820
csr_scalar,16, 102.205411,8.30602740539998940505
csr_vector,16, 5.790337,0.00001127010739026369
csr_vector_sub_warp,16, 71.436147,0.06258842706092634933
csr_adaptive,16, 19.053419,0.00050152397712215459
csr_vector_by_row,16, 54.611570,0.01164492271714630267
csr_adaptive_personalizzato,16, 93.712644,0.28062158305738527098
csr_scalar,32, 146.430529,0.20097380064566619517
csr_vector,32, 6.342244,0.00000274509782632333
csr_vector_sub_warp,32, 80.043826,0.04949431465422881454
csr_adaptive,32, 20.831765,0.00348447990427633303
csr_vector_by_row,32, 70.597753,0.04129320275852128852
csr_adaptive_personalizzato,32, 122.120869,0.09876105292550223236
csr_scalar,64, 163.868126,0.57476711700116189796
csr_vector,64, 6.985129,0.00000149921266254068
csr_vector_sub_warp,64, 91.482272,0.01451627139424576350
csr_adaptive,64, 22.929151,0.00051311749798318019
csr_vector_by_row,64, 81.280099,0.01223973773856917163
csr_adaptive_personalizzato,64, 132.238027,0.06589638971202241291
