Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 1.649254,0.00075193492652647403
csr_vector,1, 3.880826,0.01332206489400527237
csr_vector_sub_warp,1, 2.308470,0.00218542815298786337
csr_adaptive,1, 3.625952,0.00928851941759742047
csr_vector_by_row,1, 3.389306,0.00525340638442130855
csr_adaptive_personalizzato,1, 2.122552,0.00165847689934676512
csr_scalar,3, 5.065285,0.00101424387860845678
csr_vector,3, 8.764069,0.04075962256766496594
csr_vector_sub_warp,3, 7.597262,0.25944698758580636566
csr_adaptive,3, 7.914243,0.01927863619110033525
csr_vector_by_row,3, 10.031547,0.05373109461144918997
csr_adaptive_personalizzato,3, 6.720674,0.02134571351625714000
csr_scalar,4, 7.206642,0.01672740508543386906
csr_vector,4, 11.236698,0.11888391258544610263
csr_vector_sub_warp,4, 10.691885,0.09779881556515830632
csr_adaptive,4, 9.725523,0.11628952636509404250
csr_vector_by_row,4, 13.763781,0.23448268996729101921
csr_adaptive_personalizzato,4, 9.595451,0.02532803186073366575
csr_scalar,8, 15.930523,0.14355286743168826913
csr_vector,8, 16.586451,0.24769886209279368128
csr_vector_sub_warp,8, 23.729126,0.39371860523765567219
csr_adaptive,8, 14.780315,0.13100064775838751729
csr_vector_by_row,8, 27.010078,0.06436619540870530676
csr_adaptive_personalizzato,8, 24.926577,0.46745555114525999540
csr_scalar,12, 24.890528,2.99152969130310042445
csr_vector,12, 21.172510,0.13167663402782989190
csr_vector_sub_warp,12, 34.008054,0.96397637544245418084
csr_adaptive,12, 17.454881,0.07148040331908710188
csr_vector_by_row,12, 31.788996,0.20270952038430978259
csr_adaptive_personalizzato,12, 40.609364,2.66103356793108769551
csr_scalar,16, 35.996008,0.72009812893182645333
csr_vector,16, 23.433570,0.09571864612646369119
csr_vector_sub_warp,16, 47.386109,1.25984847617129136488
csr_adaptive,16, 18.847571,0.11900517665038821968
csr_vector_by_row,16, 35.229260,0.25651770674683310736
csr_adaptive_personalizzato,16, 56.343636,3.34207312714611770588
csr_scalar,32, 70.556422,2.11852099751376332648
csr_vector,32, 27.449093,0.57266959970522890444
csr_vector_sub_warp,32, 73.112208,2.89492331850850792563
csr_adaptive,32, 22.358578,0.10217922980586768844
csr_vector_by_row,32, 60.385430,3.29590428725879291960
csr_adaptive_personalizzato,32, 80.917310,19.44093730259324104281
csr_scalar,64, 152.449510,180.66675573952312561232
csr_vector,64, 33.802243,0.13718786029466939480
csr_vector_sub_warp,64, 127.056581,54.38252130454143440375
csr_adaptive,64, 24.985105,0.00658952944798470511
csr_vector_by_row,64, 69.209222,1.87462444592941235300
csr_adaptive_personalizzato,64, 113.436917,63.56031428259095150679
