Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 8.078740,0.32308585134625217306
csr_vector,1, 11.492083,0.20319127926123409233
csr_vector_sub_warp,1, 16.467334,0.87891518903564380683
csr_adaptive,1, 9.165244,0.08790085930092264577
csr_vector_by_row,1, 9.559068,0.02874871738912521124
csr_adaptive_personalizzato,1, 13.077390,0.07154240501032124722
csr_scalar,3, 29.736656,3.67066431366234180445
csr_vector,3, 16.214531,0.04139737467700472379
csr_vector_sub_warp,3, 38.221964,0.62823249469414443880
csr_adaptive,3, 12.449096,0.03202072954075271816
csr_vector_by_row,3, 28.492806,0.30919931659446203698
csr_adaptive_personalizzato,3, 31.925668,3.34219653999189469928
csr_scalar,4, 42.498054,3.71108629782495658134
csr_vector,4, 16.903803,0.04383570226941471693
csr_vector_sub_warp,4, 54.162302,3.95744996147498628858
csr_adaptive,4, 13.053001,0.02797109486320915883
csr_vector_by_row,4, 37.799718,1.25873356571814198901
csr_adaptive_personalizzato,4, 59.616595,5.20665746794042583190
csr_scalar,8, 90.183985,10.53159025259201797553
csr_vector,8, 24.193586,0.01709926104246075468
csr_vector_sub_warp,8, 94.520584,7.63264924098121344542
csr_adaptive,8, 18.188179,0.02513621808374750383
csr_vector_by_row,8, 88.350824,0.17533241393048926149
csr_adaptive_personalizzato,8, 87.488928,1.88542853840592883330
csr_scalar,12, 102.084181,47.02053576776017251859
csr_vector,12, 25.007289,0.02332669371106664558
csr_vector_sub_warp,12, 106.533608,3.44028702243110418024
csr_adaptive,12, 18.535747,0.00711308784899672419
csr_vector_by_row,12, 85.388754,1.37404247672619717058
csr_adaptive_personalizzato,12, 95.376867,15.82896497808899738402
csr_scalar,16, 127.325352,8.85576514313460450012
csr_vector,16, 25.499831,0.01005436221419626214
csr_vector_sub_warp,16, 130.596080,4.50488481311619981540
csr_adaptive,16, 18.604069,0.00627175859840575951
csr_vector_by_row,16, 103.848287,2.54107476671853582673
csr_adaptive_personalizzato,16, 137.629802,64.80359994354391517390
csr_scalar,32, 196.546045,40.99096654609902401489
csr_vector,32, 27.616906,0.01511131151738796113
csr_vector_sub_warp,32, 164.062024,8.08228865365399151699
csr_adaptive,32, 19.516401,0.00324187435770090888
csr_vector_by_row,32, 118.496759,0.62111473089338686826
csr_adaptive_personalizzato,32, 141.313948,3.76984319587668892382
csr_scalar,64, 216.944790,16.10973520512808221383
csr_vector,64, 26.782294,0.00060529960911272272
csr_vector_sub_warp,64, 160.548157,1.11624952362761686864
csr_adaptive,64, 18.853086,0.00080116121831210602
csr_vector_by_row,64, 123.661913,0.59653353406265330339
csr_adaptive_personalizzato,64, 157.674224,5.05673173475217652140
