Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 1.080381,0.01474220153278942534
csr_vector,1, 2.912107,0.01599878211751398771
csr_vector_sub_warp,1, 1.874158,0.00159579934897454909
csr_adaptive,1, 2.738455,0.02127796761517605426
csr_vector_by_row,1, 2.759317,0.01086570700334561247
csr_adaptive_sub_block,1, 2.311737,0.00394528300304230421
csr_scalar,3, 3.926481,0.00606256964455123299
csr_vector,3, 7.283708,0.03777114655258290848
csr_vector_sub_warp,3, 6.281008,0.02096538234714623306
csr_adaptive,3, 6.123889,0.02386338055604804789
csr_vector_by_row,3, 8.355830,0.04209463552835299160
csr_adaptive_sub_block,3, 5.887634,0.02448106110915032954
csr_scalar,4, 5.526366,0.00943986216578063773
csr_vector,4, 7.611303,0.75151349983743509497
csr_vector_sub_warp,4, 8.527571,0.04951475812518747049
csr_adaptive,4, 7.334691,0.04634471789612640280
csr_vector_by_row,4, 11.177585,0.16298491532233511103
csr_adaptive_sub_block,4, 6.089015,0.02020799351320007320
csr_scalar,8, 12.740288,0.08115918806984702416
csr_vector,8, 12.463503,0.02933572479843048197
csr_vector_sub_warp,8, 17.795645,0.23960400027510622700
csr_adaptive,8, 10.586690,0.07119366024939026427
csr_vector_by_row,8, 19.598099,0.41916196618182571809
csr_adaptive_sub_block,8, 7.091864,0.04714319001881935728
csr_scalar,12, 19.557385,0.23422364737117704059
csr_vector,12, 15.217201,0.04651374159238973183
csr_vector_sub_warp,12, 26.412217,0.82601376759803468719
csr_adaptive,12, 12.459944,0.03816250812962353883
csr_vector_by_row,12, 22.546956,0.37521416023802844908
csr_adaptive_sub_block,12, 7.739498,0.06008254838485636851
csr_scalar,16, 28.991942,0.44417144567971145186
csr_vector,16, 17.091485,0.06391608115199183537
csr_vector_sub_warp,16, 37.246676,0.52785548274483995446
csr_adaptive,16, 13.746730,0.05980439998447474592
csr_vector_by_row,16, 28.984503,0.42677659645556725865
csr_adaptive_sub_block,16, 11.117389,0.02578051955320060165
csr_scalar,32, 61.888472,36.91295863768316820597
csr_vector,32, 20.975114,0.03828770968452735457
csr_vector_sub_warp,32, 60.892870,3.15526944325198721586
csr_adaptive,32, 16.015693,0.01516375727233219319
csr_vector_by_row,32, 37.232157,0.37201204342263693992
csr_adaptive_sub_block,32, 25.904912,0.09339809478064160786
csr_scalar,64, 94.329000,38.64909732356426985689
csr_vector,64, 23.907929,0.02622425393423922363
csr_vector_sub_warp,64, 83.001613,2.56785897378724792262
csr_adaptive,64, 18.296535,0.05345543139593830761
csr_vector_by_row,64, 44.196599,0.16700492790447540870
csr_adaptive_sub_block,64, 49.948056,0.65688211850906896849
