Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 1.178434,0.02524406498793319020
csr_vector,1, 0.954877,0.00316008741277867952
csr_vector_sub_warp,1, 1.456968,0.01629745430379606064
csr_adaptive,1, 1.577263,0.01051561454440796961
csr_vector_by_row,1, 1.374494,0.00548454065303546554
csr_adaptive_sub_block,1, 1.494056,0.00379028247672832551
csr_scalar,3, 4.404463,0.01846625614093945142
csr_vector,3, 2.577338,0.00223850912048816205
csr_vector_sub_warp,3, 4.185488,0.77331523676704572168
csr_adaptive,3, 4.552772,0.02738178535286314719
csr_vector_by_row,3, 3.545626,0.02151991049658158461
csr_adaptive_sub_block,3, 3.493028,0.02966375727246487945
csr_scalar,4, 4.686013,0.05866352896647748089
csr_vector,4, 2.458307,0.00224784657621947487
csr_vector_sub_warp,4, 4.889321,0.07312327219116129817
csr_adaptive,4, 4.675680,0.04558229898098909577
csr_vector_by_row,4, 4.573732,0.03750137014693803728
csr_adaptive_sub_block,4, 4.844379,0.03680019921992125354
csr_scalar,8, 9.827514,0.15372926078700432928
csr_vector,8, 3.445013,0.00360633219737100308
csr_vector_sub_warp,8, 12.082048,0.67000107234557360059
csr_adaptive,8, 8.678151,0.05975846908924705575
csr_vector_by_row,8, 11.234412,0.21408027823555919600
csr_adaptive_sub_block,8, 9.790239,0.10799801202837167047
csr_scalar,12, 17.679883,0.79416797762295909813
csr_vector,12, 4.129417,0.00217025097989212608
csr_vector_sub_warp,12, 17.975704,0.96356112616675859694
csr_adaptive,12, 11.154281,0.15578297400831928043
csr_vector_by_row,12, 13.347224,0.08731631384390660389
csr_adaptive_sub_block,12, 10.257374,0.08846926472020477661
csr_scalar,16, 22.394171,6.70485046350154068051
csr_vector,16, 4.252054,0.00023883569896796818
csr_vector_sub_warp,16, 18.589291,0.43173859357960930883
csr_adaptive,16, 11.388627,0.06001641062161960222
csr_vector_by_row,16, 15.207497,0.08174587210818266836
csr_adaptive_sub_block,16, 11.978643,0.02571348607228503280
csr_scalar,32, 34.918938,9.58037271988074934370
csr_vector,32, 4.729134,0.00118729861246487855
csr_vector_sub_warp,32, 29.790414,0.24379964010195440127
csr_adaptive,32, 16.513072,0.03672238885935278502
csr_vector_by_row,32, 21.953159,0.13902819759260073851
csr_adaptive_sub_block,32, 16.359090,0.08526802958899090679
csr_scalar,64, 56.750852,17.68413372902804425735
csr_vector,64, 5.030794,0.00027429379887093880
csr_vector_sub_warp,64, 45.154823,0.96349505552154313115
csr_adaptive,64, 21.613175,0.05663992899313555207
csr_vector_by_row,64, 28.572009,0.16021512560611328446
csr_adaptive_sub_block,64, 20.982516,0.30973499815572219651
