Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 9.309874,0.18658181537295709385
csr_vector,1, 40.552867,3.85395979232712981855
csr_vector_sub_warp,1, 27.534102,0.27787178773839915635
csr_adaptive,1, 31.049399,0.64707604674988172810
csr_vector_by_row,1, 23.632730,0.07795654833352780311
csr_adaptive_sub_block,1, 15.531805,0.06245933805309514947
csr_scalar,3, 50.522876,4.88810216692938404037
csr_vector,3, 56.850378,0.66111334236117735852
csr_vector_sub_warp,3, 89.167976,3.22072293704121914715
csr_adaptive,3, 39.762107,0.21791174695183393450
csr_vector_by_row,3, 69.627119,2.16956551242289696901
csr_adaptive_sub_block,3, 15.006399,0.01318391717815526124
csr_scalar,4, 79.043004,9.68426388959783501775
csr_vector,4, 58.950493,0.69510294959398366554
csr_vector_sub_warp,4, 141.407896,3.67961442349167899835
csr_adaptive,4, 41.282061,0.07880089830910390336
csr_vector_by_row,4, 90.884189,2.60552872111661137922
csr_adaptive_sub_block,4, 17.850493,0.02708204869063578560
csr_scalar,8, 163.037314,2.58748156866872847104
csr_vector,8, 64.871995,0.25084814298078245143
csr_vector_sub_warp,8, 180.291825,5.75254876355507516195
csr_adaptive,8, 44.780740,0.06604765888712517408
csr_vector_by_row,8, 123.093972,2.15192443563885715818
csr_adaptive_sub_block,8, 33.830777,0.00983483749664463246
csr_scalar,12, 159.913429,8.11079423810364374958
csr_vector,12, 66.345204,0.12987558536028848133
csr_vector_sub_warp,12, 184.865457,22.36448253957106402368
csr_adaptive,12, 45.068995,0.03230207490729480185
csr_vector_by_row,12, 124.590074,1.76390113185076402580
csr_adaptive_sub_block,12, 51.804564,0.00929994933042046189
csr_scalar,16, 210.190154,6.12765026879485219524
csr_vector,16, 60.522081,0.60280933934650815509
csr_vector_sub_warp,16, 205.831236,6.43112956660681245324
csr_adaptive,16, 41.493080,0.01517160198068329136
csr_vector_by_row,16, 132.678894,1.49586326685241344236
csr_adaptive_sub_block,16, 53.710307,0.06188960499667611054
csr_scalar,32, 237.757819,47.11624323783613021988
csr_vector,32, 60.525604,0.01547397225400077951
csr_vector_sub_warp,32, 231.419350,7.82301655740233226055
csr_adaptive,32, 42.135742,0.00775076476651912708
csr_vector_by_row,32, 136.580784,1.12725064656343487712
csr_adaptive_sub_block,32, 100.749497,0.07270646373788351713
csr_scalar,64, 262.100862,2.44543799640581838162
csr_vector,64, 62.082645,0.00302354693685080332
csr_vector_sub_warp,64, 248.450631,2.73594120423506570461
csr_adaptive,64, 42.656692,0.00320782521106799693
csr_vector_by_row,64, 137.664487,1.12774142709891611602
csr_adaptive_sub_block,64, 133.572759,0.18645398346801653200
