Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 5.547797,0.11560215605475737677
csr_vector,1, 9.537949,0.07382339640846433126
csr_vector_sub_warp,1, 10.407031,0.07512697317353927984
csr_adaptive,1, 9.887327,0.73086288878606364694
csr_vector_by_row,1, 6.646366,0.01465612510260448816
csr_adaptive_sub_block,1, 9.131781,0.57149416987875201190
csr_scalar,3, 25.164978,0.31380661727396119698
csr_vector,3, 16.000477,0.05319905249149407128
csr_vector_sub_warp,3, 34.568638,0.63161838014847204725
csr_adaptive,3, 17.979127,0.05726397581743183918
csr_vector_by_row,3, 20.034353,0.34542971065708227840
csr_adaptive_sub_block,3, 14.372399,0.09376095151593347166
csr_scalar,4, 35.094205,6.50566672142454827110
csr_vector,4, 17.501255,0.02811459495476821557
csr_vector_sub_warp,4, 46.728844,0.89672859313049491092
csr_adaptive,4, 20.246691,0.03788441097072885178
csr_vector_by_row,4, 26.488442,0.23169325497781251277
csr_adaptive_sub_block,4, 14.543082,0.14008266864174517830
csr_scalar,8, 75.261766,6.11231991731396462342
csr_vector,8, 19.958898,0.02226894181110748022
csr_vector_sub_warp,8, 78.449268,1.18228198871559775363
csr_adaptive,8, 24.044078,0.04880459633142332498
csr_vector_by_row,8, 50.043523,1.72718911170550293299
csr_adaptive_sub_block,8, 13.981630,0.00616628837728203268
csr_scalar,12, 84.223218,9.14381157753943796251
csr_vector,12, 21.179562,0.01069118592452450098
csr_vector_sub_warp,12, 80.413016,5.22267999315773856495
csr_adaptive,12, 25.389634,0.03673773765967317667
csr_vector_by_row,12, 46.093012,1.17069699627426926369
csr_adaptive_sub_block,12, 17.593256,0.02784625644955293980
csr_scalar,16, 122.684041,7.87230196000310744608
csr_vector,16, 21.726357,0.00964268466678400160
csr_vector_sub_warp,16, 100.618892,1.40570404244085533918
csr_adaptive,16, 26.231938,0.01721487530713421144
csr_vector_by_row,16, 61.099936,3.25049117284478761292
csr_adaptive_sub_block,16, 24.927501,0.02072046806832504584
csr_scalar,32, 141.996385,54.14403591292148121283
csr_vector,32, 22.718998,0.00457463052665585748
csr_vector_sub_warp,32, 134.486622,3.06704782203258519147
csr_adaptive,32, 26.627655,0.02300933279428598807
csr_vector_by_row,32, 68.085412,4.46839456657483680146
csr_adaptive_sub_block,32, 39.519406,0.05655473816609263987
csr_scalar,64, 187.918808,23.93898226852019206490
csr_vector,64, 23.265978,0.00078918206918888046
csr_vector_sub_warp,64, 162.285547,1.73863364131999920126
csr_adaptive,64, 28.691996,0.00775520317967677390
csr_vector_by_row,64, 72.722222,1.61736427058791920608
csr_adaptive_sub_block,64, 59.309867,1.46933339695614773035
