Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 28.984522,0.00794116664133398542
csr_vector,1, 8.424281,0.00054572945616169870
csr_vector_sub_warp,1, 35.420226,0.03945894035257439120
csr_adaptive,1, 16.084245,0.00045643841653191029
csr_scalar,3, 82.088261,0.61129676788811793120
csr_vector,3, 8.526153,0.00087401315620849263
csr_vector_sub_warp,3, 63.333875,0.02258205660337518975
csr_adaptive,3, 14.326209,9.04164345861034313145
csr_scalar,4, 98.264261,0.03747197708619903062
csr_vector,4, 9.954976,0.00000255749225315841
csr_vector_sub_warp,4, 73.029333,0.57504024592588265374
csr_adaptive,4, 19.162792,0.00824322715156347065
csr_scalar,8, 117.250173,0.40847333543306391102
csr_vector,8, 9.629744,1.36230383644365238283
csr_vector_sub_warp,8, 83.100384,0.03290603911669126580
csr_adaptive,8, 19.335079,0.00176023534660720016
csr_scalar,12, 125.602225,1.13424695927184893129
csr_vector,12, 10.159958,0.00000099240295066495
csr_vector_sub_warp,12, 85.174790,0.00112109818732113783
csr_adaptive,12, 19.237192,0.00000572023037246048
csr_scalar,16, 146.418547,0.00720396757789979868
csr_vector,16, 10.074264,0.01087718500119381516
csr_vector_sub_warp,16, 96.623354,15.67053130999421561853
csr_adaptive,16, 18.758307,0.07569460939985474257
csr_scalar,32, 181.350361,20.48402100149321825029
csr_vector,32, 9.803005,0.01146552988172105242
csr_vector_sub_warp,32, 98.279920,25.04727915077229027929
csr_adaptive,32, 17.558022,0.06682319710344089558
csr_scalar,64, 170.694088,0.10872647984581451652
csr_vector,64, 9.715935,0.02104437268850298595
csr_vector_sub_warp,64, 99.281653,45.83394898789890703483
csr_adaptive,64, 16.670504,0.14457045903754192628
