Algorithm,K,GFLOPS,GFLOPS_variability
csr_scalar,1, 1.723609,0.09362140234447290099
csr_vector,1, 1.762439,0.00452673949749324636
csr_vector_sub_warp,1, 2.299954,0.00326519617452568876
csr_adaptive,1, 2.554387,0.01202177525442984021
csr_vector_by_row,1, 1.924942,0.00598886739384663427
csr_adaptive_sub_block,1, 2.368319,0.00524837260422021494
csr_scalar,3, 6.098978,0.01734846242182252335
csr_vector,3, 3.093422,0.00186127001277533910
csr_vector_sub_warp,3, 7.433793,0.06897109089107261726
csr_adaptive,3, 5.972406,0.05895818165922205034
csr_vector_by_row,3, 5.776828,0.01700523147310464139
csr_adaptive_sub_block,3, 6.714405,0.06262927280809450770
csr_scalar,4, 8.972698,0.12575308822626185545
csr_vector,4, 3.336033,0.00219063582891452320
csr_vector_sub_warp,4, 9.987660,0.08664610200331084033
csr_adaptive,4, 7.023918,0.04987364831315362068
csr_vector_by_row,4, 7.727989,0.04551075025508175692
csr_adaptive_sub_block,4, 7.525201,0.03269073623797799644
csr_scalar,8, 18.253675,4.43872011045074099655
csr_vector,8, 3.916059,0.00082213619482535995
csr_vector_sub_warp,8, 18.122712,0.12296937594984250208
csr_adaptive,8, 9.469233,0.03766775940026317188
csr_vector_by_row,8, 14.867409,0.12893785491122658482
csr_adaptive_sub_block,8, 10.422257,0.06714142517457334647
csr_scalar,12, 27.594044,10.68164265026321935181
csr_vector,12, 4.218782,0.00095222303393636943
csr_vector_sub_warp,12, 25.421460,13.03478166819269823407
csr_adaptive,12, 11.599497,0.03215299776829256412
csr_vector_by_row,12, 16.857090,0.08445553548121154108
csr_adaptive_sub_block,12, 11.314923,0.03282596797108582043
csr_scalar,16, 35.047833,0.87898390841009865770
csr_vector,16, 4.369730,0.00041357810164719034
csr_vector_sub_warp,16, 28.265115,0.35473007355674290864
csr_adaptive,16, 12.668173,0.03673587080426494317
csr_vector_by_row,16, 22.038283,0.14232819830885978796
csr_adaptive_sub_block,16, 11.807654,0.03157749232448574944
csr_scalar,32, 57.423523,19.37571130970842858687
csr_vector,32, 4.623120,0.00042729973477456087
csr_vector_sub_warp,32, 43.608695,0.65186309315515122975
csr_adaptive,32, 15.154503,0.01197123977562817611
csr_vector_by_row,32, 28.731562,0.06328950879202503710
csr_adaptive_sub_block,32, 17.495993,0.11339756392947032693
csr_scalar,64, 85.646706,42.07959848826494209106
csr_vector,64, 4.765431,0.00011043461856379836
csr_vector_sub_warp,64, 57.395229,0.67885195984375856781
csr_adaptive,64, 16.553818,0.00403546108050046974
csr_vector_by_row,64, 33.665815,0.16463389507589423766
csr_adaptive_sub_block,64, 28.577161,0.12620327608042047896
