K,num_threads,mean,variance
3,1,0.000080,0.00000000007633419680
3,2,0.000117,0.00000000089976032817
3,3,0.000076,0.00000000013525018213
3,4,0.000060,0.00000000002152882944
3,5,0.000050,0.00000000002416200506
3,6,0.000041,0.00000000011892821676
3,7,0.000036,0.00000000021688834429
3,8,0.000034,0.00000000018193791363
3,9,0.000040,0.00000000018569132331
3,10,0.000031,0.00000000021984682871
3,11,0.000029,0.00000000021160075073
3,12,0.000026,0.00000000022645986474
3,13,0.000026,0.00000000023644754963
3,14,0.000027,0.00000000023074721965
3,15,0.000028,0.00000000030225671164
3,16,0.000025,0.00000000005270295418
3,17,0.000028,0.00000000028762300591
3,18,0.000027,0.00000000004517633152
3,19,0.000026,0.00000000028383291718
3,20,0.000025,0.00000000005688235517
3,21,0.000026,0.00000000007503943977
3,22,0.000027,0.00000000006108690271
3,23,0.000029,0.00000000009205846621
3,24,0.000029,0.00000000006534927189
3,25,0.000028,0.00000000008632688243
3,26,0.000028,0.00000000006582576343
3,27,0.000029,0.00000000006881856240
3,28,0.000029,0.00000000005911837176
3,29,0.000028,0.00000000005720008985
3,30,0.000027,0.00000000005483196954
3,31,0.000029,0.00000000005297991140
3,32,0.000028,0.00000000006425374753
3,33,0.000030,0.00000000005856641112
3,34,0.000028,0.00000000004666335102
3,35,0.000028,0.00000000005526430889
3,36,0.000028,0.00000000006130810556
3,37,0.000029,0.00000000006019615017
3,38,0.000030,0.00000000005825412252
3,39,0.000031,0.00000000006100999682
3,40,0.000031,0.00000000017150762257
4,1,0.000098,0.00000000020439757252
4,2,0.000143,0.00000000172081994511
4,3,0.000089,0.00000000008324137461
4,4,0.000078,0.00000000001699539158
4,5,0.000061,0.00000000004512238674
4,6,0.000053,0.00000000001438624297
4,7,0.000047,0.00000000004601121545
4,8,0.000044,0.00000000026745998308
4,9,0.000038,0.00000000004165682338
4,10,0.000037,0.00000000028131124801
4,11,0.000035,0.00000000004040749118
4,12,0.000034,0.00000000033644253197
4,13,0.000040,0.00000000486487209544
4,14,0.000041,0.00000000545136608769
4,15,0.000029,0.00000000006265319023
4,16,0.000028,0.00000000005840413994
4,17,0.000028,0.00000000005775797189
4,18,0.000030,0.00000000005090907577
4,19,0.000029,0.00000000005723384121
4,20,0.000031,0.00000000004205494363
4,21,0.000032,0.00000000007440290883
4,22,0.000030,0.00000000008568605533
4,23,0.000032,0.00000000007409226892
4,24,0.000032,0.00000000006224857311
4,25,0.000032,0.00000000006671132120
4,26,0.000032,0.00000000005529427194
4,27,0.000032,0.00000000005959429437
4,28,0.000032,0.00000000005099230023
