K,num_threads,mean,variance
3,1,0.001572,0.00000000512841357449
3,2,0.000855,0.00000000322009380697
3,3,0.000573,0.00000000818124962502
3,4,0.000421,0.00000000053347653765
3,5,0.000344,0.00000000053913551566
3,6,0.000294,0.00000000011499753143
3,7,0.000258,0.00000000072240028137
3,8,0.000221,0.00000000010301687517
3,9,0.000214,0.00000000072345980692
3,10,0.000209,0.00000000035522818300
3,11,0.000201,0.00000000032280211050
3,12,0.000192,0.00000000048365153836
3,13,0.000184,0.00000000047652332043
3,14,0.000257,0.00000021640307173677
3,15,0.000161,0.00000000012379223778
3,16,0.000156,0.00000000024386417324
3,17,0.000218,0.00000000009044675338
3,18,0.000211,0.00000000014723375661
3,19,0.000202,0.00000000012973150750
3,20,0.000194,0.00000000013185706413
3,21,0.000187,0.00000000012943122525
3,22,0.000226,0.00000006558765878423
3,23,0.000171,0.00000000017720215738
3,24,0.000165,0.00000000014545806297
3,25,0.000160,0.00000000010891140261
3,26,0.000156,0.00000000011980270980
3,27,0.000150,0.00000000011498239738
3,28,0.000146,0.00000000011373302573
3,29,0.000145,0.00000000010490098170
3,30,0.000142,0.00000000011912085171
3,31,0.000139,0.00000000015357555716
3,32,0.000138,0.00000000022517144218
3,33,0.000131,0.00000000015612687667
3,34,0.000132,0.00000000014863752611
3,35,0.000129,0.00000000013892811293
3,36,0.000127,0.00000000013612242577
3,37,0.000125,0.00000000014714220723
3,38,0.000121,0.00000000013199155147
3,39,0.000120,0.00000000021189551096
3,40,0.000118,0.00000000035316392024
4,1,0.002043,0.00000000072175256345
4,2,0.001115,0.00000002663054279232
4,3,0.000734,0.00000000016360196234
4,4,0.000633,0.00000008613966505061
4,5,0.000459,0.00000000016244386069
4,6,0.000401,0.00000000089479594843
4,7,0.000360,0.00000000018359845451
4,8,0.000325,0.00000000073354734203
4,9,0.000307,0.00000000052588045621
4,10,0.000277,0.00000000021254689426
4,11,0.000263,0.00000000065745568484
4,12,0.000250,0.00000000039743939833
4,13,0.000372,0.00000000012337816406
4,14,0.000358,0.00000000011892319362
4,15,0.000341,0.00000000014330824845
4,16,0.000320,0.00000000016318980097
4,17,0.000307,0.00000000012315010360
4,18,0.000288,0.00000000019265379351
4,19,0.000327,0.00000009228574494297
4,20,0.000263,0.00000000022136201493
4,21,0.000251,0.00000000015519774774
4,22,0.000241,0.00000000013839786460
4,23,0.000233,0.00000000015796914585
4,24,0.000226,0.00000000015237762458
4,25,0.000218,0.00000000016474098765
4,26,0.000211,0.00000000015452390580
4,27,0.000207,0.00000000018532099294
4,28,0.000204,0.00000000053571374178
4,29,0.000200,0.00000000043207682277
4,30,0.000189,0.00000000016284715265
4,31,0.000187,0.00000000017319208732
4,32,0.000181,0.00000000019795877722
4,33,0.000181,0.00000000015383417764
4,34,0.000179,0.00000000013915151798
4,35,0.000173,0.00000000020838207850
4,36,0.000170,0.00000000014999557497
4,37,0.000172,0.00000000028320422985
4,38,0.000177,0.00000000014942050221
4,39,0.000173,0.00000000022879285237
4,40,0.000168,0.00000000036824866274
8,1,0.004213,0.00000000245814652569
8,2,0.002361,0.00000007363108322781
8,3,0.001568,0.00000006931104240905
8,4,0.001275,0.00000006087781527098
8,5,0.001020,0.00000000207532270534
8,6,0.000935,0.00000000041984771578
8,7,0.000800,0.00000000074205032891
8,8,0.000707,0.00000000083189305596
8,9,0.000615,0.00000000086005202696
8,10,0.000570,0.00000000064404242233
8,11,0.000529,0.00000000011743429820
8,12,0.000502,0.00000000040745209811
8,13,0.000472,0.00000000036796463088
8,14,0.000469,0.00000000052854037380
8,15,0.000668,0.00000000036540181171
8,16,0.000636,0.00000000020642808426
8,17,0.000598,0.00000000018890202378
8,18,0.000564,0.00000000026150203512
8,19,0.000541,0.00000000020335163925
8,20,0.000522,0.00000000020539428489
8,21,0.000552,0.00000006551030160800
8,22,0.000494,0.00000000022900696278
8,23,0.000476,0.00000000026050667266
8,24,0.000473,0.00000000022959781798
8,25,0.000454,0.00000000022555547281
8,26,0.000442,0.00000000027799744318
8,27,0.000451,0.00000001137483440183
