K,num_threads,mean,variance
3,1,0.000306,0.00000000415579220167
3,2,0.000159,0.00000000029832257704
3,3,0.000126,0.00000000073976629904
3,4,0.000088,0.00000000023801422557
3,5,0.000072,0.00000000003919707687
3,6,0.000069,0.00000000019952555430
3,7,0.000061,0.00000000025137979607
3,8,0.000056,0.00000000021178529978
3,9,0.000051,0.00000000025271272066
3,10,0.000047,0.00000000024003531336
3,11,0.000044,0.00000000019999058773
3,12,0.000041,0.00000000029225029989
3,13,0.000040,0.00000000028749503348
3,14,0.000038,0.00000000023246998110
3,15,0.000035,0.00000000026011804811
3,16,0.000034,0.00000000004764219754
3,17,0.000035,0.00000000025348293097
3,18,0.000032,0.00000000004785783951
3,19,0.000033,0.00000000025688361202
3,20,0.000036,0.00000000005659158498
3,21,0.000036,0.00000000006446886962
3,22,0.000037,0.00000000007438807698
3,23,0.000039,0.00000000008261282892
3,24,0.000038,0.00000000006505345278
3,25,0.000037,0.00000000005184451981
3,26,0.000037,0.00000000006797668596
3,27,0.000034,0.00000000006212544545
3,28,0.000034,0.00000000006751166036
3,29,0.000034,0.00000000006650525518
3,30,0.000035,0.00000000006779929438
3,31,0.000033,0.00000000005851060023
3,32,0.000033,0.00000000006925859781
3,33,0.000034,0.00000000006870059943
3,34,0.000033,0.00000000007117685689
3,35,0.000032,0.00000000007161160189
3,36,0.000034,0.00000000007195495428
3,37,0.000035,0.00000000054138141442
3,38,0.000032,0.00000000007012197169
3,39,0.000033,0.00000000019026804610
3,40,0.000031,0.00000000008792736185
4,1,0.000398,0.00000000473391388512
4,2,0.000217,0.00000000083116050273
4,3,0.000173,0.00000000277804622013
4,4,0.000120,0.00000000009664978157
4,5,0.000103,0.00000000019812514629
4,6,0.000091,0.00000000023465352798
4,7,0.000078,0.00000000025383731885
4,8,0.000070,0.00000000021349638621
4,9,0.000067,0.00000000021467220744
4,10,0.000061,0.00000000019261423120
4,11,0.000057,0.00000000022197451394
4,12,0.000050,0.00000000024672667898
4,13,0.000047,0.00000000027023270349
4,14,0.000045,0.00000000029187922382
4,15,0.000043,0.00000000028193287894
4,16,0.000043,0.00000000026879808726
4,17,0.000042,0.00000000032797348463
4,18,0.000038,0.00000000007180799505
4,19,0.000039,0.00000000027269535888
4,20,0.000048,0.00000000005160349396
4,21,0.000046,0.00000000007718659432
4,22,0.000047,0.00000000008395237020
4,23,0.000045,0.00000000008285145905
4,24,0.000043,0.00000000007734394777
4,25,0.000043,0.00000000006994992597
4,26,0.000042,0.00000000008694767496
4,27,0.000043,0.00000000008669812009
4,28,0.000042,0.00000000006958814043
4,29,0.000042,0.00000000007455279689
4,30,0.000041,0.00000000007646505578
4,31,0.000040,0.00000000007765253525
4,32,0.000040,0.00000000006853211487
4,33,0.000038,0.00000000008373719391
4,34,0.000039,0.00000000007204237103
4,35,0.000039,0.00000000007298080187
4,36,0.000038,0.00000000006163123032
4,37,0.000039,0.00000000006987645430
4,38,0.000038,0.00000000006199882013
4,39,0.000039,0.00000000015157513344
4,40,0.000037,0.00000000020504715832
8,1,0.000739,0.00000001354373024023
8,2,0.000426,0.00000000115989910220
8,3,0.000322,0.00000000770297483321
8,4,0.000214,0.00000000018102312253
8,5,0.000178,0.00000000022386124626
8,6,0.000151,0.00000000023203742987
8,7,0.000132,0.00000000023910637396
8,8,0.000124,0.00000000026258350632
8,9,0.000112,0.00000000030439612300
8,10,0.000101,0.00000000033747772578
8,11,0.000092,0.00000000025450058929
8,12,0.000085,0.00000000026251922229
8,13,0.000079,0.00000000021865219778
8,14,0.000078,0.00000000030551999557
8,15,0.000074,0.00000000028401672147
8,16,0.000072,0.00000000026325078178
8,17,0.000070,0.00000000026698338125
8,18,0.000066,0.00000000006271175163
8,19,0.000065,0.00000000031694332218
8,20,0.000089,0.00000000009608823180
8,21,0.000089,0.00000000010511925018
8,22,0.000085,0.00000000008470716963
8,23,0.000082,0.00000000009632323127
8,24,0.000110,0.00000002609220555565
8,25,0.000077,0.00000000014288329287
8,26,0.000075,0.00000000010652803122
8,27,0.000072,0.00000000007876442556
8,28,0.000070,0.00000000008609683821
8,29,0.000068,0.00000000006991572182
8,30,0.000067,0.00000000009269823572
