K,num_threads,mean,variance
3,1,0.003525,0.00000000558962117701
3,2,0.002296,0.00000002124707640972
3,3,0.001851,0.00000000972801565731
3,4,0.001863,0.00000122192890918451
3,5,0.001536,0.00000000449596975562
3,6,0.001583,0.00000006720758020866
3,7,0.001486,0.00000000281585253697
3,8,0.001439,0.00000001882885320460
3,9,0.001310,0.00000000123357862478
3,10,0.001294,0.00000000122676696125
3,11,0.001306,0.00000000168278735822
3,12,0.001589,0.00000174074544453418
3,13,0.001262,0.00000000838697064460
3,14,0.001270,0.00000000107425871500
3,15,0.001275,0.00000000209802486721
3,16,0.001275,0.00000000143772469500
3,17,0.001265,0.00000000175042064031
3,18,0.001281,0.00000000165351390124
3,19,0.001560,0.00000214002630810098
3,20,0.001342,0.00000000206701285707
3,21,0.001346,0.00000000186702507491
3,22,0.001607,0.00000002216759680943
3,23,0.001296,0.00000000115590679384
3,24,0.001285,0.00000000051013015832
3,25,0.001655,0.00000000125146293205
3,26,0.001619,0.00000000123638035702
3,27,0.001654,0.00000000216824197076
3,28,0.001656,0.00000000204738848109
3,29,0.001626,0.00000000173626700301
3,30,0.001620,0.00000000159187503325
3,31,0.001539,0.00000000232476286720
3,32,0.001640,0.00000011725021669289
3,33,0.001550,0.00000000147267564416
3,34,0.001570,0.00000000171704199573
3,35,0.001445,0.00000002625336877341
3,36,0.001484,0.00000000171524691146
3,37,0.001499,0.00000000073948502338
3,38,0.001620,0.00000053122443866620
3,39,0.001483,0.00000000155574272076
3,40,0.002247,0.00000286945675911572
4,1,0.004740,0.00000000548698000958
4,2,0.003093,0.00000008421239213401
4,3,0.002444,0.00000000260019730476
4,4,0.002185,0.00000000375612587769
4,5,0.002076,0.00000000226614593923
4,6,0.002097,0.00000000185223778841
4,7,0.002092,0.00000000191794391645
4,8,0.001925,0.00000000186569159861
4,9,0.001939,0.00000000192825030649
4,10,0.001957,0.00000001379056882458
4,11,0.001844,0.00000000254030799180
4,12,0.001728,0.00000000257400927116
4,13,0.001809,0.00000000190441866896
4,14,0.001911,0.00000000134599293018
