K,num_threads,mean,variance
3,1,0.001070,0.00000001603704699043
3,2,0.000636,0.00000000051506536741
3,3,0.000434,0.00000001126677533340
3,4,0.000302,0.00000000033903623084
3,5,0.000253,0.00000000035103365331
3,6,0.000217,0.00000000005818067863
3,7,0.000185,0.00000000030032175891
3,8,0.000168,0.00000000007664803216
3,9,0.000158,0.00000000032508716809
3,10,0.000146,0.00000000025382313156
3,11,0.000134,0.00000000025203138241
3,12,0.000123,0.00000000030000464838
3,13,0.000115,0.00000000030029093473
3,14,0.000112,0.00000000030871456805
3,15,0.000100,0.00000000028735609831
3,16,0.000096,0.00000000008319558017
3,17,0.000099,0.00000000025221385298
3,18,0.000093,0.00000000006581660097
3,19,0.000089,0.00000000024774634088
3,20,0.000106,0.00000000004942739023
3,21,0.000116,0.00000000009847587902
3,22,0.000114,0.00000000009423086569
3,23,0.000104,0.00000000009630428569
3,24,0.000101,0.00000000009889010091
3,25,0.000104,0.00000000009926914023
3,26,0.000102,0.00000000007260944725
3,27,0.000098,0.00000000008885807960
3,28,0.000097,0.00000000007648882193
3,29,0.000094,0.00000000008329643520
3,30,0.000091,0.00000000007629099105
3,31,0.000090,0.00000000008600648287
3,32,0.000087,0.00000000007829497122
3,33,0.000085,0.00000000008614527489
3,34,0.000085,0.00000000006441712209
3,35,0.000083,0.00000000010456161080
3,36,0.000082,0.00000000008622266638
3,37,0.000080,0.00000000006117870557
3,38,0.000079,0.00000000007232296491
3,39,0.000077,0.00000000007941409716
3,40,0.000077,0.00000000020653490096
4,1,0.001415,0.00000002214467746931
4,2,0.000811,0.00000000133048058242
4,3,0.000550,0.00000001038477918709
4,4,0.000400,0.00000000026542700623
4,5,0.000324,0.00000000025291384472
4,6,0.000277,0.00000000039486139717
4,7,0.000238,0.00000000034021094974
4,8,0.000210,0.00000000023974459722
4,9,0.000193,0.00000000030986866493
4,10,0.000181,0.00000000025298553043
4,11,0.000163,0.00000000020215187037
4,12,0.000153,0.00000000033807499910
4,13,0.000145,0.00000000034352213651
4,14,0.000135,0.00000000028498638391
4,15,0.000128,0.00000000030285147158
4,16,0.000123,0.00000000005305351025
4,17,0.000122,0.00000000042048120807
4,18,0.000115,0.00000000005496911198
4,19,0.000110,0.00000000025722422670
4,20,0.000137,0.00000000005584320927
4,21,0.000143,0.00000000009934006698
4,22,0.000214,0.00000007371362576085
4,23,0.000133,0.00000000011650672213
4,24,0.000131,0.00000000008251367449
4,25,0.000128,0.00000000009021910738
4,26,0.000125,0.00000000008272444891
4,27,0.000124,0.00000000007393303690
4,28,0.000119,0.00000000007693004485
4,29,0.000116,0.00000000007871500536
4,30,0.000115,0.00000000006602241066
4,31,0.000111,0.00000000019653988434
4,32,0.000107,0.00000000012313870434
4,33,0.000104,0.00000000012843497376
4,34,0.000103,0.00000000012234791853
4,35,0.000102,0.00000000017651608312
4,36,0.000098,0.00000000011948705597
4,37,0.000099,0.00000000016541610998
4,38,0.000096,0.00000000011613918296
4,39,0.000094,0.00000000016073907691
4,40,0.000098,0.00000000018545547197
8,1,0.002732,0.00000003965442292969
8,2,0.001526,0.00000000767770073260
8,3,0.000988,0.00000000079135523476
8,4,0.000761,0.00000000022963022349
8,5,0.000613,0.00000000024898227238
8,6,0.000510,0.00000000024476946570
8,7,0.000455,0.00000000073159564272
8,8,0.000415,0.00000000036788661643
8,9,0.000375,0.00000000008380932294
8,10,0.000551,0.00000000008516783882
8,11,0.000528,0.00000000007692697318
8,12,0.000477,0.00000000009580214738
8,13,0.000452,0.00000000006859067246
8,14,0.000428,0.00000000010760329501
8,15,0.000401,0.00000000009529593180
8,16,0.000371,0.00000000008551330898
8,17,0.000355,0.00000000007699729096
8,18,0.000337,0.00000000009443122229
8,19,0.000505,0.00000098750009566596
8,20,0.000305,0.00000000012561788548
8,21,0.000296,0.00000000012604223209
8,22,0.000285,0.00000000026176199943
8,23,0.000268,0.00000000030875735125
8,24,0.000262,0.00000000036248051971
8,25,0.000251,0.00000000040907803877
8,26,0.000240,0.00000000031757608098
8,27,0.000233,0.00000000036220095869
8,28,0.000225,0.00000000007606627589
8,29,0.000218,0.00000000005964663197
8,30,0.000216,0.00000000007267331897
8,31,0.000204,0.00000000007131562931
8,32,0.000200,0.00000000008482718584
8,33,0.000200,0.00000000007754666485
8,34,0.000194,0.00000000007664785003
8,35,0.000183,0.00000000008790161311
8,36,0.000181,0.00000000008963978402
8,37,0.000176,0.00000000008899659885
8,38,0.000171,0.00000000009896442085
8,39,0.000171,0.00000000007840317851
8,40,0.000172,0.00000000023478325286
12,1,0.004067,0.00000006180848635712
12,2,0.002180,0.00000003547462237810
12,3,0.001450,0.00000000465448884665
12,4,0.001125,0.00000000018275875918
12,5,0.000894,0.00000000035173193258
12,6,0.000775,0.00000000049296583758
