Algorithm,K,GFLOPS,GFLOPS_variability
ellpack,1, 0.291562,0.00020601763609358811
ellpack_sub_warp,1, 0.580438,0.00000851797737515530
ellpack,3, 0.947567,0.00000780248752044580
ellpack_sub_warp,3, 1.771544,0.00007456902939076358
ellpack,4, 1.252399,0.00002944203631065237
ellpack_sub_warp,4, 2.282694,0.00002164132623430984
ellpack,8, 2.486137,0.00468167728180281760
ellpack_sub_warp,8, 4.385217,0.00040529167244588582
ellpack,12, 3.751599,0.00032404668260443270
ellpack_sub_warp,12, 6.360978,0.00036756471801586326
ellpack,16, 4.812523,0.01788952056570845481
ellpack_sub_warp,16, 7.996617,0.00550155459244765568
ellpack,32, 9.379811,0.04017366017482443957
ellpack_sub_warp,32, 14.275303,0.00678761087901920152
ellpack,64, 17.451096,0.36077157535764547980
ellpack_sub_warp,64, 21.466490,0.01004278584326505352
