Algorithm,K,GFLOPS,GFLOPS_variability
ellpack,1, 11.546068,0.00405688663851215981
ellpack_sub_warp,1, 22.352752,0.00659241050300066970
ellpack,3, 90.664924,0.03270340137992754082
ellpack_sub_warp,3, 138.035093,0.00846760007064666781
ellpack,4, 149.135505,0.08230306906811692136
ellpack_sub_warp,4, 171.478492,0.02609840377898569458
ellpack,8, 250.114062,14.71419419808311346287
ellpack_sub_warp,8, 240.174357,0.02326980443901285889
ellpack,12, 264.736622,0.04141257170399372661
ellpack_sub_warp,12, 257.714169,0.01257985976725133764
ellpack,16, 326.006707,0.46921475581689953138
ellpack_sub_warp,16, 285.165097,0.03385434727846105968
ellpack,32, 333.879257,0.00911236658269474337
ellpack_sub_warp,32, 302.610759,0.23421342995288904620
ellpack,64, 349.261348,0.00120498980552369121
ellpack_sub_warp,64, 316.471770,2.13645528691087083217
