Algorithm,K,GFLOPS,GFLOPS_variability
ellpack,1, 0.315394,0.00010301845766565930
ellpack_sub_warp,1, 0.331005,0.00000132073728213961
ellpack,3, 0.931529,0.00004879389332590240
ellpack_sub_warp,3, 0.982085,0.00003600104283777015
ellpack,4, 1.290041,0.00002709518780408874
ellpack_sub_warp,4, 1.257978,0.00015683584375073416
ellpack,8, 2.475679,0.00172548903880119335
ellpack_sub_warp,8, 2.605254,0.00035444289368816411
ellpack,12, 3.757917,0.00763207862563142995
ellpack_sub_warp,12, 3.758296,0.00029422765037809110
ellpack,16, 4.953312,0.00667896395447340353
ellpack_sub_warp,16, 4.855301,0.00037678807747586266
ellpack,32, 9.627580,0.02050774183903223899
ellpack_sub_warp,32, 9.665224,0.01854205276720083048
ellpack,64, 18.200286,0.06203026434266167843
ellpack_sub_warp,64, 16.986573,0.06938915075850167480
