Algorithm,K,GFLOPS,GFLOPS_variability
ellpack,1, 28.365267,0.63913909214709208051
ellpack_sub_warp,1, 24.654493,0.03767986535960539396
ellpack,3, 90.819648,3.25616216856542717295
ellpack_sub_warp,3, 89.562995,1.03423198719950071300
ellpack,4, 115.849815,3.21863707804443421878
ellpack_sub_warp,4, 104.752711,1.78079624725633789417
ellpack,8, 182.515837,21.93361349253817493832
ellpack_sub_warp,8, 139.698685,0.76373539902077181019
ellpack,12, 205.136045,35.07912534974181539837
ellpack_sub_warp,12, 153.992361,1.56956564813941068515
ellpack,16, 230.785638,19.05806885854926235879
ellpack_sub_warp,16, 165.695489,1.02689229018874694788
ellpack,32, 259.632927,17.47603796280802157526
ellpack_sub_warp,32, 181.372449,0.33478844077948205493
ellpack,64, 274.257966,2.03728555841867020604
ellpack_sub_warp,64, 195.175054,0.09329816371172071354
