Algorithm,K,GFLOPS
csr_scalar,1,10.212757
csr_scalar,1,10.302126
csr_scalar,1,10.346534
csr_scalar,1,10.209263
csr_scalar,1,10.183791
csr_scalar,1,10.137856
csr_scalar,1,10.230326
csr_scalar,1,10.268933
csr_scalar,1,10.196091
csr_scalar,1,10.166979
csr_scalar,3,82.246142
csr_scalar,3,82.457750
csr_scalar,3,82.103073
csr_scalar,3,81.950149
csr_scalar,3,82.366182
csr_scalar,3,82.349197
csr_scalar,3,82.298283
csr_scalar,3,82.504924
csr_scalar,3,82.142037
csr_scalar,3,82.466913
csr_scalar,4,142.628885
csr_scalar,4,142.764192
csr_scalar,4,142.693570
csr_scalar,4,142.564269
csr_scalar,4,142.473305
csr_scalar,4,142.335627
csr_scalar,4,142.778913
csr_scalar,4,142.452783
csr_scalar,4,142.256650
csr_scalar,4,142.617128
csr_scalar,8,245.009304
csr_scalar,8,244.274424
csr_scalar,8,245.300147
csr_scalar,8,244.589453
csr_scalar,8,244.706179
csr_scalar,8,244.580809
csr_scalar,8,244.697527
csr_scalar,8,243.586798
csr_scalar,8,242.180698
csr_scalar,8,244.481474
csr_scalar,12,252.485996
csr_scalar,12,252.476803
csr_scalar,12,252.575064
csr_scalar,12,252.200846
csr_scalar,12,252.630371
csr_scalar,12,252.311156
csr_scalar,12,252.038638
csr_scalar,12,252.197788
csr_scalar,12,252.400077
csr_scalar,12,252.252930
csr_scalar,16,288.035161
csr_scalar,16,288.350107
csr_scalar,16,286.823835
csr_scalar,16,287.966265
csr_scalar,16,287.813616
csr_scalar,16,287.359616
csr_scalar,16,287.655140
csr_scalar,16,287.556564
csr_scalar,16,287.942303
csr_scalar,16,288.281061
csr_scalar,32,291.220490
csr_scalar,32,291.419706
csr_scalar,32,291.922036
csr_scalar,32,291.508670
csr_scalar,32,294.225162
csr_scalar,32,291.562389
csr_scalar,32,291.745171
csr_scalar,32,291.232745
csr_scalar,32,291.768235
csr_scalar,32,291.795908
csr_scalar,64,294.788979
csr_scalar,64,294.744278
csr_scalar,64,294.850207
csr_scalar,64,294.862769
csr_scalar,64,294.771723
csr_scalar,64,294.646274
csr_scalar,64,294.984492
csr_scalar,64,294.822723
csr_scalar,64,294.807826
csr_scalar,64,294.672136
csr_vector,1,47.801991
csr_vector,1,47.203537
csr_vector,1,47.769005
csr_vector,1,47.551129
csr_vector,1,47.782192
csr_vector,1,46.205400
csr_vector,1,47.881343
csr_vector,1,47.845601
csr_vector,1,47.248641
csr_vector,1,47.724216
csr_vector,3,53.603456
csr_vector,3,53.698813
csr_vector,3,53.601242
csr_vector,3,53.654973
csr_vector,3,53.652201
csr_vector,3,53.711590
csr_vector,3,53.606776
csr_vector,3,53.608433
csr_vector,3,53.539332
csr_vector,3,53.664399
csr_vector,4,55.926232
csr_vector,4,55.919456
csr_vector,4,56.004508
csr_vector,4,55.959235
csr_vector,4,55.978692
csr_vector,4,55.933009
csr_vector,4,55.877930
csr_vector,4,55.921260
csr_vector,4,55.907262
csr_vector,4,55.898231
csr_vector,8,57.985342
csr_vector,8,57.954273
csr_vector,8,58.065108
csr_vector,8,58.056586
csr_vector,8,57.997974
csr_vector,8,58.022766
csr_vector,8,57.934145
csr_vector,8,58.001374
csr_vector,8,58.062670
csr_vector,8,57.970773
csr_vector,12,58.360531
csr_vector,12,58.381697
csr_vector,12,58.421769
csr_vector,12,58.373002
csr_vector,12,58.408132
csr_vector,12,58.364632
csr_vector,12,58.359548
csr_vector,12,58.405503
csr_vector,12,58.408626
csr_vector,12,58.381697
csr_vector,16,58.745845
csr_vector,16,58.780390
csr_vector,16,58.787754
csr_vector,16,58.785005
csr_vector,16,58.746469
csr_vector,16,58.750581
csr_vector,16,58.773403
csr_vector,16,58.772656
csr_vector,16,58.727531
csr_vector,16,58.788126
csr_vector,32,59.533156
csr_vector,32,59.502133
csr_vector,32,59.493949
csr_vector,32,59.464630
csr_vector,32,59.508143
csr_vector,32,59.479381
csr_vector,32,59.535204
csr_vector,32,59.429725
csr_vector,32,59.477081
csr_vector,32,59.395688
csr_vector,64,60.419504
csr_vector,64,60.396936
