Algorithm,K,GFLOPS
csr_scalar,1,0.289011
csr_scalar,1,0.294830
csr_scalar,1,0.281713
csr_scalar,1,0.291046
csr_scalar,1,0.295202
csr_scalar,1,0.282053
csr_scalar,1,0.287710
csr_scalar,1,0.289487
csr_scalar,1,0.298588
csr_scalar,1,0.299478
csr_scalar,3,0.891219
csr_scalar,3,0.888590
csr_scalar,3,0.832133
csr_scalar,3,0.878960
csr_scalar,3,0.874948
csr_scalar,3,0.846158
csr_scalar,3,0.867033
csr_scalar,3,0.844125
csr_scalar,3,0.844125
csr_scalar,3,0.844802
csr_scalar,4,1.218682
csr_scalar,4,1.213946
csr_scalar,4,1.220269
csr_scalar,4,1.199957
csr_scalar,4,1.181303
csr_scalar,4,1.182793
csr_scalar,4,1.187289
csr_scalar,4,1.218154
csr_scalar,4,1.191314
csr_scalar,4,1.236368
csr_scalar,8,2.309240
csr_scalar,8,2.217271
csr_scalar,8,2.316852
csr_scalar,8,2.295102
csr_scalar,8,2.213780
csr_scalar,8,2.320677
csr_scalar,8,2.225168
csr_scalar,8,2.186236
csr_scalar,8,2.254611
csr_scalar,8,2.247402
csr_scalar,12,3.678369
csr_scalar,12,3.705843
csr_scalar,12,3.768767
csr_scalar,12,3.659219
csr_scalar,12,3.584573
csr_scalar,12,3.665580
csr_scalar,12,3.536478
csr_scalar,12,3.567893
csr_scalar,12,3.564877
csr_scalar,12,3.670365
csr_scalar,16,4.936786
csr_scalar,16,5.065766
csr_scalar,16,4.739149
csr_scalar,16,4.847414
csr_scalar,16,4.662521
csr_scalar,16,5.068049
csr_scalar,16,5.036274
csr_scalar,16,4.841154
csr_scalar,16,5.088688
csr_scalar,16,5.111818
csr_scalar,32,9.165444
csr_scalar,32,8.971679
csr_scalar,32,9.271228
csr_scalar,32,9.454393
csr_scalar,32,9.332780
csr_scalar,32,9.813264
csr_scalar,32,9.430608
csr_scalar,32,9.732584
csr_scalar,32,9.080339
csr_scalar,32,9.206713
csr_scalar,64,18.263907
csr_scalar,64,18.368313
csr_scalar,64,17.675442
csr_scalar,64,18.580751
csr_scalar,64,17.530787
csr_scalar,64,17.255082
csr_scalar,64,16.797611
csr_scalar,64,18.634631
csr_scalar,64,18.712147
csr_scalar,64,17.368340
csr_vector,1,1.372803
csr_vector,1,1.485994
csr_vector,1,1.380894
csr_vector,1,1.372803
csr_vector,1,1.203553
csr_vector,1,0.995574
csr_vector,1,1.233114
csr_vector,1,1.419950
csr_vector,1,1.508315
csr_vector,1,1.400149
csr_vector,3,2.752774
csr_vector,3,1.481817
csr_vector,3,2.995206
csr_vector,3,2.555909
csr_vector,3,2.645703
csr_vector,3,2.896463
csr_vector,3,2.995206
csr_vector,3,2.896463
csr_vector,3,2.945007
csr_vector,3,2.534405
csr_vector,4,3.488213
csr_vector,4,3.675163
csr_vector,4,3.137835
csr_vector,4,3.137835
csr_vector,4,3.013398
csr_vector,4,3.586097
csr_vector,4,3.532035
csr_vector,4,3.412015
csr_vector,4,3.148376
csr_vector,4,3.137835
csr_vector,8,4.266313
csr_vector,8,4.434543
csr_vector,8,4.761219
csr_vector,8,4.193140
csr_vector,8,4.452098
csr_vector,8,4.650951
csr_vector,8,4.616585
csr_vector,8,4.174462
csr_vector,8,4.590204
csr_vector,8,4.279300
csr_vector,12,5.645582
csr_vector,12,5.044557
csr_vector,12,5.348446
csr_vector,12,5.087153
csr_vector,12,5.345057
csr_vector,12,5.441613
csr_vector,12,5.212917
csr_vector,12,5.438104
csr_vector,12,5.038530
csr_vector,12,5.008610
csr_vector,16,5.909616
csr_vector,16,5.790937
csr_vector,16,6.007478
csr_vector,16,5.648418
csr_vector,16,5.639920
csr_vector,16,5.531726
csr_vector,16,6.033262
csr_vector,16,6.017121
csr_vector,16,5.702839
csr_vector,16,5.448644
csr_vector,32,6.654438
csr_vector,32,6.625037
csr_vector,32,6.580457
csr_vector,32,6.504338
csr_vector,32,6.561260
csr_vector,32,6.801330
csr_vector,32,6.903622
csr_vector,32,6.511870
csr_vector,32,6.762478
csr_vector,32,6.670225
csr_vector,64,7.561607
csr_vector,64,7.396251
csr_vector,64,7.502335
csr_vector,64,7.437831
csr_vector,64,7.443985
csr_vector,64,7.370801
csr_vector,64,7.338336
csr_vector,64,7.363562
csr_vector,64,7.373217
csr_vector,64,7.254314
csr_vector_by_row,1,0.784459
csr_vector_by_row,1,0.653230
csr_vector_by_row,1,0.572374
csr_vector_by_row,1,0.732161
