Algorithm,K,GFLOPS
csr_scalar,1,24.408064
csr_scalar,1,22.156661
csr_scalar,1,25.519394
csr_scalar,1,22.156661
csr_scalar,1,22.386094
csr_scalar,1,22.287187
csr_scalar,1,23.887925
csr_scalar,1,22.928787
csr_scalar,1,21.836941
csr_scalar,1,22.894099
csr_scalar,3,82.319128
csr_scalar,3,84.072225
csr_scalar,3,85.096534
csr_scalar,3,82.095838
csr_scalar,3,80.068782
csr_scalar,3,86.146111
csr_scalar,3,94.286604
csr_scalar,3,87.389798
csr_scalar,3,89.544375
csr_scalar,3,103.887870
csr_scalar,4,115.519090
csr_scalar,4,126.503656
csr_scalar,4,105.732752
csr_scalar,4,111.785782
csr_scalar,4,103.828471
csr_scalar,4,111.682658
csr_scalar,4,114.752607
csr_scalar,4,127.034630
csr_scalar,4,106.570419
csr_scalar,4,109.066671
csr_scalar,8,182.600306
csr_scalar,8,170.153196
csr_scalar,8,191.254348
csr_scalar,8,176.093092
csr_scalar,8,167.562636
csr_scalar,8,169.676239
csr_scalar,8,174.821667
csr_scalar,8,183.848137
csr_scalar,8,163.049157
csr_scalar,8,175.709722
csr_scalar,12,197.601738
csr_scalar,12,191.961948
csr_scalar,12,187.405575
csr_scalar,12,186.443527
csr_scalar,12,189.064033
csr_scalar,12,188.182381
csr_scalar,12,192.777067
csr_scalar,12,207.656941
csr_scalar,12,204.155139
csr_scalar,12,207.301375
csr_scalar,16,188.793764
csr_scalar,16,229.070952
csr_scalar,16,191.103396
csr_scalar,16,230.928003
csr_scalar,16,224.608546
csr_scalar,16,217.545377
csr_scalar,16,217.937001
csr_scalar,16,189.978809
csr_scalar,16,186.395690
csr_scalar,16,187.768897
csr_scalar,32,256.355751
csr_scalar,32,256.355751
csr_scalar,32,247.891465
csr_scalar,32,255.409282
csr_scalar,32,244.882928
csr_scalar,32,251.430945
csr_scalar,32,248.974804
csr_scalar,32,249.038825
csr_scalar,32,254.202631
csr_scalar,32,243.467068
csr_scalar,64,272.168613
csr_scalar,64,267.323204
csr_scalar,64,267.618673
csr_scalar,64,265.382110
csr_scalar,64,267.877753
csr_scalar,64,267.249456
csr_scalar,64,266.111287
csr_scalar,64,273.784308
csr_scalar,64,268.657977
csr_scalar,64,268.919057
csr_vector,1,16.889509
csr_vector,1,16.908380
csr_vector,1,18.365292
csr_vector,1,16.823791
csr_vector,1,16.675482
csr_vector,1,17.647813
csr_vector,1,17.434332
csr_vector,1,17.109102
csr_vector,1,18.112507
csr_vector,1,12.835454
csr_vector,3,22.773515
csr_vector,3,22.871033
csr_vector,3,23.565533
csr_vector,3,22.609065
csr_vector,3,23.371428
csr_vector,3,22.819302
csr_vector,3,23.395517
csr_vector,3,23.377446
csr_vector,3,22.928789
csr_vector,3,22.888328
csr_vector,4,23.525845
csr_vector,4,23.384972
csr_vector,4,23.645313
csr_vector,4,23.663801
csr_vector,4,23.864379
csr_vector,4,23.775333
csr_vector,4,23.457470
csr_vector,4,23.916239
csr_vector,4,23.317412
csr_vector,4,23.398532
csr_vector,8,24.767594
csr_vector,8,24.186196
csr_vector,8,25.000309
csr_vector,8,24.492008
csr_vector,8,24.546635
csr_vector,8,24.361405
csr_vector,8,24.574039
csr_vector,8,24.368760
csr_vector,8,24.442559
csr_vector,8,24.604004
csr_vector,12,24.782805
csr_vector,12,24.759152
csr_vector,12,24.781114
csr_vector,12,24.725440
csr_vector,12,24.923964
csr_vector,12,24.865946
csr_vector,12,24.898334
csr_vector,12,24.782805
csr_vector,12,24.777732
csr_vector,12,24.698537
csr_vector,16,25.044270
csr_vector,16,24.779001
csr_vector,16,25.212474
csr_vector,16,25.198044
csr_vector,16,24.441327
csr_vector,16,25.250601
csr_vector,16,24.520532
csr_vector,16,25.219040
csr_vector,16,25.165307
csr_vector,16,25.208538
csr_vector,32,25.158771
csr_vector,32,25.106595
