Algorithm,K,GFLOPS
csr_scalar,1,4.452367
csr_scalar,1,4.611534
csr_scalar,1,4.946049
csr_scalar,1,4.920554
csr_scalar,1,5.159932
csr_scalar,1,4.982189
csr_scalar,1,4.545655
csr_scalar,1,4.292210
csr_scalar,1,4.656524
csr_scalar,1,4.661072
csr_scalar,3,18.965315
csr_scalar,3,18.644286
csr_scalar,3,18.499757
csr_scalar,3,18.333947
csr_scalar,3,17.107302
csr_scalar,3,17.547565
csr_scalar,3,19.219882
csr_scalar,3,18.547685
csr_scalar,3,18.965315
csr_scalar,3,17.168840
csr_scalar,4,25.523730
csr_scalar,4,24.602772
csr_scalar,4,22.329532
csr_scalar,4,26.333449
csr_scalar,4,22.782518
csr_scalar,4,25.220277
csr_scalar,4,21.695170
csr_scalar,4,26.739145
csr_scalar,4,25.387965
csr_scalar,4,21.869129
csr_scalar,8,48.150694
csr_scalar,8,50.043906
csr_scalar,8,58.653609
csr_scalar,8,47.669789
csr_scalar,8,56.484465
csr_scalar,8,50.641248
csr_scalar,8,49.332686
csr_scalar,8,59.016231
csr_scalar,8,57.853786
csr_scalar,8,57.505272
csr_scalar,12,71.504683
csr_scalar,12,80.105248
csr_scalar,12,75.961872
csr_scalar,12,68.347555
csr_scalar,12,72.317237
csr_scalar,12,71.061102
csr_scalar,12,81.356889
csr_scalar,12,80.329942
csr_scalar,12,70.018643
csr_scalar,12,71.504683
csr_scalar,16,93.130486
csr_scalar,16,95.697992
csr_scalar,16,95.339577
csr_scalar,16,89.843528
csr_scalar,16,126.855485
csr_scalar,16,94.748136
csr_scalar,16,128.998305
csr_scalar,16,127.066560
csr_scalar,16,98.158099
csr_scalar,16,97.781049
csr_scalar,32,145.322554
csr_scalar,32,142.078135
csr_scalar,32,143.143396
csr_scalar,32,154.745702
csr_scalar,32,162.656019
csr_scalar,32,137.722279
csr_scalar,32,148.863546
csr_scalar,32,142.210424
csr_scalar,32,167.105037
csr_scalar,32,133.392141
csr_scalar,64,191.636132
csr_scalar,64,208.653009
csr_scalar,64,198.743013
csr_scalar,64,208.795631
csr_scalar,64,194.813782
csr_scalar,64,190.204233
csr_scalar,64,193.089753
csr_scalar,64,201.496040
csr_scalar,64,197.586027
csr_scalar,64,197.203352
csr_vector,1,9.022566
csr_vector,1,7.446080
csr_vector,1,7.457715
csr_vector,1,6.947507
csr_vector,1,7.331701
csr_vector,1,6.867536
csr_vector,1,7.123788
csr_vector,1,7.422920
csr_vector,1,8.315222
csr_vector,1,8.553651
csr_vector,3,15.927489
csr_vector,3,15.666097
csr_vector,3,15.530166
csr_vector,3,15.380035
csr_vector,3,15.821892
csr_vector,3,15.072434
csr_vector,3,15.429754
csr_vector,3,16.708066
csr_vector,3,15.614845
csr_vector,3,15.120182
csr_vector,4,17.842757
csr_vector,4,19.682217
csr_vector,4,18.699070
csr_vector,4,17.661194
csr_vector,4,19.421922
csr_vector,4,18.735771
csr_vector,4,19.226334
csr_vector,4,17.726787
csr_vector,4,19.784197
csr_vector,4,17.596083
csr_vector,8,23.760734
csr_vector,8,25.421770
csr_vector,8,24.151486
