Algorithm,K,GFLOPS
csr_scalar,1,0.210783
csr_scalar,1,0.210628
csr_scalar,1,0.210937
csr_scalar,1,0.210808
csr_scalar,1,0.210680
csr_scalar,1,0.210896
csr_scalar,1,0.210666
csr_scalar,1,0.210608
csr_scalar,1,0.210910
csr_scalar,1,0.210739
csr_scalar,3,0.595112
csr_scalar,3,0.595731
csr_scalar,3,0.595780
csr_scalar,3,0.595556
csr_scalar,3,0.595309
csr_scalar,3,0.595652
csr_scalar,3,0.595242
csr_scalar,3,0.595329
csr_scalar,3,0.595260
csr_scalar,3,0.595252
csr_scalar,4,0.778209
csr_scalar,4,0.775312
csr_scalar,4,0.775588
csr_scalar,4,0.777436
csr_scalar,4,0.777436
csr_scalar,4,0.776374
csr_scalar,4,0.776922
csr_scalar,4,0.776871
csr_scalar,4,0.775884
csr_scalar,4,0.776082
csr_scalar,8,1.477532
csr_scalar,8,1.477994
csr_scalar,8,1.480123
csr_scalar,8,1.480186
csr_scalar,8,1.480381
csr_scalar,8,1.477720
csr_scalar,8,1.478176
csr_scalar,8,1.478644
csr_scalar,8,1.477344
csr_scalar,8,1.478701
csr_scalar,12,2.205270
csr_scalar,12,2.209356
csr_scalar,12,2.208863
csr_scalar,12,2.209262
csr_scalar,12,2.208575
csr_scalar,12,2.206667
csr_scalar,12,2.210197
csr_scalar,12,2.206523
csr_scalar,12,2.211319
csr_scalar,12,2.208193
csr_scalar,16,2.957060
csr_scalar,16,2.956592
csr_scalar,16,2.960189
csr_scalar,16,2.957493
csr_scalar,16,2.957745
csr_scalar,16,2.955281
csr_scalar,16,2.954951
csr_scalar,16,2.956626
csr_scalar,16,2.957140
csr_scalar,16,2.958053
csr_scalar,32,5.985902
csr_scalar,32,5.989458
csr_scalar,32,5.990206
csr_scalar,32,5.985879
csr_scalar,32,5.987047
csr_scalar,32,5.987235
csr_scalar,32,5.989270
csr_scalar,32,5.988405
csr_scalar,32,5.991120
csr_scalar,32,5.994025
csr_scalar,64,11.219300
csr_scalar,64,11.212981
csr_scalar,64,11.228259
csr_scalar,64,11.223119
csr_scalar,64,11.235460
csr_scalar,64,11.230274
csr_scalar,64,11.201263
csr_scalar,64,11.232454
csr_scalar,64,11.211299
csr_scalar,64,11.234759
csr_vector,1,3.978384
csr_vector,1,4.137492
csr_vector,1,3.974094
csr_vector,1,4.025189
csr_vector,1,4.103114
csr_vector,1,3.936534
csr_vector,1,4.127510
csr_vector,1,4.012040
csr_vector,1,3.950495
csr_vector,1,4.070685
csr_vector,3,7.806772
csr_vector,3,7.780565
csr_vector,3,7.778038
csr_vector,3,7.777617
csr_vector,3,7.763330
csr_vector,3,7.822070
csr_vector,3,7.833156
csr_vector,3,7.843846
csr_vector,3,7.746591
csr_vector,3,7.760396
csr_vector,4,7.928125
csr_vector,4,7.911103
csr_vector,4,7.872422
csr_vector,4,7.856604
csr_vector,4,7.851774
csr_vector,4,7.925502
csr_vector,4,7.853383
csr_vector,4,7.864021
csr_vector,4,7.907185
csr_vector,4,7.937979
csr_vector,8,8.099211
csr_vector,8,8.103836
csr_vector,8,8.073785
csr_vector,8,8.108638
csr_vector,8,8.111899
csr_vector,8,8.101609
csr_vector,8,8.070214
csr_vector,8,8.070385
csr_vector,8,8.101438
csr_vector,8,8.071235
csr_vector,12,8.146563
csr_vector,12,8.149219
csr_vector,12,8.156041
csr_vector,12,8.168210
csr_vector,12,8.158241
csr_vector,12,8.158125
csr_vector,12,8.140562
csr_vector,12,8.152223
csr_vector,12,8.144485
csr_vector,12,8.142177
csr_vector,16,8.202451
csr_vector,16,8.212207
csr_vector,16,8.209656
csr_vector,16,8.199643
csr_vector,16,8.196135
csr_vector,16,8.206403
csr_vector,16,8.208337
csr_vector,16,8.205524
csr_vector,16,8.206403
csr_vector,16,8.199467
csr_vector,32,8.287199
csr_vector,32,8.283616
csr_vector,32,8.289126
csr_vector,32,8.299898
csr_vector,32,8.289619
csr_vector,32,8.295227
csr_vector,32,8.283795
csr_vector,32,8.296933
csr_vector,32,8.291592
csr_vector,32,8.289440
csr_vector,64,8.347154
csr_vector,64,8.349541
csr_vector,64,8.350291
csr_vector,64,8.349200
csr_vector,64,8.345518
csr_vector,64,8.352384
csr_vector,64,8.351724
csr_vector,64,8.346859
csr_vector,64,8.346381
csr_vector,64,8.348722
csr_vector_by_row,1,0.663992
csr_vector_by_row,1,0.661252
csr_vector_by_row,1,0.662917
csr_vector_by_row,1,0.661782
csr_vector_by_row,1,0.661407
csr_vector_by_row,1,0.663919
csr_vector_by_row,1,0.664637
csr_vector_by_row,1,0.661882
csr_vector_by_row,1,0.660322
csr_vector_by_row,1,0.659649
csr_vector_by_row,3,1.938110
csr_vector_by_row,3,1.942039
csr_vector_by_row,3,1.932039
csr_vector_by_row,3,1.940099
csr_vector_by_row,3,1.938032
csr_vector_by_row,3,1.933755
csr_vector_by_row,3,1.934093
csr_vector_by_row,3,1.932610
csr_vector_by_row,3,1.936282
csr_vector_by_row,3,1.933651
csr_vector_by_row,4,2.547588
csr_vector_by_row,4,2.544982
csr_vector_by_row,4,2.553632
csr_vector_by_row,4,2.544442
csr_vector_by_row,4,2.553292
csr_vector_by_row,4,2.554858
csr_vector_by_row,4,2.552203
csr_vector_by_row,4,2.548333
csr_vector_by_row,4,2.550267
csr_vector_by_row,4,2.555914
csr_vector_by_row,8,4.676796
csr_vector_by_row,8,4.672576
csr_vector_by_row,8,4.697839
csr_vector_by_row,8,4.673488
csr_vector_by_row,8,4.680109
csr_vector_by_row,8,4.689790
