Algorithm,K,GFLOPS
csr_scalar,1,1.587370
csr_scalar,1,1.495461
csr_scalar,1,1.513282
csr_scalar,1,1.501355
csr_scalar,1,1.695078
csr_scalar,1,1.638575
csr_scalar,1,1.667259
csr_scalar,1,1.498402
csr_scalar,1,1.647432
csr_scalar,1,1.488159
csr_scalar,3,4.767075
csr_scalar,3,4.747274
csr_scalar,3,4.708162
csr_scalar,3,4.762109
csr_scalar,3,5.397432
csr_scalar,3,5.272924
csr_scalar,3,4.383149
csr_scalar,3,5.023764
csr_scalar,3,4.504064
csr_scalar,3,4.508506
csr_scalar,4,7.686633
csr_scalar,4,5.351624
csr_scalar,4,7.370617
csr_scalar,4,6.833520
csr_scalar,4,6.803013
csr_scalar,4,6.484574
csr_scalar,4,6.582613
csr_scalar,4,7.071346
csr_scalar,4,6.349479
csr_scalar,4,6.389413
csr_scalar,8,17.002790
csr_scalar,8,16.861688
csr_scalar,8,15.334591
csr_scalar,8,16.104359
csr_scalar,8,16.189908
csr_scalar,8,14.652644
csr_scalar,8,14.565113
csr_scalar,8,14.175582
csr_scalar,8,16.979109
csr_scalar,8,14.705669
csr_scalar,12,22.716149
csr_scalar,12,21.821600
csr_scalar,12,25.084361
csr_scalar,12,21.926259
csr_scalar,12,22.382497
csr_scalar,12,21.337806
csr_scalar,12,23.872715
csr_scalar,12,21.238676
csr_scalar,12,19.985246
csr_scalar,12,24.029567
csr_scalar,16,30.630653
csr_scalar,16,34.682788
csr_scalar,16,35.750732
csr_scalar,16,35.803230
csr_scalar,16,34.633522
csr_scalar,16,35.961653
csr_scalar,16,34.389281
csr_scalar,16,36.391046
csr_scalar,16,30.363636
csr_scalar,16,36.068046
csr_scalar,32,73.773068
csr_scalar,32,79.549754
csr_scalar,32,87.863067
csr_scalar,32,73.884846
csr_scalar,32,72.242961
csr_scalar,32,81.956304
csr_scalar,32,68.778563
csr_scalar,32,86.460995
csr_scalar,32,47.343687
csr_scalar,32,98.314517
csr_scalar,64,140.733049
csr_scalar,64,141.344924
csr_scalar,64,162.546659
csr_scalar,64,119.960637
csr_scalar,64,145.999995
csr_scalar,64,132.691155
csr_scalar,64,140.936422
csr_scalar,64,126.005166
csr_scalar,64,146.438437
csr_scalar,64,147.101059
csr_vector,1,3.401507
csr_vector,1,2.987990
csr_vector,1,3.989202
csr_vector,1,3.270118
csr_vector,1,3.214926
csr_vector,1,2.970517
csr_vector,1,4.353929
csr_vector,1,3.401507
csr_vector,1,3.771968
csr_vector,1,3.263116
csr_vector,3,8.911550
csr_vector,3,8.842602
csr_vector,3,8.707857
csr_vector,3,8.894212
csr_vector,3,9.070685
csr_vector,3,7.909386
csr_vector,3,7.735406
csr_vector,3,7.385501
csr_vector,3,7.245048
csr_vector,3,6.990253
csr_vector,4,10.982883
csr_vector,4,10.527634
csr_vector,4,9.166165
csr_vector,4,11.812985
csr_vector,4,10.279090
csr_vector,4,10.582465
csr_vector,4,9.421175
csr_vector,4,9.193816
csr_vector,4,9.450387
csr_vector,4,9.911382
csr_vector,8,15.956806
csr_vector,8,15.873697
csr_vector,8,17.415715
csr_vector,8,17.366097
csr_vector,8,17.901615
csr_vector,8,15.144099
csr_vector,8,17.074229
csr_vector,8,15.353904
csr_vector,8,17.074229
csr_vector,8,16.061923
csr_vector,12,18.359939
csr_vector,12,20.409040
csr_vector,12,19.208509
csr_vector,12,18.832647
csr_vector,12,19.088204
csr_vector,12,17.685204
csr_vector,12,20.318334
csr_vector,12,18.697853
csr_vector,12,20.639391
csr_vector,12,18.415408
csr_vector,16,22.145322
csr_vector,16,21.128249
csr_vector,16,20.857142
csr_vector,16,23.717898
csr_vector,16,21.128249
csr_vector,16,23.132827
csr_vector,16,21.091696
csr_vector,16,21.769642
csr_vector,16,21.828111
csr_vector,16,21.220191
csr_vector,32,30.064118
csr_vector,32,29.393612
csr_vector,32,28.940059
csr_vector,32,29.393612
csr_vector,32,30.288198
csr_vector,32,29.861605
csr_vector,32,20.821521
csr_vector,32,26.778693
csr_vector,32,28.617370
csr_vector,32,28.285383
csr_vector,64,34.856327
csr_vector,64,33.399999
csr_vector,64,35.082015
csr_vector,64,32.336871
csr_vector,64,34.401412
csr_vector,64,33.595591
