Algorithm,K,GFLOPS
csr_scalar,1,16.851859
csr_scalar,1,15.977650
csr_scalar,1,18.979135
csr_scalar,1,18.639027
csr_scalar,1,18.716003
csr_scalar,1,18.990497
csr_scalar,1,18.782489
csr_scalar,1,19.486255
csr_scalar,1,18.754730
csr_scalar,1,18.704968
csr_scalar,3,66.927479
csr_scalar,3,80.312979
csr_scalar,3,81.238479
csr_scalar,3,78.008915
csr_scalar,3,81.342632
csr_scalar,3,84.408761
csr_scalar,3,83.046139
csr_scalar,3,70.366633
csr_scalar,3,77.155150
csr_scalar,3,81.273167
csr_scalar,4,101.556225
csr_scalar,4,99.213842
csr_scalar,4,104.958229
csr_scalar,4,99.058940
csr_scalar,4,101.070887
csr_scalar,4,101.964239
csr_scalar,4,103.292223
csr_scalar,4,105.657373
csr_scalar,4,103.208211
csr_scalar,4,104.655255
csr_scalar,8,160.727672
csr_scalar,8,180.697047
csr_scalar,8,171.421144
csr_scalar,8,182.516362
csr_scalar,8,166.637562
csr_scalar,8,177.661177
csr_scalar,8,176.058962
csr_scalar,8,158.866348
csr_scalar,8,168.798798
csr_scalar,8,178.536054
csr_scalar,12,195.774490
csr_scalar,12,194.772822
csr_scalar,12,205.386293
csr_scalar,12,195.422736
csr_scalar,12,187.252080
csr_scalar,12,207.683307
csr_scalar,12,184.618565
csr_scalar,12,204.119839
csr_scalar,12,200.412474
csr_scalar,12,194.673219
csr_scalar,16,234.122696
csr_scalar,16,237.741457
csr_scalar,16,231.506494
csr_scalar,16,213.312874
csr_scalar,16,233.315568
csr_scalar,16,209.742972
csr_scalar,16,239.367134
csr_scalar,16,236.137712
csr_scalar,16,208.237124
csr_scalar,16,240.330491
csr_scalar,32,272.086840
csr_scalar,32,262.653551
csr_scalar,32,267.427816
csr_scalar,32,266.480114
csr_scalar,32,263.848208
csr_scalar,32,260.697478
csr_scalar,32,269.236444
csr_scalar,32,260.263042
csr_scalar,32,256.482070
csr_scalar,32,260.965549
csr_scalar,64,281.577142
csr_scalar,64,276.082672
csr_scalar,64,274.144206
csr_scalar,64,278.927334
csr_scalar,64,270.780481
csr_scalar,64,279.407141
csr_scalar,64,274.570556
csr_scalar,64,280.120318
csr_scalar,64,273.203521
csr_scalar,64,283.187391
csr_vector,1,32.011731
csr_vector,1,33.481399
csr_vector,1,29.871585
csr_vector,1,34.129775
csr_vector,1,33.766498
csr_vector,1,25.409392
csr_vector,1,30.430335
csr_vector,1,33.659018
csr_vector,1,33.947164
csr_vector,1,34.258774
csr_vector,3,44.860182
csr_vector,3,45.126067
csr_vector,3,45.330256
csr_vector,3,43.054005
csr_vector,3,45.954069
csr_vector,3,45.265575
csr_vector,3,47.502308
csr_vector,3,44.618320
csr_vector,3,46.311860
csr_vector,3,45.471032
csr_vector,4,48.871363
csr_vector,4,48.212196
csr_vector,4,47.481572
csr_vector,4,48.572058
csr_vector,4,45.327558
csr_vector,4,47.526029
csr_vector,4,48.609271
csr_vector,4,47.561656
csr_vector,4,47.508235
csr_vector,4,48.852549
csr_vector,8,51.593617
csr_vector,8,52.327627
csr_vector,8,53.266659
csr_vector,8,53.038455
csr_vector,8,52.762788
csr_vector,8,52.037932
csr_vector,8,51.656626
csr_vector,8,51.311970
csr_vector,8,50.702030
csr_vector,8,52.538866
csr_vector,12,53.257345
csr_vector,12,53.253619
csr_vector,12,53.534454
csr_vector,12,53.012603
csr_vector,12,53.932636
csr_vector,12,53.384308
csr_vector,12,53.328220
csr_vector,12,53.317018
csr_vector,12,53.361860
csr_vector,12,53.380564
csr_vector,16,54.938628
csr_vector,16,54.666450
csr_vector,16,54.458235
csr_vector,16,53.865861
csr_vector,16,54.666450
csr_vector,16,53.289028
csr_vector,16,54.663506
csr_vector,16,54.484542
csr_vector,16,53.740389
csr_vector,16,53.375887
csr_vector,32,55.263128
csr_vector,32,55.224042
csr_vector,32,55.318839
csr_vector,32,54.846614
csr_vector,32,54.990713
csr_vector,32,54.928224
csr_vector,32,55.708932
csr_vector,32,55.954579
csr_vector,32,55.218039
csr_vector,32,55.406396
csr_vector,64,57.109040
csr_vector,64,57.115467
csr_vector,64,56.816577
csr_vector,64,57.047260
csr_vector,64,57.114659
csr_vector,64,57.012021
csr_vector,64,56.858745
csr_vector,64,57.173365
csr_vector,64,57.173365
csr_vector,64,56.960837
