Algorithm,K,GFLOPS
csr_scalar,1,7.419221
csr_scalar,1,7.126017
csr_scalar,1,7.071223
csr_scalar,1,7.368690
csr_scalar,1,7.131543
csr_scalar,1,7.046839
csr_scalar,1,7.500917
csr_scalar,1,7.368690
csr_scalar,1,7.377557
csr_scalar,1,7.071223
csr_scalar,3,40.600994
csr_scalar,3,39.104712
csr_scalar,3,40.660834
csr_scalar,3,38.504362
csr_scalar,3,39.411966
csr_scalar,3,41.115314
csr_scalar,3,41.115314
csr_scalar,3,35.324423
csr_scalar,3,37.611963
csr_scalar,3,39.610014
csr_scalar,4,56.417943
csr_scalar,4,57.475783
csr_scalar,4,60.203765
csr_scalar,4,55.691898
csr_scalar,4,56.288444
csr_scalar,4,60.351929
csr_scalar,4,57.163169
csr_scalar,4,59.282030
csr_scalar,4,56.897914
csr_scalar,4,58.295565
csr_scalar,8,127.172001
csr_scalar,8,129.980565
csr_scalar,8,122.922302
csr_scalar,8,115.674526
csr_scalar,8,131.726051
csr_scalar,8,127.834922
csr_scalar,8,116.498817
csr_scalar,8,113.532410
csr_scalar,8,126.624785
csr_scalar,8,133.156557
csr_scalar,12,150.447853
csr_scalar,12,133.599878
csr_scalar,12,142.852427
csr_scalar,12,153.588727
csr_scalar,12,138.287590
csr_scalar,12,135.403071
csr_scalar,12,144.631064
csr_scalar,12,147.926948
csr_scalar,12,142.944948
csr_scalar,12,131.765377
csr_scalar,16,203.792236
csr_scalar,16,175.582343
csr_scalar,16,179.108941
csr_scalar,16,164.583893
csr_scalar,16,168.350111
csr_scalar,16,182.214246
csr_scalar,16,179.985322
csr_scalar,16,200.051662
csr_scalar,16,184.962916
csr_scalar,16,189.733069
csr_scalar,32,226.453251
csr_scalar,32,224.124907
csr_scalar,32,232.997633
csr_scalar,32,224.124907
csr_scalar,32,221.010888
csr_scalar,32,235.703652
csr_scalar,32,231.349052
csr_scalar,32,212.627176
csr_scalar,32,217.901512
csr_scalar,32,224.295735
csr_scalar,64,251.356821
csr_scalar,64,258.476931
csr_scalar,64,249.017141
csr_scalar,64,252.056522
csr_scalar,64,250.554283
csr_scalar,64,258.874866
csr_scalar,64,259.731683
csr_scalar,64,246.875840
csr_scalar,64,257.346748
csr_scalar,64,251.195912
csr_vector,1,23.948241
csr_vector,1,25.544791
csr_vector,1,24.042157
csr_vector,1,20.805713
csr_vector,1,22.106070
csr_vector,1,20.665449
csr_vector,1,20.504180
csr_vector,1,21.843527
csr_vector,1,24.200328
csr_vector,1,25.126025
csr_vector,3,40.216291
csr_vector,3,39.021745
csr_vector,3,42.607530
csr_vector,3,39.299680
csr_vector,3,40.012146
csr_vector,3,38.939133
csr_vector,3,39.954199
csr_vector,3,39.077017
csr_vector,3,42.443654
csr_vector,3,39.049362
csr_vector,4,43.635230
csr_vector,4,43.225028
csr_vector,4,46.889103
csr_vector,4,44.345390
csr_vector,4,44.452567
csr_vector,4,46.328086
csr_vector,4,45.780336
csr_vector,4,46.240729
csr_vector,4,45.079045
csr_vector,4,43.326855
csr_vector,8,54.820418
csr_vector,8,56.656912
csr_vector,8,56.766205
csr_vector,8,53.195226
csr_vector,8,54.475378
csr_vector,8,54.637207
csr_vector,8,52.984516
csr_vector,8,54.455217
csr_vector,8,56.439584
csr_vector,8,55.377494
csr_vector,12,61.290476
csr_vector,12,59.091566
csr_vector,12,61.978937
csr_vector,12,61.926769
csr_vector,12,62.153477
csr_vector,12,62.505521
csr_vector,12,60.567233
csr_vector,12,63.586000
csr_vector,12,60.484241
csr_vector,12,61.770781
csr_vector,16,63.407884
csr_vector,16,61.499688
csr_vector,16,60.788269
csr_vector,16,60.876293
csr_vector,16,60.926708
csr_vector,16,62.031200
csr_vector,16,61.835678
csr_vector,16,60.650451
csr_vector,16,61.473993
csr_vector,16,62.412728
csr_vector,32,62.772186
csr_vector,32,62.745418
csr_vector,32,63.627242
