Algorithm,K,GFLOPS
ellpack,1,11.648930
ellpack,1,11.623112
ellpack,1,11.588632
ellpack,1,11.557289
ellpack,1,11.390775
ellpack,1,11.534874
ellpack,1,11.552892
ellpack,1,11.699488
ellpack,1,11.480774
ellpack,1,11.541720
ellpack,3,90.978496
ellpack,3,91.210248
ellpack,3,91.083839
ellpack,3,90.771713
ellpack,3,90.806643
ellpack,3,90.614872
ellpack,3,90.814584
ellpack,3,90.643349
ellpack,3,90.868626
ellpack,3,91.337009
ellpack,4,148.595996
ellpack,4,147.935480
ellpack,4,148.493995
ellpack,4,148.239603
ellpack,4,141.883438
ellpack,4,148.122243
ellpack,4,148.589616
ellpack,4,147.818601
ellpack,4,148.338081
ellpack,4,148.138089
ellpack,8,243.278612
ellpack,8,243.265793
ellpack,8,239.864615
ellpack,8,243.681109
ellpack,8,243.706851
ellpack,8,244.007504
ellpack,8,241.905656
ellpack,8,243.184612
ellpack,8,243.163244
ellpack,8,244.369284
ellpack,12,249.879433
ellpack,12,250.165373
ellpack,12,250.108133
ellpack,12,250.228682
ellpack,12,249.714178
ellpack,12,249.747203
ellpack,12,250.159356
ellpack,12,249.981691
ellpack,12,250.096082
ellpack,12,250.174421
ellpack,16,285.522505
ellpack,16,285.319505
ellpack,16,285.269528
ellpack,16,285.290112
ellpack,16,285.213702
ellpack,16,285.116793
ellpack,16,285.699261
ellpack,16,285.037546
ellpack,16,285.398908
ellpack,16,284.984739
ellpack,32,290.207179
ellpack,32,290.395866
ellpack,32,290.606157
ellpack,32,292.755340
ellpack,32,290.731259
ellpack,32,290.278670
ellpack,32,290.155475
ellpack,32,290.105307
ellpack,32,290.052123
ellpack,32,290.140276
ellpack,64,292.430726
ellpack,64,293.785023
ellpack,64,293.773319
ellpack,64,293.845812
ellpack,64,293.776431
ellpack,64,293.661944
ellpack,64,293.751516
ellpack,64,293.780332
ellpack,64,293.497751
ellpack,64,293.869976
ellpack_sub_warp,1,22.614840
ellpack_sub_warp,1,22.613067
ellpack_sub_warp,1,22.632585
ellpack_sub_warp,1,22.480882
ellpack_sub_warp,1,22.397961
ellpack_sub_warp,1,22.560008
ellpack_sub_warp,1,22.404049
ellpack_sub_warp,1,22.599779
ellpack_sub_warp,1,22.459584
ellpack_sub_warp,1,22.700866
ellpack_sub_warp,3,137.825048
ellpack_sub_warp,3,136.894737
ellpack_sub_warp,3,137.343786
ellpack_sub_warp,3,137.792126
ellpack_sub_warp,3,137.118894
ellpack_sub_warp,3,137.351055
ellpack_sub_warp,3,137.100792
ellpack_sub_warp,3,137.905593
ellpack_sub_warp,3,137.205856
ellpack_sub_warp,3,137.253014
ellpack_sub_warp,4,170.332749
ellpack_sub_warp,4,170.959530
ellpack_sub_warp,4,170.677107
ellpack_sub_warp,4,170.320165
ellpack_sub_warp,4,170.324365
ellpack_sub_warp,4,170.282457
ellpack_sub_warp,4,170.706568
ellpack_sub_warp,4,170.900428
ellpack_sub_warp,4,171.137036
ellpack_sub_warp,4,170.320165
ellpack_sub_warp,8,230.676714
ellpack_sub_warp,8,231.277847
ellpack_sub_warp,8,229.472368
ellpack_sub_warp,8,230.645978
ellpack_sub_warp,8,230.002263
ellpack_sub_warp,8,230.430997
ellpack_sub_warp,8,230.603716
ellpack_sub_warp,8,230.515408
ellpack_sub_warp,8,231.169723
ellpack_sub_warp,8,231.050138
ellpack_sub_warp,12,245.751539
ellpack_sub_warp,12,245.492978
ellpack_sub_warp,12,245.075810
ellpack_sub_warp,12,245.350877
ellpack_sub_warp,12,245.553944
ellpack_sub_warp,12,245.629463
ellpack_sub_warp,12,245.478471
ellpack_sub_warp,12,245.356665
ellpack_sub_warp,12,245.432064
ellpack_sub_warp,12,245.513304
ellpack_sub_warp,16,256.445625
ellpack_sub_warp,16,255.565149
ellpack_sub_warp,16,255.522697
ellpack_sub_warp,16,255.702018
ellpack_sub_warp,16,255.353031
ellpack_sub_warp,16,255.466105
ellpack_sub_warp,16,256.059070
ellpack_sub_warp,16,256.457499
ellpack_sub_warp,16,256.474117
ellpack_sub_warp,16,255.181242
ellpack_sub_warp,32,266.737045
ellpack_sub_warp,32,267.086940
ellpack_sub_warp,32,266.913172
ellpack_sub_warp,32,266.692084
ellpack_sub_warp,32,266.878442
ellpack_sub_warp,32,266.881010
ellpack_sub_warp,32,266.689519
ellpack_sub_warp,32,266.775588
ellpack_sub_warp,32,266.775588
ellpack_sub_warp,32,266.713921
ellpack_sub_warp,64,271.329325
ellpack_sub_warp,64,271.316034
ellpack_sub_warp,64,271.518235
ellpack_sub_warp,64,271.311379
ellpack_sub_warp,64,271.502248
ellpack_sub_warp,64,270.262742
ellpack_sub_warp,64,271.262882
ellpack_sub_warp,64,271.478965
ellpack_sub_warp,64,271.356585
ellpack_sub_warp,64,271.437723
