Algorithm,K,GFLOPS
ellpack,1,0.281601
ellpack,1,0.274561
ellpack,1,0.274775
ellpack,1,0.275421
ellpack,1,0.272221
ellpack,1,0.274775
ellpack,1,0.276505
ellpack,1,0.280813
ellpack,1,0.277597
ellpack,1,0.274775
ellpack,3,0.866677
ellpack,3,0.807902
ellpack,3,0.817296
ellpack,3,0.823682
ellpack,3,0.818883
ellpack,3,0.809142
ellpack,3,0.775515
ellpack,3,0.804819
ellpack,3,0.806358
ellpack,3,0.865965
ellpack,4,1.105584
ellpack,4,1.101685
ellpack,4,1.103848
ellpack,4,1.182793
ellpack,4,1.187289
ellpack,4,1.130478
ellpack,4,1.174885
ellpack,4,1.169509
ellpack,4,1.100391
ellpack,4,1.098671
ellpack,8,2.284843
ellpack,8,2.140464
ellpack,8,2.196484
ellpack,8,2.125898
ellpack,8,2.252805
ellpack,8,2.252805
ellpack,8,2.153581
ellpack,8,2.229580
ellpack,8,2.144546
ellpack,8,2.261866
ellpack,12,3.272992
ellpack,12,3.432845
ellpack,12,2.743819
ellpack,12,3.445466
ellpack,12,3.294727
ellpack,12,3.418930
ellpack,12,3.240300
ellpack,12,3.294727
ellpack,12,3.272992
ellpack,12,3.211919
ellpack,16,4.525553
ellpack,16,4.305513
ellpack,16,4.624178
ellpack,16,3.625403
ellpack,16,4.323722
ellpack,16,4.580855
ellpack,16,4.372473
ellpack,16,4.618481
ellpack,16,4.274420
ellpack,16,4.505609
ellpack,32,8.858606
ellpack,32,8.765394
ellpack,32,8.707704
ellpack,32,6.961312
ellpack,32,8.238828
ellpack,32,8.751751
ellpack,32,8.761979
ellpack,32,8.957387
ellpack,32,8.290454
ellpack,32,8.844672
ellpack,64,16.351872
ellpack,64,16.697847
ellpack,64,15.517075
ellpack,64,13.824216
ellpack,64,16.411529
ellpack,64,16.556496
ellpack,64,15.624870
ellpack,64,15.861777
ellpack,64,16.735119
ellpack,64,15.734173
ellpack_sub_warp,1,0.279807
ellpack_sub_warp,1,0.285258
ellpack_sub_warp,1,0.275313
ellpack_sub_warp,1,0.288300
ellpack_sub_warp,1,0.267864
ellpack_sub_warp,1,0.286187
ellpack_sub_warp,1,0.282733
ellpack_sub_warp,1,0.289011
ellpack_sub_warp,1,0.305332
ellpack_sub_warp,1,0.286654
ellpack_sub_warp,3,0.912035
ellpack_sub_warp,3,0.910460
ellpack_sub_warp,3,0.893864
ellpack_sub_warp,3,0.890467
ellpack_sub_warp,3,0.837421
ellpack_sub_warp,3,0.834438
ellpack_sub_warp,3,0.892729
ellpack_sub_warp,3,0.864191
ellpack_sub_warp,3,0.890467
ellpack_sub_warp,3,0.846497
ellpack_sub_warp,4,1.103414
ellpack_sub_warp,4,1.159381
ellpack_sub_warp,4,1.156044
ellpack_sub_warp,4,1.156520
ellpack_sub_warp,4,1.097385
ellpack_sub_warp,4,1.157949
ellpack_sub_warp,4,1.156044
ellpack_sub_warp,4,1.159381
ellpack_sub_warp,4,1.157472
ellpack_sub_warp,4,1.155095
ellpack_sub_warp,8,2.368576
ellpack_sub_warp,8,2.241132
ellpack_sub_warp,8,2.364592
ellpack_sub_warp,8,2.196484
ellpack_sub_warp,8,2.200783
ellpack_sub_warp,8,2.270085
ellpack_sub_warp,8,2.038057
ellpack_sub_warp,8,2.237565
ellpack_sub_warp,8,2.212038
ellpack_sub_warp,8,2.369574
ellpack_sub_warp,12,3.392800
ellpack_sub_warp,12,3.406502
ellpack_sub_warp,12,3.261601
ellpack_sub_warp,12,3.219275
ellpack_sub_warp,12,3.222965
ellpack_sub_warp,12,3.452517
ellpack_sub_warp,12,3.237812
ellpack_sub_warp,12,3.215593
ellpack_sub_warp,12,3.259080
ellpack_sub_warp,12,3.418930
ellpack_sub_warp,16,4.185337
ellpack_sub_warp,16,4.146755
ellpack_sub_warp,16,3.451811
ellpack_sub_warp,16,4.348801
ellpack_sub_warp,16,4.276046
ellpack_sub_warp,16,4.480478
ellpack_sub_warp,16,4.405014
ellpack_sub_warp,16,4.267932
ellpack_sub_warp,16,4.452098
ellpack_sub_warp,16,4.168273
ellpack_sub_warp,32,8.093559
ellpack_sub_warp,32,7.113219
ellpack_sub_warp,32,8.035727
ellpack_sub_warp,32,7.033146
ellpack_sub_warp,32,8.571646
ellpack_sub_warp,32,6.882497
ellpack_sub_warp,32,8.539104
ellpack_sub_warp,32,8.449286
ellpack_sub_warp,32,8.024260
ellpack_sub_warp,32,7.809722
ellpack_sub_warp,64,14.647997
ellpack_sub_warp,64,12.561854
ellpack_sub_warp,64,15.538515
ellpack_sub_warp,64,15.668408
ellpack_sub_warp,64,14.572076
ellpack_sub_warp,64,15.305886
ellpack_sub_warp,64,15.517075
ellpack_sub_warp,64,14.934928
ellpack_sub_warp,64,15.619444
ellpack_sub_warp,64,12.664414
