Algorithm,K,GFLOPS
ellpack,1,14.894684
ellpack,1,21.404525
ellpack,1,20.204272
ellpack,1,21.047288
ellpack,1,22.671160
ellpack,1,23.281538
ellpack,1,16.493733
ellpack,1,20.353732
ellpack,1,15.163326
ellpack,1,20.505421
ellpack,3,70.168472
ellpack,3,68.578552
ellpack,3,50.867228
ellpack,3,78.005154
ellpack,3,54.078619
ellpack,3,56.466417
ellpack,3,75.413623
ellpack,3,51.182638
ellpack,3,70.114288
ellpack,3,53.726629
ellpack,4,89.544375
ellpack,4,86.412565
ellpack,4,96.619314
ellpack,4,64.122879
ellpack,4,62.923078
ellpack,4,96.388534
ellpack,4,88.174801
ellpack,4,98.747143
ellpack,4,88.497072
ellpack,4,65.688553
ellpack,8,116.857146
ellpack,8,158.150227
ellpack,8,156.615781
ellpack,8,141.761127
ellpack,8,145.422223
ellpack,8,148.000000
ellpack,8,111.169878
ellpack,8,119.333657
ellpack,8,117.196521
ellpack,8,146.300904
ellpack,12,177.253294
ellpack,12,181.777771
ellpack,12,136.333332
ellpack,12,179.887072
ellpack,12,183.060486
ellpack,12,142.764148
ellpack,12,184.081105
ellpack,12,180.872517
ellpack,12,182.600301
ellpack,12,165.916864
ellpack,16,191.860547
ellpack,16,160.562339
ellpack,16,158.098594
ellpack,16,186.755113
ellpack,16,206.241912
ellpack,16,192.088846
ellpack,16,190.727057
ellpack,16,203.897270
ellpack,16,191.178842
ellpack,16,202.532828
ellpack,32,235.647683
ellpack,32,229.342185
ellpack,32,239.790060
ellpack,32,230.653008
ellpack,32,234.279643
ellpack,32,230.872942
ellpack,32,231.479913
ellpack,32,213.846775
ellpack,32,204.499991
ellpack,32,210.775198
ellpack,64,259.446021
ellpack,64,260.352694
ellpack,64,254.804520
ellpack,64,255.409282
ellpack,64,255.173764
ellpack,64,256.152346
ellpack,64,262.078739
ellpack,64,240.444890
ellpack,64,243.834845
ellpack,64,255.814055
ellpack_sub_warp,1,14.836275
ellpack_sub_warp,1,21.120726
ellpack_sub_warp,1,21.329105
ellpack_sub_warp,1,21.931884
ellpack_sub_warp,1,14.663761
ellpack_sub_warp,1,19.666017
ellpack_sub_warp,1,15.005454
ellpack_sub_warp,1,14.771108
ellpack_sub_warp,1,20.772820
ellpack_sub_warp,1,21.680515
ellpack_sub_warp,3,70.222741
ellpack_sub_warp,3,67.810309
ellpack_sub_warp,3,67.307634
ellpack_sub_warp,3,71.046951
ellpack_sub_warp,3,54.110847
ellpack_sub_warp,3,78.206719
ellpack_sub_warp,3,76.882301
ellpack_sub_warp,3,78.886184
ellpack_sub_warp,3,71.214115
ellpack_sub_warp,3,71.777077
ellpack_sub_warp,4,82.863795
ellpack_sub_warp,4,60.897384
ellpack_sub_warp,4,92.698312
ellpack_sub_warp,4,91.576396
ellpack_sub_warp,4,81.196515
ellpack_sub_warp,4,82.300474
ellpack_sub_warp,4,61.735848
ellpack_sub_warp,4,85.800140
ellpack_sub_warp,4,80.227967
ellpack_sub_warp,4,81.579514
ellpack_sub_warp,8,126.702250
ellpack_sub_warp,8,118.748410
ellpack_sub_warp,8,124.423431
ellpack_sub_warp,8,118.284319
ellpack_sub_warp,8,128.042308
ellpack_sub_warp,8,117.310084
ellpack_sub_warp,8,117.938625
ellpack_sub_warp,8,128.177875
ellpack_sub_warp,8,115.906171
ellpack_sub_warp,8,117.709282
ellpack_sub_warp,12,118.651420
ellpack_sub_warp,12,133.624725
ellpack_sub_warp,12,118.496572
ellpack_sub_warp,12,118.923380
ellpack_sub_warp,12,143.895410
ellpack_sub_warp,12,138.411588
ellpack_sub_warp,12,142.484107
ellpack_sub_warp,12,133.969757
ellpack_sub_warp,12,135.620617
ellpack_sub_warp,12,135.468859
ellpack_sub_warp,16,153.878615
ellpack_sub_warp,16,146.212557
ellpack_sub_warp,16,147.639022
ellpack_sub_warp,16,146.699788
ellpack_sub_warp,16,145.948167
ellpack_sub_warp,16,156.010315
ellpack_sub_warp,16,147.909590
ellpack_sub_warp,16,156.717151
ellpack_sub_warp,16,154.961918
ellpack_sub_warp,16,154.763818
ellpack_sub_warp,32,144.726834
ellpack_sub_warp,32,169.468417
ellpack_sub_warp,32,176.029081
ellpack_sub_warp,32,169.438762
ellpack_sub_warp,32,170.723070
ellpack_sub_warp,32,171.843859
ellpack_sub_warp,32,160.270061
ellpack_sub_warp,32,156.742520
ellpack_sub_warp,32,173.724130
ellpack_sub_warp,32,156.287238
ellpack_sub_warp,64,186.485420
ellpack_sub_warp,64,177.708622
ellpack_sub_warp,64,189.384441
ellpack_sub_warp,64,186.306046
ellpack_sub_warp,64,180.895039
ellpack_sub_warp,64,189.125557
ellpack_sub_warp,64,179.636837
ellpack_sub_warp,64,187.605236
ellpack_sub_warp,64,180.675685
ellpack_sub_warp,64,189.941559
