Algorithm,K,GFLOPS
ellpack,1,5.077593
ellpack,1,4.647456
ellpack,1,5.204948
ellpack,1,4.651986
ellpack,1,5.326939
ellpack,1,5.003079
ellpack,1,5.165517
ellpack,1,4.661072
ellpack,1,3.931579
ellpack,1,5.291505
ellpack,3,16.477345
ellpack,3,15.980817
ellpack,3,18.056510
ellpack,3,15.200438
ellpack,3,15.980817
ellpack,3,15.429754
ellpack,3,18.644286
ellpack,3,15.945225
ellpack,3,15.980817
ellpack,3,18.357452
ellpack,4,22.782518
ellpack,4,25.455666
ellpack,4,21.499718
ellpack,4,21.072572
ellpack,4,24.956536
ellpack,4,22.329532
ellpack,4,22.728274
ellpack,4,22.946815
ellpack,4,21.307756
ellpack,4,24.859049
ellpack,8,54.084276
ellpack,8,54.625892
ellpack,8,54.392451
ellpack,8,44.606893
ellpack,8,45.893630
ellpack,8,45.456548
ellpack,8,45.565037
ellpack,8,45.027712
ellpack,8,55.178470
ellpack,8,45.893630
ellpack,12,65.233771
ellpack,12,59.661720
ellpack,12,56.877111
ellpack,12,57.047064
ellpack,12,64.571871
ellpack,12,59.229833
ellpack,12,58.147459
ellpack,12,57.679003
ellpack,12,54.808850
ellpack,12,64.864385
ellpack,16,96.422983
ellpack,16,75.536102
ellpack,16,79.548960
ellpack,16,77.451314
ellpack,16,93.472461
ellpack,16,95.938441
ellpack,16,76.982864
ellpack,16,92.453995
ellpack,16,83.552519
ellpack,16,91.787261
ellpack,32,126.018148
ellpack,32,116.590843
ellpack,32,136.613594
ellpack,32,114.407487
ellpack,32,133.392141
ellpack,32,116.235921
ellpack,32,119.323441
ellpack,32,115.358010
ellpack,32,134.804941
ellpack,32,119.323441
ellpack,64,170.462051
ellpack,64,181.718026
ellpack,64,164.584048
ellpack,64,164.672773
ellpack,64,172.678353
ellpack,64,186.944922
ellpack,64,185.920870
ellpack,64,170.557229
ellpack,64,178.740787
ellpack,64,183.354142
ellpack_sub_warp,1,6.828237
ellpack_sub_warp,1,6.511511
ellpack_sub_warp,1,7.673533
ellpack_sub_warp,1,7.564085
ellpack_sub_warp,1,7.600219
ellpack_sub_warp,1,6.828237
ellpack_sub_warp,1,3.812250
ellpack_sub_warp,1,6.230989
ellpack_sub_warp,1,3.674317
ellpack_sub_warp,1,6.288455
ellpack_sub_warp,3,20.484710
ellpack_sub_warp,3,21.794235
ellpack_sub_warp,3,20.167342
ellpack_sub_warp,3,18.990468
ellpack_sub_warp,3,25.076730
ellpack_sub_warp,3,20.964586
ellpack_sub_warp,3,19.561220
ellpack_sub_warp,3,27.222078
ellpack_sub_warp,3,16.142968
ellpack_sub_warp,3,11.292439
ellpack_sub_warp,4,33.671516
ellpack_sub_warp,4,27.273930
ellpack_sub_warp,4,23.085550
ellpack_sub_warp,4,27.509727
ellpack_sub_warp,4,33.260888
ellpack_sub_warp,4,33.731007
ellpack_sub_warp,4,37.582183
ellpack_sub_warp,4,37.288574
ellpack_sub_warp,4,37.215886
ellpack_sub_warp,4,28.752636
ellpack_sub_warp,8,65.159559
ellpack_sub_warp,8,49.332686
ellpack_sub_warp,8,49.718097
ellpack_sub_warp,8,48.150694
ellpack_sub_warp,8,46.339200
ellpack_sub_warp,8,50.708501
ellpack_sub_warp,8,49.718097
ellpack_sub_warp,8,50.307641
ellpack_sub_warp,8,60.705086
ellpack_sub_warp,8,49.718097
ellpack_sub_warp,12,61.061035
ellpack_sub_warp,12,59.661720
ellpack_sub_warp,12,60.036950
ellpack_sub_warp,12,57.970903
ellpack_sub_warp,12,70.797590
ellpack_sub_warp,12,71.504683
ellpack_sub_warp,12,51.692461
ellpack_sub_warp,12,69.089564
ellpack_sub_warp,12,73.524070
ellpack_sub_warp,12,38.909816
ellpack_sub_warp,16,95.697992
ellpack_sub_warp,16,81.328009
ellpack_sub_warp,16,95.697992
ellpack_sub_warp,16,88.798840
ellpack_sub_warp,16,92.678399
ellpack_sub_warp,16,98.284430
ellpack_sub_warp,16,80.301786
ellpack_sub_warp,16,84.290290
ellpack_sub_warp,16,98.411086
ellpack_sub_warp,16,81.328009
ellpack_sub_warp,32,128.455848
ellpack_sub_warp,32,119.323441
ellpack_sub_warp,32,119.137287
ellpack_sub_warp,32,119.697487
ellpack_sub_warp,32,133.392141
ellpack_sub_warp,32,137.598204
ellpack_sub_warp,32,121.410172
ellpack_sub_warp,32,119.791368
ellpack_sub_warp,32,85.136007
ellpack_sub_warp,32,120.262991
ellpack_sub_warp,64,158.932365
ellpack_sub_warp,64,159.680082
ellpack_sub_warp,64,165.655102
ellpack_sub_warp,64,170.939005
ellpack_sub_warp,64,171.322494
ellpack_sub_warp,64,169.893219
ellpack_sub_warp,64,170.462051
ellpack_sub_warp,64,166.376905
ellpack_sub_warp,64,164.584048
ellpack_sub_warp,64,168.394712
