Algorithm,K,GFLOPS
ellpack,1,0.182923
ellpack,1,0.183086
ellpack,1,0.183018
ellpack,1,0.183130
ellpack,1,0.183115
ellpack,1,0.181870
ellpack,1,0.183002
ellpack,1,0.183149
ellpack,1,0.183033
ellpack,1,0.183113
ellpack,3,0.541707
ellpack,3,0.542421
ellpack,3,0.541495
ellpack,3,0.541777
ellpack,3,0.541926
ellpack,3,0.542051
ellpack,3,0.541854
ellpack,3,0.542339
ellpack,3,0.542145
ellpack,3,0.542460
ellpack,4,0.719561
ellpack,4,0.719829
ellpack,4,0.719048
ellpack,4,0.719777
ellpack,4,0.719448
ellpack,4,0.718924
ellpack,4,0.718644
ellpack,4,0.719477
ellpack,4,0.719048
ellpack,4,0.718735
ellpack,8,1.401428
ellpack,8,1.401494
ellpack,8,1.400967
ellpack,8,1.401520
ellpack,8,1.400962
ellpack,8,1.403188
ellpack,8,1.403173
ellpack,8,1.402649
ellpack,8,1.402428
ellpack,8,1.402418
ellpack,12,2.096514
ellpack,12,2.095268
ellpack,12,2.095642
ellpack,12,2.098044
ellpack,12,2.094390
ellpack,12,2.098067
ellpack,12,2.094428
ellpack,12,2.096177
ellpack,12,2.094253
ellpack,12,2.095566
ellpack,16,2.795913
ellpack,16,2.797740
ellpack,16,2.796780
ellpack,16,2.796056
ellpack,16,2.795964
ellpack,16,2.794485
ellpack,16,2.799774
ellpack,16,2.794445
ellpack,16,2.799702
ellpack,16,2.798332
ellpack,32,5.664210
ellpack,32,5.663310
ellpack,32,5.667184
ellpack,32,5.666220
ellpack,32,5.671756
ellpack,32,5.666283
ellpack,32,5.661721
ellpack,32,5.665718
ellpack,32,5.657416
ellpack,32,5.661282
ellpack,64,10.702024
ellpack,64,10.708117
ellpack,64,10.710212
ellpack,64,10.722574
ellpack,64,10.722350
ellpack,64,10.710511
ellpack,64,10.710848
ellpack,64,10.716726
ellpack,64,10.707069
ellpack,64,10.710212
ellpack_sub_warp,1,0.169455
ellpack_sub_warp,1,0.169450
ellpack_sub_warp,1,0.169437
ellpack_sub_warp,1,0.169279
ellpack_sub_warp,1,0.169374
ellpack_sub_warp,1,0.169355
ellpack_sub_warp,1,0.169369
ellpack_sub_warp,1,0.169527
ellpack_sub_warp,1,0.169378
ellpack_sub_warp,1,0.169406
ellpack_sub_warp,3,0.515911
ellpack_sub_warp,3,0.511883
ellpack_sub_warp,3,0.516798
ellpack_sub_warp,3,0.517015
ellpack_sub_warp,3,0.517175
ellpack_sub_warp,3,0.517129
ellpack_sub_warp,3,0.513920
ellpack_sub_warp,3,0.517079
ellpack_sub_warp,3,0.515989
ellpack_sub_warp,3,0.516556
ellpack_sub_warp,4,0.668886
ellpack_sub_warp,4,0.669178
ellpack_sub_warp,4,0.668989
ellpack_sub_warp,4,0.669211
ellpack_sub_warp,4,0.668615
ellpack_sub_warp,4,0.668673
ellpack_sub_warp,4,0.669845
ellpack_sub_warp,4,0.669227
ellpack_sub_warp,4,0.669288
ellpack_sub_warp,4,0.668545
ellpack_sub_warp,8,1.335706
ellpack_sub_warp,8,1.337016
ellpack_sub_warp,8,1.335287
ellpack_sub_warp,8,1.334352
ellpack_sub_warp,8,1.333902
ellpack_sub_warp,8,1.335832
ellpack_sub_warp,8,1.334873
ellpack_sub_warp,8,1.335445
ellpack_sub_warp,8,1.335790
ellpack_sub_warp,8,1.334650
ellpack_sub_warp,12,2.039980
ellpack_sub_warp,12,2.036172
ellpack_sub_warp,12,2.035667
ellpack_sub_warp,12,2.037102
ellpack_sub_warp,12,2.035494
ellpack_sub_warp,12,2.036669
ellpack_sub_warp,12,2.039647
ellpack_sub_warp,12,2.035588
ellpack_sub_warp,12,2.035487
ellpack_sub_warp,12,2.034428
ellpack_sub_warp,16,2.683911
ellpack_sub_warp,16,2.682323
ellpack_sub_warp,16,2.684813
ellpack_sub_warp,16,2.685368
ellpack_sub_warp,16,2.683647
ellpack_sub_warp,16,2.685914
ellpack_sub_warp,16,2.682257
ellpack_sub_warp,16,2.682257
ellpack_sub_warp,16,2.682088
ellpack_sub_warp,16,2.680240
ellpack_sub_warp,32,5.222140
ellpack_sub_warp,32,5.213224
ellpack_sub_warp,32,5.217642
ellpack_sub_warp,32,5.213099
ellpack_sub_warp,32,5.220859
ellpack_sub_warp,32,5.222140
ellpack_sub_warp,32,5.223991
ellpack_sub_warp,32,5.224240
ellpack_sub_warp,32,5.217624
ellpack_sub_warp,32,5.216790
ellpack_sub_warp,64,9.883688
ellpack_sub_warp,64,9.880694
ellpack_sub_warp,64,9.886397
ellpack_sub_warp,64,9.876523
ellpack_sub_warp,64,9.872039
ellpack_sub_warp,64,9.887865
ellpack_sub_warp,64,9.823385
ellpack_sub_warp,64,9.889746
ellpack_sub_warp,64,9.899135
ellpack_sub_warp,64,9.879580
