Algorithm,K,GFLOPS
ellpack,1,1.700753
ellpack,1,1.400620
ellpack,1,1.488159
ellpack,1,1.495461
ellpack,1,1.695078
ellpack,1,1.602392
ellpack,1,1.687569
ellpack,1,1.133836
ellpack,1,1.454079
ellpack,1,1.669085
ellpack,3,4.438471
ellpack,3,4.608493
ellpack,3,4.557951
ellpack,3,4.464478
ellpack,3,4.858262
ellpack,3,4.345651
ellpack,3,4.627151
ellpack,3,4.737435
ellpack,3,5.189132
ellpack,3,5.119401
ellpack,4,6.349479
ellpack,4,6.303516
ellpack,4,6.336279
ellpack,4,6.369383
ellpack,4,6.416316
ellpack,4,6.310041
ellpack,4,7.282557
ellpack,4,7.326322
ellpack,4,6.429852
ellpack,4,7.265197
ellpack,8,16.541383
ellpack,8,14.275176
ellpack,8,13.575723
ellpack,8,13.667041
ellpack,8,14.995080
ellpack,8,15.873697
ellpack,8,15.998688
ellpack,8,13.606027
ellpack,8,15.998688
ellpack,8,13.869170
ellpack,12,23.810546
ellpack,12,23.810546
ellpack,12,23.841590
ellpack,12,24.284861
ellpack,12,21.640829
ellpack,12,20.250830
ellpack,12,21.589729
ellpack,12,23.841590
ellpack,12,20.803754
ellpack,12,24.711487
ellpack,16,29.697929
ellpack,16,30.477501
ellpack,16,34.584397
ellpack,16,18.141369
ellpack,16,27.612685
ellpack,16,36.664662
ellpack,16,34.633522
ellpack,16,29.200000
ellpack,16,36.282738
ellpack,16,29.026191
ellpack,32,62.678664
ellpack,32,58.610578
ellpack,32,59.540903
ellpack,32,75.486071
ellpack,32,61.570709
ellpack,32,62.678664
ellpack,32,59.613692
ellpack,32,59.540903
ellpack,32,71.501465
ellpack,32,64.078846
ellpack,64,122.522612
ellpack,64,126.005166
ellpack,64,102.553099
ellpack,64,108.848213
ellpack,64,125.035897
ellpack,64,104.196578
ellpack,64,124.556829
ellpack,64,125.518665
ellpack,64,126.005166
ellpack,64,104.085382
ellpack_sub_warp,1,1.948689
ellpack_sub_warp,1,1.844885
ellpack_sub_warp,1,1.919238
ellpack_sub_warp,1,2.426553
ellpack_sub_warp,1,1.984212
ellpack_sub_warp,1,2.348035
ellpack_sub_warp,1,2.087500
ellpack_sub_warp,1,2.059291
ellpack_sub_warp,1,2.128317
ellpack_sub_warp,1,2.090363
ellpack_sub_warp,3,6.905778
ellpack_sub_warp,3,7.828125
ellpack_sub_warp,3,8.120116
ellpack_sub_warp,3,8.020395
ellpack_sub_warp,3,8.774712
ellpack_sub_warp,3,7.098796
ellpack_sub_warp,3,6.466230
ellpack_sub_warp,3,6.587356
ellpack_sub_warp,3,7.936849
ellpack_sub_warp,3,8.593280
ellpack_sub_warp,4,11.042572
ellpack_sub_warp,4,10.693860
ellpack_sub_warp,4,9.057207
ellpack_sub_warp,4,9.179970
ellpack_sub_warp,4,10.619338
ellpack_sub_warp,4,11.632634
ellpack_sub_warp,4,8.658381
ellpack_sub_warp,4,8.872635
ellpack_sub_warp,4,10.582465
ellpack_sub_warp,4,9.291921
ellpack_sub_warp,8,21.500881
ellpack_sub_warp,8,18.249999
ellpack_sub_warp,8,18.726574
ellpack_sub_warp,8,19.048438
ellpack_sub_warp,8,23.309750
ellpack_sub_warp,8,18.443267
ellpack_sub_warp,8,18.034023
ellpack_sub_warp,8,21.164930
ellpack_sub_warp,8,18.415409
ellpack_sub_warp,8,21.538869
ellpack_sub_warp,12,26.579215
ellpack_sub_warp,12,33.308744
ellpack_sub_warp,12,32.137960
ellpack_sub_warp,12,26.311511
ellpack_sub_warp,12,28.263525
ellpack_sub_warp,12,32.596255
ellpack_sub_warp,12,28.843060
ellpack_sub_warp,12,32.137960
ellpack_sub_warp,12,33.989776
ellpack_sub_warp,12,25.575525
ellpack_sub_warp,16,48.090728
ellpack_sub_warp,16,47.807845
ellpack_sub_warp,16,46.888461
ellpack_sub_warp,16,47.621094
ellpack_sub_warp,16,47.621094
ellpack_sub_warp,16,47.621094
ellpack_sub_warp,16,37.801549
ellpack_sub_warp,16,35.132565
ellpack_sub_warp,16,34.389281
ellpack_sub_warp,16,47.251941
ellpack_sub_warp,32,69.070820
ellpack_sub_warp,32,83.931153
ellpack_sub_warp,32,69.365576
ellpack_sub_warp,32,84.659719
ellpack_sub_warp,32,65.279787
ellpack_sub_warp,32,83.643222
ellpack_sub_warp,32,69.267045
ellpack_sub_warp,32,65.631224
ellpack_sub_warp,32,68.778563
ellpack_sub_warp,32,82.094278
ellpack_sub_warp,64,98.116700
ellpack_sub_warp,64,110.450740
ellpack_sub_warp,64,95.056529
ellpack_sub_warp,64,97.139446
ellpack_sub_warp,64,117.221155
ellpack_sub_warp,64,96.086695
ellpack_sub_warp,64,98.018090
ellpack_sub_warp,64,112.230152
ellpack_sub_warp,64,116.243149
ellpack_sub_warp,64,100.440783
