Algorithm,K,GFLOPS
ellpack,1,7.578183
ellpack,1,7.516244
ellpack,1,7.014588
ellpack,1,7.184473
ellpack,1,7.313022
ellpack,1,7.628474
ellpack,1,7.553286
ellpack,1,7.336358
ellpack,1,7.342216
ellpack,1,7.368690
ellpack,3,43.514787
ellpack,3,43.106837
ellpack,3,38.397182
ellpack,3,38.939133
ellpack,3,37.357313
ellpack,3,41.176680
ellpack,3,40.750925
ellpack,3,42.739541
ellpack,3,37.256415
ellpack,3,41.423986
ellpack,4,60.901490
ellpack,4,60.500825
ellpack,4,59.958434
ellpack,4,60.056326
ellpack,4,45.980626
ellpack,4,55.734089
ellpack,4,60.800826
ellpack,4,57.610809
ellpack,4,60.750618
ellpack,4,55.398344
ellpack,8,120.902223
ellpack,8,121.601651
ellpack,8,107.714492
ellpack,8,98.684108
ellpack,8,106.854030
ellpack,8,108.749441
ellpack,8,80.491249
ellpack,8,108.588933
ellpack,8,109.071903
ellpack,8,104.873844
ellpack,12,132.080787
ellpack,12,123.162387
ellpack,12,130.595862
ellpack,12,128.243467
ellpack,12,116.652750
ellpack,12,120.014680
ellpack,12,122.410982
ellpack,12,124.834279
ellpack,12,118.979512
ellpack,12,118.979512
ellpack,16,163.759604
ellpack,16,176.848560
ellpack,16,157.958133
ellpack,16,148.249875
ellpack,16,157.451041
ellpack,16,173.001761
ellpack,16,142.368657
ellpack,16,158.553875
ellpack,16,155.454835
ellpack,16,172.900114
ellpack,32,217.579289
ellpack,32,212.934870
ellpack,32,215.586808
ellpack,32,192.023488
ellpack,32,207.675376
ellpack,32,176.848560
ellpack,32,209.374601
ellpack,32,200.733972
ellpack,32,152.910367
ellpack,32,218.711260
ellpack,64,243.303842
ellpack,64,241.111024
ellpack,64,244.364536
ellpack,64,245.332211
ellpack,64,247.186899
ellpack,64,239.346066
ellpack,64,242.003300
ellpack,64,245.229988
ellpack,64,237.798789
ellpack,64,241.407717
ellpack_sub_warp,1,17.926169
ellpack_sub_warp,1,17.014108
ellpack_sub_warp,1,16.951383
ellpack_sub_warp,1,17.961182
ellpack_sub_warp,1,15.937824
ellpack_sub_warp,1,19.118763
ellpack_sub_warp,1,18.049314
ellpack_sub_warp,1,19.198590
ellpack_sub_warp,1,17.045645
ellpack_sub_warp,1,17.014108
ellpack_sub_warp,3,61.581193
ellpack_sub_warp,3,58.636291
ellpack_sub_warp,3,52.300237
ellpack_sub_warp,3,58.264784
ellpack_sub_warp,3,51.279505
ellpack_sub_warp,3,59.075749
ellpack_sub_warp,3,51.327208
ellpack_sub_warp,3,50.713924
ellpack_sub_warp,3,51.422879
ellpack_sub_warp,3,58.019715
ellpack_sub_warp,4,75.922602
ellpack_sub_warp,4,84.756915
ellpack_sub_warp,4,71.287795
ellpack_sub_warp,4,87.063908
ellpack_sub_warp,4,74.162299
ellpack_sub_warp,4,74.087614
ellpack_sub_warp,4,72.624874
ellpack_sub_warp,4,89.174546
ellpack_sub_warp,4,69.535915
ellpack_sub_warp,4,72.197255
ellpack_sub_warp,8,108.189706
ellpack_sub_warp,8,124.271954
ellpack_sub_warp,8,107.635695
ellpack_sub_warp,8,105.173700
ellpack_sub_warp,8,106.236827
ellpack_sub_warp,8,121.200984
ellpack_sub_warp,8,121.702232
ellpack_sub_warp,8,98.816652
ellpack_sub_warp,8,104.501420
ellpack_sub_warp,8,114.148949
ellpack_sub_warp,12,143.502605
ellpack_sub_warp,12,123.645380
ellpack_sub_warp,12,141.842547
ellpack_sub_warp,12,142.944948
ellpack_sub_warp,12,119.365603
ellpack_sub_warp,12,130.518632
ellpack_sub_warp,12,135.652731
ellpack_sub_warp,12,140.309601
ellpack_sub_warp,12,137.941878
ellpack_sub_warp,12,132.159878
ellpack_sub_warp,16,164.216516
ellpack_sub_warp,16,160.193793
ellpack_sub_warp,16,176.530294
ellpack_sub_warp,16,176.848560
ellpack_sub_warp,16,161.424024
ellpack_sub_warp,16,144.111659
ellpack_sub_warp,16,160.281045
ellpack_sub_warp,16,159.326477
ellpack_sub_warp,16,172.393677
ellpack_sub_warp,16,170.397221
ellpack_sub_warp,32,191.274623
ellpack_sub_warp,32,193.666332
ellpack_sub_warp,32,206.075623
ellpack_sub_warp,32,207.675376
ellpack_sub_warp,32,151.026940
ellpack_sub_warp,32,204.642558
ellpack_sub_warp,32,192.652047
ellpack_sub_warp,32,180.316180
ellpack_sub_warp,32,196.905992
ellpack_sub_warp,32,210.272248
ellpack_sub_warp,64,221.593376
ellpack_sub_warp,64,231.303602
ellpack_sub_warp,64,209.002839
ellpack_sub_warp,64,231.850316
ellpack_sub_warp,64,231.076554
ellpack_sub_warp,64,230.262919
ellpack_sub_warp,64,235.750848
ellpack_sub_warp,64,224.509627
ellpack_sub_warp,64,230.533480
ellpack_sub_warp,64,229.903131
